id,original_question,original_answer,counterfactual_1_question,counterfactual_1_answer,counterfactual_2_question,counterfactual_2_answer,counterfactual_3_question,counterfactual_3_answer
98,"At a station, a train comes every 5 minutes leaving 200 passengers and taking 320 others. How many different passengers step on and off a train at the station within an hour?",6240,"At a station, a train comes every 6 minutes leaving 200 passengers and taking 320 others. How many different passengers step on and off a train at the station within an hour?",5200.0,"At a station, a train comes every 5 minutes leaving 150 passengers and taking 300 others. How many different passengers step on and off a train at the station within an hour?",5400.0,"At a station, a train comes every 4 minutes leaving 200 passengers and taking 320 others. How many different passengers step on and off a train at the station within an hour?",7800.0
99,Toby is in a juggling contest with a friend. The winner is whoever gets the most objects rotated around in 4 minutes. Toby has 5 baseballs and each one makes 80 rotations. His friend has 4 apples and each one makes 101 rotations. How many total rotations of objects are made by the winner?,404,Toby is in a juggling contest with a friend. The winner is whoever gets the most objects rotated around in 4 minutes. Toby has 6 baseballs and each one makes 70 rotations. His friend has 4 apples and each one makes 101 rotations. How many total rotations of objects are made by the winner?,420.0,Toby is in a juggling contest with a friend. The winner is whoever gets the most objects rotated around in 4 minutes. Toby has 5 baseballs and each one makes 90 rotations. His friend has 4 apples and each one makes 101 rotations. How many total rotations of objects are made by the winner?,450.0,Toby is in a juggling contest with a friend. The winner is whoever gets the most objects rotated around in 4 minutes. Toby has 5 baseballs and each one makes 80 rotations. His friend has 4 apples and each one makes 90 rotations. How many total rotations of objects are made by the winner?,400.0
100,"Junior has 16 rabbits. On Monday, he bought 6 toys for his rabbits. On Wednesday, he bought twice as many toys as he did Monday. On Friday, he bought four times as many toys as he did on Monday, and on the next day he bought half as many toys as he did on Wednesday. If he split all the toys evenly between the rabbits, how many toys would each rabbit have?",3,"Junior has 12 rabbits. On Monday, he bought 6 toys for his rabbits. On Wednesday, he bought twice as many toys as he did Monday. On Friday, he bought four times as many toys as he did on Monday, and on the next day he bought half as many toys as he did on Wednesday. If he split all the toys evenly between the rabbits, how many toys would each rabbit have?",4.0,"Junior has 16 rabbits. On Monday, he bought 8 toys for his rabbits. On Wednesday, he bought twice as many toys as he did Monday. On Friday, he bought four times as many toys as he did on Monday, and on the next day he bought half as many toys as he did on Wednesday. If he split all the toys evenly between the rabbits, how many toys would each rabbit have?",4.0,"Junior has 20 rabbits. On Monday, he bought 6 toys for his rabbits. On Wednesday, he bought twice as many toys as he did Monday. On Friday, he bought four times as many toys as he did on Monday, and on the next day he bought half as many toys as he did on Wednesday. If he split all the toys evenly between the rabbits, how many toys would each rabbit have?",2.4
101,There are 10 students in a class. The average age of 9 of them is 8 years. By how many years will this average increase if the tenth student is (quite strangely) 28 years old?,2,There are 10 students in a class. The average age of 9 of them is 7 years. By how many years will this average increase if the tenth student is 25 years old?,1.8,There are 12 students in a class. The average age of 11 of them is 9 years. By how many years will this average increase if the twelfth student is 21 years old?,1.0,There are 8 students in a class. The average age of 7 of them is 10 years. By how many years will this average increase if the eighth student is 26 years old?,2.0
102,"Twelve coworkers go out for lunch together and order three pizzas. Each pizza is cut into eight slices. If each person gets the same number of slices, how many slices will each person get?",2,"Twelve coworkers go out for lunch together and order four pizzas. Each pizza is cut into eight slices. If each person gets the same number of slices, how many slices will each person get?",2.67,"Ten coworkers go out for lunch together and order three pizzas. Each pizza is cut into eight slices. If each person gets the same number of slices, how many slices will each person get?",2.4,"Fifteen coworkers go out for lunch together and order three pizzas. Each pizza is cut into nine slices. If each person gets the same number of slices, how many slices will each person get?",1.8
103,"When doing her exercises, Mairead runs for 40 miles, walks for 3/5 times as many miles as she ran, and walks for five times the number of miles she jogged. Calculate the total distance Mairead has covered while doing her exercises.",68.8,"When doing her exercises, Mairead runs for 30 miles, walks for 3/5 times as many miles as she ran, and walks for five times the number of miles she jogged. Calculate the total distance Mairead has covered while doing her exercises.",51.6,"When doing her exercises, Mairead runs for 40 miles, walks for half as many miles as she ran, and walks for five times the number of miles she jogged. Calculate the total distance Mairead has covered while doing her exercises.",64.0,"When doing her exercises, Mairead runs for 40 miles, walks for 3/5 times as many miles as she ran, and walks for four times the number of miles she jogged. Calculate the total distance Mairead has covered while doing her exercises.",70.0
104,Trace has five shopping bags that weigh the same amount as Gordon’s two shopping bags. One of Gordon’s shopping bags weighs three pounds and the other weighs seven. Trace’s shopping bags all weigh the same amount. How many pounds does one of Trace’s bags weigh?,2,Trace has four shopping bags that weigh the same amount as Gordon’s two shopping bags. One of Gordon’s shopping bags weighs three pounds and the other weighs seven. Trace’s shopping bags all weigh the same amount. How many pounds does one of Trace’s bags weigh?,2.5,"Trace has five shopping bags that weigh the same amount as Gordon’s three shopping bags. One of Gordon’s shopping bags weighs two pounds, one weighs four pounds, and the other weighs six pounds. Trace’s shopping bags all weigh the same amount. How many pounds does one of Trace’s bags weigh?",2.4,Trace has five shopping bags that weigh the same amount as Gordon’s two shopping bags. One of Gordon’s shopping bags weighs four pounds and the other weighs six. Trace’s shopping bags all weigh the same amount. How many pounds does one of Trace’s bags weigh?,2.0
105,Robin likes to bake cupcakes for friends and to make her puppy North happy. Once Robin ate four cupcakes with chocolate sauce and twice as many cupcakes with buttercream frosting on her own. How many cupcakes did Robin eat?,12,Robin likes to bake cupcakes for friends and to make her puppy North happy. Once Robin ate five cupcakes with chocolate sauce and twice as many cupcakes with buttercream frosting on her own. How many cupcakes did Robin eat?,15.0,Robin likes to bake cupcakes for friends and to make her puppy North happy. Once Robin ate four cupcakes with chocolate sauce and three times as many cupcakes with buttercream frosting on her own. How many cupcakes did Robin eat?,16.0,Robin likes to bake cupcakes for friends and to make her puppy North happy. Once Robin ate three cupcakes with chocolate sauce and twice as many cupcakes with buttercream frosting on her own. How many cupcakes did Robin eat?,9.0
106,"On Tuesday last week, Leo dropped off 10 pairs of trousers and some shirts at Sudsy Laundry. He was given a bill of $140, charged at $5 per shirt and $9 for each pair of trousers. When he went to pick up his clothes yesterday, the attendant insisted that he had only dropped off 2 shirts. Leo reported the matter to the manager, who ordered the attendant to search for the rest of Leo’s shirts. How many shirts were missing?",8,"On Tuesday last week, Leo dropped off 8 pairs of trousers and some shirts at Sudsy Laundry. He was given a bill of $122, charged at $5 per shirt and $9 for each pair of trousers. When he went to pick up his clothes yesterday, the attendant insisted that he had only dropped off 3 shirts. How many shirts were missing?",7.0,"On Tuesday last week, Leo dropped off 10 pairs of trousers and some shirts at Sudsy Laundry. He was given a bill of $160, charged at $5 per shirt and $11 for each pair of trousers. When he went to pick up his clothes yesterday, the attendant insisted that he had only dropped off 4 shirts. How many shirts were missing?",6.0,"On Tuesday last week, Leo dropped off 10 pairs of trousers and some shirts at Sudsy Laundry. He was given a bill of $130, charged at $5 per shirt and $8 for each pair of trousers. When he went to pick up his clothes yesterday, the attendant insisted that he had only dropped off 1 shirt. How many shirts were missing?",9.0
107,"Three train stations are 2 hours apart from one another. Kira travels from the first station to the third, taking a 30 minutes break at the second station. What's the total time, in minutes, that Kira takes to travel between the first and third station?",270,"Three train stations are 3 hours apart from one another. Kira travels from the first station to the third, taking a 30 minutes break at the second station. What's the total time, in minutes, that Kira takes to travel between the first and third station?",390.0,"Three train stations are 2 hours apart from one another. Kira travels from the first station to the third, taking a 45 minutes break at the second station. What's the total time, in minutes, that Kira takes to travel between the first and third station?",285.0,"Three train stations are 1.5 hours apart from one another. Kira travels from the first station to the third, taking a 30 minutes break at the second station. What's the total time, in minutes, that Kira takes to travel between the first and third station?",210.0
108,"In one month in the Smith house, Kylie uses 3 bath towels, her 2 daughters use a total of 6 bath towels, and her husband uses a total of 3 bath towels. If the washing machine can fit 4 bath towels for one load of laundry, how many loads of laundry will the Smiths need to do to clean all of their used towels?",3,"In one month in the Smith house, Kylie uses 4 bath towels, her 2 daughters use a total of 8 bath towels, and her husband uses a total of 4 bath towels. If the washing machine can fit 4 bath towels for one load of laundry, how many loads of laundry will the Smiths need to do to clean all of their used towels?",4.0,"In one month in the Smith house, Kylie uses 2 bath towels, her 2 daughters use a total of 4 bath towels, and her husband uses a total of 2 bath towels. If the washing machine can fit 4 bath towels for one load of laundry, how many loads of laundry will the Smiths need to do to clean all of their used towels?",2.0,"In one month in the Smith house, Kylie uses 3 bath towels, her 2 daughters use a total of 5 bath towels, and her husband uses a total of 2 bath towels. If the washing machine can fit 5 bath towels for one load of laundry, how many loads of laundry will the Smiths need to do to clean all of their used towels?",2.0
109,A quarterback throws 50 passes in one game. He throws twice as many passes to the right of the field than he does to the left of the field. He throws 2 more passes to the center of the field than he did to the left. How many passes did he throw to the left side of the field?,12,A quarterback throws 60 passes in one game. He throws twice as many passes to the right of the field than he does to the left of the field. He throws 2 more passes to the center of the field than he did to the left. How many passes did he throw to the left side of the field?,15.0,A quarterback throws 50 passes in one game. He throws three times as many passes to the right of the field than he does to the left of the field. He throws 2 more passes to the center of the field than he did to the left. How many passes did he throw to the left side of the field?,9.6,A quarterback throws 50 passes in one game. He throws twice as many passes to the right of the field than he does to the left of the field. He throws 4 more passes to the center of the field than he did to the left. How many passes did he throw to the left side of the field?,11.5
110,"Nathaniel has 11 tickets to a basketball game. He gives away 2 tickets each to his best friends, until he only has 3 tickets left. How many best friends does Nathaniel have?",4,"Nathaniel has 15 tickets to a basketball game. He gives away 3 tickets each to his best friends, until he only has 3 tickets left. How many best friends does Nathaniel have?",4.0,"Nathaniel has 11 tickets to a basketball game. He gives away 1 ticket each to his best friends, until he only has 3 tickets left. How many best friends does Nathaniel have?",8.0,"Nathaniel has 14 tickets to a basketball game. He gives away 2 tickets each to his best friends, until he only has 2 tickets left. How many best friends does Nathaniel have?",6.0
111,Hazel put up a lemonade stand. She sold half her lemonade to a construction crew. She sold 18 cups to kids on bikes. She gave away half that amount to her friends. Then she drank the last cup of lemonade herself. How many cups of lemonade did Hazel make?,56,Hazel put up a lemonade stand. She sold half her lemonade to a construction crew. She sold 20 cups to kids on bikes. She gave away half that amount to her friends. Then she drank the last cup of lemonade herself. How many cups of lemonade did Hazel make?,62.0,Hazel put up a lemonade stand. She sold half her lemonade to a construction crew. She sold 18 cups to kids on bikes. She gave away twice that amount to her friends. Then she drank the last cup of lemonade herself. How many cups of lemonade did Hazel make?,110.0,Hazel put up a lemonade stand. She sold half her lemonade to a construction crew. She sold 16 cups to kids on bikes. She gave away half that amount to her friends. Then she drank the last cup of lemonade herself. How many cups of lemonade did Hazel make?,50.0
112,"My new house has 12 medium ceiling lights but I have seen small and large ceiling lights in other rooms. The small ones require 1 bulb, the medium ones require 2, and the large ones need 3 bulbs. How many bulbs should I buy if my wife says she saw twice as many large ceiling lights as medium ceiling lights and ten more small lights than medium ones?",118,"My new house has 10 medium ceiling lights but I have seen small and large ceiling lights in other rooms. The small ones require 1 bulb, the medium ones require 2, and the large ones need 3 bulbs. How many bulbs should I buy if my wife says she saw twice as many large ceiling lights as medium ceiling lights and ten more small lights than medium ones?",100.0,"My new house has 12 medium ceiling lights but I have seen small and large ceiling lights in other rooms. The small ones require 2 bulbs, the medium ones require 2, and the large ones need 3 bulbs. How many bulbs should I buy if my wife says she saw twice as many large ceiling lights as medium ceiling lights and ten more small lights than medium ones?",140.0,"My new house has 12 medium ceiling lights but I have seen small and large ceiling lights in other rooms. The small ones require 1 bulb, the medium ones require 2, and the large ones need 4 bulbs. How many bulbs should I buy if my wife says she saw twice as many large ceiling lights as medium ceiling lights and ten more small lights than medium ones?",142.0
113,Patricia is growing her long very long to donate it to a charity that makes wigs for cancer survivors. Her hair is 14 inches long. She needs to donate 23 inches to make a wig. She wants her hair to be 12 inches long after the donation. How much longer does she have to grow her hair?,21,Patricia is growing her hair to donate it to a charity that makes wigs for cancer survivors. Her hair is 16 inches long. She needs to donate 25 inches to make a wig. She wants her hair to be 12 inches long after the donation. How much longer does she have to grow her hair?,21.0,Patricia is growing her hair to donate it to a charity that makes wigs for cancer survivors. Her hair is 14 inches long. She needs to donate 20 inches to make a wig. She wants her hair to be 10 inches long after the donation. How much longer does she have to grow her hair?,16.0,Patricia is growing her hair to donate it to a charity that makes wigs for cancer survivors. Her hair is 12 inches long. She needs to donate 22 inches to make a wig. She wants her hair to be 12 inches long after the donation. How much longer does she have to grow her hair?,22.0
114,"Annie has $120. The restaurant next door sells hamburgers for $4 each. The restaurant across the street sells milkshakes for $3 each. Annie buys 8 hamburgers and 6 milkshakes. How much money, in dollars, does she have left?",70,"Annie has $150. The restaurant next door sells hamburgers for $5 each. The restaurant across the street sells milkshakes for $3 each. Annie buys 8 hamburgers and 6 milkshakes. How much money, in dollars, does she have left?",92.0,"Annie has $120. The restaurant next door sells hamburgers for $4 each. The restaurant across the street sells milkshakes for $5 each. Annie buys 8 hamburgers and 6 milkshakes. How much money, in dollars, does she have left?",58.0,"Annie has $100. The restaurant next door sells hamburgers for $4 each. The restaurant across the street sells milkshakes for $3 each. Annie buys 10 hamburgers and 8 milkshakes. How much money, in dollars, does she have left?",36.0
115,"The trip from Philip's house to the children's school is 2.5 miles, and the trip to the market is 2 miles. He makes the round trip to school two times (when taking the children to school and when bringing them back) every day for 4 days a week. Then he makes a round trip to the market once during weekends. What is his car's mileage for a typical week?",44,"The trip from Philip's house to the children's school is 3 miles, and the trip to the market is 2 miles. He makes the round trip to school two times every day for 4 days a week. Then he makes a round trip to the market once during weekends. What is his car's mileage for a typical week?",52.0,"The trip from Philip's house to the children's school is 2.5 miles, and the trip to the market is 3 miles. He makes the round trip to school two times every day for 4 days a week. Then he makes a round trip to the market once during weekends. What is his car's mileage for a typical week?",46.0,"The trip from Philip's house to the children's school is 2.5 miles, and the trip to the market is 2 miles. He makes the round trip to school two times every day for 5 days a week. Then he makes a round trip to the market once during weekends. What is his car's mileage for a typical week?",54.0
116,"Willy has 10 stuffed animals. His mom gives him 2 more stuffed animals for his birthday. After his birthday, if his dad gives him 3 times more stuffed animals than he has, how many stuffed animals does Willy have in total?",48,"Willy has 8 stuffed animals. His mom gives him 4 more stuffed animals for his birthday. After his birthday, if his dad gives him 3 times more stuffed animals than he has, how many stuffed animals does Willy have in total?",48.0,"Willy has 10 stuffed animals. His mom gives him 5 more stuffed animals for his birthday. After his birthday, if his dad gives him twice as many stuffed animals as he has, how many stuffed animals does Willy have in total?",45.0,"Willy has 12 stuffed animals. His mom gives him 3 more stuffed animals for his birthday. After his birthday, if his dad gives him 3 times more stuffed animals than he has, how many stuffed animals does Willy have in total?",60.0
117,Mrs. Petersons bought 10 tumblers for $45 each. She paid with five $100 bills. How much change will Mrs. Petersons receive?,50,Mrs. Petersons bought 8 tumblers for $45 each. She paid with five $100 bills. How much change will Mrs. Petersons receive?,140.0,Mrs. Petersons bought 10 tumblers for $40 each. She paid with five $100 bills. How much change will Mrs. Petersons receive?,100.0,Mrs. Petersons bought 12 tumblers for $45 each. She paid with six $100 bills. How much change will Mrs. Petersons receive?,60.0
118,Maynard's dog dug 8 holes in the lawn. Maynard filled in 75% of the hole with dirt. How many holes remain unfilled?,2,Maynard's dog dug 12 holes in the lawn. Maynard filled in 75% of the hole with dirt. How many holes remain unfilled?,3.0,Maynard's dog dug 8 holes in the lawn. Maynard filled in 50% of the hole with dirt. How many holes remain unfilled?,4.0,Maynard's dog dug 10 holes in the lawn. Maynard filled in 80% of the hole with dirt. How many holes remain unfilled?,2.0
119,Silvia wants to buy a new guitar online. The price of the guitar has a suggested retail price of $1000. Guitar Center has a special deal of 15% off but has a shipping fee of $100. Sweetwater has a 10% off deal with free shipping. How much will she save by buying from the cheaper store compared to the other store?,50,Silvia wants to buy a new guitar online. The price of the guitar has a suggested retail price of $800. Guitar Center has a special deal of 15% off but has a shipping fee of $100. Sweetwater has a 10% off deal with free shipping. How much will she save by buying from the cheaper store compared to the other store?,60.0,Silvia wants to buy a new guitar online. The price of the guitar has a suggested retail price of $1000. Guitar Center has a special deal of 20% off but has a shipping fee of $100. Sweetwater has a 10% off deal with free shipping. How much will she save by buying from the cheaper store compared to the other store?,0.0,Silvia wants to buy a new guitar online. The price of the guitar has a suggested retail price of $1200. Guitar Center has a special deal of 15% off but has a shipping fee of $100. Sweetwater has a 10% off deal with free shipping. How much will she save by buying from the cheaper store compared to the other store?,40.0
120,Carl has been selling watermelons on the side of the road for $3 each. This evening he went home with $105 in profit and 18 watermelons. How many watermelons did he start out with this morning?,53,Carl has been selling watermelons on the side of the road for $4 each. This evening he went home with $120 in profit and 15 watermelons. How many watermelons did he start out with this morning?,45.0,Carl has been selling watermelons on the side of the road for $3 each. This evening he went home with $90 in profit and 12 watermelons. How many watermelons did he start out with this morning?,42.0,Carl has been selling watermelons on the side of the road for $2 each. This evening he went home with $100 in profit and 20 watermelons. How many watermelons did he start out with this morning?,70.0
121,"Aubrie has four cards with the labels W, X, Y, Z printed on them. W is tagged with the number 200, X is tagged with half the number W is tagged with, Y is tagged with the total of X and W's tags and Z is tagged with the number 400. Calculate the total of all the tagged numbers.",1000,"Aubrie has four cards with the labels W, X, Y, Z printed on them. W is tagged with the number 100, X is tagged with half the number W is tagged with, Y is tagged with the total of X and W's tags and Z is tagged with the number 400. Calculate the total of all the tagged numbers.",700.0,"Aubrie has four cards with the labels W, X, Y, Z printed on them. W is tagged with the number 200, X is tagged with half the number W is tagged with, Y is tagged with the total of X and W's tags and Z is tagged with the number 300. Calculate the total of all the tagged numbers.",900.0,"Aubrie has four cards with the labels W, X, Y, Z printed on them. W is tagged with the number 250, X is tagged with half the number W is tagged with, Y is tagged with the total of X and W's tags and Z is tagged with the number 400. Calculate the total of all the tagged numbers.",1150.0
122,Jonny climbed 1269 stairs last week. Julia climbed 7 less than one-third of that amount. How many stairs did Julia and Jonny climb together?,1685,Jonny climbed 900 stairs last week. Julia climbed 7 less than one-third of that amount. How many stairs did Julia and Jonny climb together?,1193.0,Jonny climbed 1269 stairs last week. Julia climbed 10 less than one-fourth of that amount. How many stairs did Julia and Jonny climb together?,1576.25,Jonny climbed 1500 stairs last week. Julia climbed 7 less than one-third of that amount. How many stairs did Julia and Jonny climb together?,1993.0
123,"Roger's age is 5 more than twice Jill's age. In 15 years, their age difference will be 30 years less than Finley's age. If Jill is 20 years old now, how old is Finley?",55.0,"Roger's age is 10 more than twice Jill's age. In 15 years, their age difference will be 30 years less than Finley's age. If Jill is 20 years old now, how old is Finley?",60.0,"Roger's age is 5 more than twice Jill's age. In 10 years, their age difference will be 30 years less than Finley's age. If Jill is 20 years old now, how old is Finley?",55.0,"Roger's age is 5 more than twice Jill's age. In 15 years, their age difference will be 25 years less than Finley's age. If Jill is 20 years old now, how old is Finley?",50.0
124,"Morgan goes to the drive-thru and orders his lunch. He gets a hamburger for $4, onion rings for $2 and a smoothie for $3. If he pays with a $20 bill, how much change does he receive?",11,"Morgan goes to the drive-thru and orders his lunch. He gets a hamburger for $5, onion rings for $3 and a smoothie for $4. If he pays with a $20 bill, how much change does he receive?",8.0,"Morgan goes to the drive-thru and orders his lunch. He gets a hamburger for $4, onion rings for $2 and a smoothie for $5. If he pays with a $20 bill, how much change does he receive?",9.0,"Morgan goes to the drive-thru and orders his lunch. He gets two hamburgers for $4 each, onion rings for $2 and a smoothie for $3. If he pays with a $20 bill, how much change does he receive?",7.0
125,"Marcy's grade is electing their class president. Marcy got three times as many votes as Barry, who got twice as many as 3 more than the number of votes Joey got. If Joey got 8 votes, how many votes did Marcy get?",66,"Marcy's grade is electing their class president. Marcy got twice as many votes as Barry, who got twice as many as 3 more than the number of votes Joey got. If Joey got 8 votes, how many votes did Marcy get?",44.0,"Marcy's grade is electing their class president. Marcy got three times as many votes as Barry, who got twice as many as 5 more than the number of votes Joey got. If Joey got 8 votes, how many votes did Marcy get?",78.0,"Marcy's grade is electing their class president. Marcy got three times as many votes as Barry, who got twice as many as 3 more than the number of votes Joey got. If Joey got 10 votes, how many votes did Marcy get?",78.0
126,Carl is hosting an open house for his new business. He knows 50 people will show up and hopes that another 40 people will randomly show up. He’s created 10 extravagant gift bags for the first 10 people who visit his shop. He’s made average gift bags for 20 people but needs to make enough for everyone who visits to have one. How many more bags does he need to make?,60,Carl is hosting an open house for his new business. He knows 40 people will show up and hopes that another 50 people will randomly show up. He’s created 10 extravagant gift bags for the first 10 people who visit his shop. He’s made average gift bags for 20 people but needs to make enough for everyone who visits to have one. How many more bags does he need to make?,60.0,Carl is hosting an open house for his new business. He knows 60 people will show up and hopes that another 30 people will randomly show up. He’s created 10 extravagant gift bags for the first 10 people who visit his shop. He’s made average gift bags for 30 people but needs to make enough for everyone who visits to have one. How many more bags does he need to make?,50.0,Carl is hosting an open house for his new business. He knows 50 people will show up and hopes that another 40 people will randomly show up. He’s created 15 extravagant gift bags for the first 15 people who visit his shop. He’s made average gift bags for 20 people but needs to make enough for everyone who visits to have one. How many more bags does he need to make?,55.0
127,"Nancy's ex owes her child support. He's supposed to pay 30% of his income each year. For 3 years, he made $30,000/year, then he got a 20% raise for the next four years. If he's only ever paid $1,200, how much does he owe her?",69000,"Nancy's ex owes her child support. He's supposed to pay 25% of his income each year. For 3 years, he made $30,000/year, then he got a 20% raise for the next four years. If he's only ever paid $1,200, how much does he owe her?",57300.0,"Nancy's ex owes her child support. He's supposed to pay 30% of his income each year. For 4 years, he made $30,000/year, then he got a 10% raise for the next three years. If he's only ever paid $1,200, how much does he owe her?",64500.0,"Nancy's ex owes her child support. He's supposed to pay 30% of his income each year. For 3 years, he made $25,000/year, then he got a 20% raise for the next four years. If he's only ever paid $1,200, how much does he owe her?",57300.0
128,"Jill and her brother Jack are going apple picking. Jill's basket can hold twice as much as Jack's basket when both are full. Jack's basket is full when it has 12 apples, but currently space for 4 more. How many times could Jack's current number of apples fit into Jill's basket?",3,"Jill and her brother Jack are going apple picking. Jill's basket can hold three times as much as Jack's basket when both are full. Jack's basket is full when it has 12 apples, but currently space for 4 more. How many times could Jack's current number of apples fit into Jill's basket?",4.5,"Jill and her brother Jack are going apple picking. Jill's basket can hold twice as much as Jack's basket when both are full. Jack's basket is full when it has 10 apples, but currently space for 4 more. How many times could Jack's current number of apples fit into Jill's basket?",3.33,"Jill and her brother Jack are going apple picking. Jill's basket can hold twice as much as Jack's basket when both are full. Jack's basket is full when it has 12 apples, but currently space for 3 more. How many times could Jack's current number of apples fit into Jill's basket?",2.67
129,Max needs 65 paper plates for the barbecue party. He already has 22 green paper plates and 24 blue paper plates. How many more paper plates does he need?,19,Max needs 70 paper plates for the barbecue party. He already has 22 green paper plates and 24 blue paper plates. How many more paper plates does he need?,24.0,Max needs 65 paper plates for the barbecue party. He already has 30 green paper plates and 20 blue paper plates. How many more paper plates does he need?,15.0,Max needs 60 paper plates for the barbecue party. He already has 22 green paper plates and 24 blue paper plates. How many more paper plates does he need?,14.0
130,"Belinda’s dog is missing, so she made 200 flyers to distribute around town with the help of her friends. Ryan passed out 42 flyers, Alyssa passed out 67, Scott passed out 51 and Belinda passed out the rest. What percentage of the flyers did Belinda pass out?",20,"Belinda’s dog is missing, so she made 180 flyers to distribute around town with the help of her friends. Ryan passed out 40 flyers, Alyssa passed out 50, Scott passed out 40 and Belinda passed out the rest. What percentage of the flyers did Belinda pass out?",27.78,"Belinda’s dog is missing, so she made 200 flyers to distribute around town with the help of her friends. Ryan passed out 50 flyers, Alyssa passed out 70, Scott passed out 50 and Belinda passed out the rest. What percentage of the flyers did Belinda pass out?",15.0,"Belinda’s dog is missing, so she made 220 flyers to distribute around town with the help of her friends. Ryan passed out 42 flyers, Alyssa passed out 67, Scott passed out 51 and Belinda passed out the rest. What percentage of the flyers did Belinda pass out?",27.27
131,"John decides to get a new phone number and it ends up being a recycled number. He used to get 20 text messages a day. Now he is getting 55. Assuming the number of texts his friends send has not changed, how many text messages per week is he getting that are not intended for him?",245,"John decides to get a new phone number and it ends up being a recycled number. He used to get 25 text messages a day. Now he is getting 60. Assuming the number of texts his friends send has not changed, how many text messages per week is he getting that are not intended for him?",245.0,"John decides to get a new phone number and it ends up being a recycled number. He used to get 15 text messages a day. Now he is getting 50. Assuming the number of texts his friends send has not changed, how many text messages per week is he getting that are not intended for him?",245.0,"John decides to get a new phone number and it ends up being a recycled number. He used to get 20 text messages a day. Now he is getting 45. Assuming the number of texts his friends send has not changed, how many text messages per week is he getting that are not intended for him?",175.0
132,"Niles is collecting his book club's annual fees. Each of the six members pays $150/year towards snacks, plus $30 each for six hardcover books and $12 each for six paperback books. How much money does Niles collect in total?",2412,"Niles is collecting his book club's annual fees. Each of the eight members pays $150/year towards snacks, plus $30 each for six hardcover books and $12 each for six paperback books. How much money does Niles collect in total?",3216.0,"Niles is collecting his book club's annual fees. Each of the six members pays $120/year towards snacks, plus $30 each for six hardcover books and $12 each for six paperback books. How much money does Niles collect in total?",2232.0,"Niles is collecting his book club's annual fees. Each of the six members pays $150/year towards snacks, plus $35 each for six hardcover books and $12 each for six paperback books. How much money does Niles collect in total?",2592.0
133,"Every day, Sara bakes 10 cakes and puts them in his refrigerator. He does this for 5 days. Carol then comes over and eats 12 of his cakes. If it takes 2 cans of frosting to frost a single cake, how many cans of frosting does Bob need to frost the remaining cakes?",76,"Every day, Sara bakes 8 cakes and puts them in his refrigerator. He does this for 5 days. Carol then comes over and eats 8 of his cakes. If it takes 2 cans of frosting to frost a single cake, how many cans of frosting does Bob need to frost the remaining cakes?",64.0,"Every day, Sara bakes 10 cakes and puts them in his refrigerator. He does this for 6 days. Carol then comes over and eats 8 of his cakes. If it takes 2 cans of frosting to frost a single cake, how many cans of frosting does Bob need to frost the remaining cakes?",104.0,"Every day, Sara bakes 10 cakes and puts them in his refrigerator. He does this for 5 days. Carol then comes over and eats 15 of his cakes. If it takes 2 cans of frosting to frost a single cake, how many cans of frosting does Bob need to frost the remaining cakes?",70.0
134,"Jana is 5 inches taller than Kelly, and Kelly is 3 inches shorter than Jess. If Jess is 72 inches tall, how tall is Jana?",74,"Jana is 6 inches taller than Kelly, and Kelly is 3 inches shorter than Jess. If Jess is 72 inches tall, how tall is Jana?",75.0,"Jana is 5 inches taller than Kelly, and Kelly is 4 inches shorter than Jess. If Jess is 72 inches tall, how tall is Jana?",73.0,"Jana is 5 inches taller than Kelly, and Kelly is 3 inches shorter than Jess. If Jess is 70 inches tall, how tall is Jana?",72.0
135,Tom Brady is shy of the passing yards record in a season. The current record is 5999 yards. He currently has 4200 yards with 6 games left in the season. How many passing yards per game does he need to average to beat the record?,300,Tom Brady is shy of the passing yards record in a season. The current record is 5999 yards. He currently has 4200 yards with 8 games left in the season. How many passing yards per game does he need to average to beat the record?,225.0,Tom Brady is shy of the passing yards record in a season. The current record is 6200 yards. He currently has 4200 yards with 6 games left in the season. How many passing yards per game does he need to average to beat the record?,333.5,Tom Brady is shy of the passing yards record in a season. The current record is 5999 yards. He currently has 4500 yards with 5 games left in the season. How many passing yards per game does he need to average to beat the record?,300.0
136,"Three baskets A, B and C contain different numbers of differently colored marbles. Basket A contains 4 red marbles and 2 yellow marbles. Basket B contains 6 green marbles and 1 yellow marble. Basket C contains 3 white marbles and 9 yellow marbles. What is the difference between the number of each color of marble in the basket that has the greatest difference?",6,"Three baskets A, B and C contain different numbers of differently colored marbles. Basket A contains 5 red marbles and 2 yellow marbles. Basket B contains 6 green marbles and 1 yellow marble. Basket C contains 3 white marbles and 9 yellow marbles. What is the difference between the number of each color of marble in the basket that has the greatest difference?",6.0,"Three baskets A, B and C contain different numbers of differently colored marbles. Basket A contains 4 red marbles and 2 yellow marbles. Basket B contains 8 green marbles and 1 yellow marble. Basket C contains 3 white marbles and 9 yellow marbles. What is the difference between the number of each color of marble in the basket that has the greatest difference?",7.0,"Three baskets A, B and C contain different numbers of differently colored marbles. Basket A contains 4 red marbles and 2 yellow marbles. Basket B contains 6 green marbles and 1 yellow marble. Basket C contains 5 white marbles and 9 yellow marbles. What is the difference between the number of each color of marble in the basket that has the greatest difference?",5.0
