id,correct_answer,cot_original_extracted,cot_lexical_extracted,cot_syntactic_extracted,cot_contextual_extracted,average_accuracy,answer_consistency,ECS,ECS_decile
426,5122,5122.00,5122.00,5122.00,5122,1.0,1.0,0.9043910106023152,5
427,91,91,91,91,91,1.0,1.0,0.910036693016688,6
428,30,30,3,270,30,0.5,0.5,0.88518026471138,4
429,96,96,96,96,96,1.0,1.0,0.9504213829835256,9
430,370,370,370,370,240,0.75,0.75,0.8723948697249094,3
431,114,114,114,114,105,0.75,0.75,0.8743691643079122,3
432,1,1,1,1,1,1.0,1.0,0.9845125277837118,9
433,60,12,102,10,12,0.0,0.5,0.8532979091008505,2
434,240,1,240.00,1440.00,240,0.5,0.5,0.6172390629847845,0
435,48,36,12,48,48,0.5,0.5,0.916364312171936,6
436,75,75,75,75,11,0.75,0.75,0.8729369938373566,3
437,8,8.00,8.00,8.00,8.00,1.0,1.0,0.92547673980395,7
438,50,50,50,50,50,1.0,1.0,0.8504842321077982,1
439,40,1,40.0,40.00,40.00,0.75,0.75,0.8773903846740723,3
440,30,30,30,30,30,1.0,1.0,0.8491765260696411,1
441,15600,15600,15600,3600.00,19500,0.5,0.5,0.884516845146815,4
442,140,140,30,140,140,0.75,0.75,0.9281490941842396,7
443,65,65,65,65,65,1.0,1.0,0.9390876491864524,8
444,1600,1600,1600,1600,1600,1.0,1.0,0.8696125547091166,3
445,6,6,6,6,6,1.0,1.0,0.7834230065345764,0
446,50,50,50,50,50,1.0,1.0,0.8625637193520864,2
447,16,16,16,16,16,1.0,1.0,0.8630954722563425,2
448,70,70,65,70,70,0.75,0.75,0.874672919511795,3
449,210,210,210,210,210,1.0,1.0,0.843824565410614,1
450,30,28,30,30,28,0.5,0.5,0.9181585510571798,6
451,768,768,768,768,768,1.0,1.0,0.9522792299588522,9
452,420,420,420,420,420,1.0,1.0,0.9721303284168245,9
453,40,40,40,40.0,40,1.0,1.0,0.896420399347941,5
454,5,5,29,0,5,0.5,0.5,0.8895557920138041,4
455,50,50,50,43,50,0.75,0.75,0.9006433486938477,5
456,18,18,18,18,18,1.0,1.0,0.8640409111976624,2
457,200,200.00,200.00,5,200.00,0.75,0.75,0.91139621535937,6
458,1680000,4800,1680000,840000000.00,2640000,0.25,0.0,0.8344351748625437,1
459,18,18,18.0,18.0,18,1.0,1.0,0.9366159737110138,8
460,14,11,11,11,11,0.0,1.0,0.9148533145586648,6
461,60,60,60,60.0,60,1.0,1.0,0.9171662131945292,6
462,14,14,14,14,34,0.75,0.75,0.9345227082570394,8
463,6,6,6,6,5,0.75,0.75,0.888318141301473,4
464,20,20,30,20,20,0.75,0.75,0.8977871735890707,5
465,18,18,18,10.00,18.0,0.75,0.75,0.915691981712977,6
466,81,96,81,81,81,0.75,0.75,0.8609121044476827,2
467,10,10,10,10,10,1.0,1.0,0.9255230824152628,7
468,484,484,484,452,472,0.5,0.5,0.8946660757064819,5
469,6,6,6,6,6,1.0,1.0,0.8698159754276276,3
470,50,16.67,33.33,50,40,0.25,0.0,0.8437824050585429,1
471,360,240,350.0,250.00,360,0.25,0.0,0.8553289373715719,2
472,673,673,673,666.0,673,0.75,0.75,0.8317257364590963,1
473,32,32,32,32,32,1.0,1.0,0.9319425026575724,8
474,100,100.00,100.00,100.00,100.00,1.0,1.0,0.9018588364124298,5
475,2250,2250,2250,2250,1750,0.75,0.75,0.9349623421827952,8
476,225,225,225,225,225,1.0,1.0,0.9238207638263702,7
477,840,840,1080,840,840.0,0.75,0.75,0.8951662083466848,5
478,110,110,92,1420,230,0.25,0.0,0.8380157152811686,1
479,324,324.00,108,324.00,216,0.5,0.5,0.9406123161315918,8
480,113,113,113,113,113,1.0,1.0,0.8337173064549764,1
481,20,20,20,20,20,1.0,1.0,0.9291547338167826,7
482,274,274,274,270,282,0.5,0.5,0.9133493602275848,6
483,24,24,90,20,5,0.25,0.0,0.8821011284987131,4
484,39,1,45,36,1,0.0,0.5,0.8566811084747314,2
485,44,44,44,44,44,1.0,1.0,0.8756077686945597,3
486,120,120.0,120.0,120,60,0.75,0.75,0.8845580220222473,4
487,100,0.008,3,100,2,0.25,0.0,0.8778248230616251,3
488,10,20,10,20,10,0.5,0.5,0.8829506238301595,4
489,1,0.50,60.0,,50,0.0,0.0,0.8890911440054575,4
490,3,3,3,3,3,1.0,1.0,0.9040144085884094,5
491,11,11,11,11,11,1.0,1.0,0.954761803150177,9
492,96,96,1,96.0,71.83,0.5,0.5,0.8305739959081014,1
493,200,200.0,200.00,50.00,200.0,0.75,0.75,0.8575312693913778,2
494,7,7,7,7,13/4,0.75,0.75,0.8850200970967611,4
495,9,11,12,9,8,0.25,0.0,0.84140611688296,1
496,20,20,20,20,20,1.0,1.0,0.904814104239146,5
497,6,6,6,6,6,1.0,1.0,0.9486942986647288,9
498,1,1,1,1,1,1.0,1.0,0.9057780504226683,5
499,5500,5500,500,5000,5000,0.25,0.5,0.8055172860622406,0
500,9,9,9,9,9,1.0,1.0,0.7955447832743326,0
