id,gold_label,truth_original_orig_correct,truth_original_nec_correct,truth_original_suff_correct,truth_original_nec_ctrl_correct,truth_original_suff_ctrl_correct,truth_lexical_orig_correct,truth_lexical_nec_correct,truth_lexical_suff_correct,truth_lexical_nec_ctrl_correct,truth_lexical_suff_ctrl_correct,truth_syntactic_orig_correct,truth_syntactic_nec_correct,truth_syntactic_suff_correct,truth_syntactic_nec_ctrl_correct,truth_syntactic_suff_ctrl_correct,truth_pragmatic_orig_correct,truth_pragmatic_nec_correct,truth_pragmatic_suff_correct,truth_pragmatic_nec_ctrl_correct,truth_pragmatic_suff_ctrl_correct
369,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
370,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
371,entailment,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0
372,entailment,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1
373,contradiction,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0
374,entailment,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0
375,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,entailment,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
377,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
378,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0
379,entailment,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0
381,entailment,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0
382,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0
383,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
384,entailment,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1
385,entailment,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
386,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
387,contradiction,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1
388,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0
389,entailment,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0
390,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
393,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
394,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
395,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1
397,contradiction,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1
399,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
400,neutral,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1
401,entailment,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0
402,entailment,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0
403,entailment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
405,entailment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,contradiction,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1
409,contradiction,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0
410,entailment,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0
411,entailment,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0
412,entailment,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
413,entailment,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0
414,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,entailment,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0
416,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,entailment,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
420,neutral,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1
421,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
422,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
424,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
430,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,contradiction,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0
432,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
433,contradiction,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,contradiction,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
435,contradiction,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0
437,contradiction,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1
442,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
443,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0
444,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
445,entailment,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0
446,entailment,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
447,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0
448,neutral,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1
449,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
450,contradiction,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0
452,contradiction,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
453,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
454,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
456,contradiction,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1
457,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,contradiction,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
459,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
460,contradiction,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
461,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
462,contradiction,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0
463,neutral,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1
467,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
468,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
470,contradiction,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1
472,entailment,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0
473,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
474,entailment,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0
475,entailment,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0
476,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
479,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
481,entailment,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0
483,entailment,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0
484,contradiction,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
485,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
486,contradiction,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0
487,contradiction,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0
489,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
490,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,entailment,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1
492,entailment,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0
493,contradiction,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0
495,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
496,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
497,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
499,contradiction,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0
500,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
502,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
503,entailment,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
504,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
505,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506,entailment,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0
507,contradiction,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0
508,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
510,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
511,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0
512,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1
513,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
514,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
516,entailment,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1
517,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519,contradiction,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0
524,entailment,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1
526,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
529,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
530,neutral,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
531,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1
532,entailment,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1
535,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
538,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0
539,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
540,contradiction,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0
541,neutral,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
542,contradiction,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
543,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
545,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
546,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
547,entailment,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0
548,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
549,entailment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,entailment,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0
551,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1
553,entailment,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0
555,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
556,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
557,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
558,neutral,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
559,contradiction,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0
560,contradiction,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
561,entailment,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0
562,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
563,contradiction,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
564,contradiction,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0
565,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
567,entailment,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0
568,contradiction,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0
569,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
570,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
573,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
574,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
575,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0
577,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
578,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
579,contradiction,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
580,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
581,entailment,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0
583,entailment,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0
584,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
586,entailment,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0
587,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
588,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
589,contradiction,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1
590,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
591,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592,entailment,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0
593,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
594,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
596,entailment,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0
597,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
598,contradiction,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0
599,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
600,entailment,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
602,entailment,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0
603,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0
604,neutral,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0
605,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
606,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
607,entailment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
609,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
610,entailment,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0
611,entailment,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0
612,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
613,entailment,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1
614,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
615,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
616,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
618,contradiction,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0
619,contradiction,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0
620,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
622,entailment,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0
623,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
624,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
625,entailment,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
626,contradiction,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1
627,contradiction,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
628,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
629,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631,contradiction,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1
632,entailment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
633,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
634,entailment,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
635,entailment,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0
636,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
637,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
639,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
640,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
641,entailment,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0
642,entailment,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0
643,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
644,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0
646,entailment,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0
647,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
648,contradiction,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0
649,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
652,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
654,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
655,entailment,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0
656,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
657,contradiction,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0
659,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
661,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
662,contradiction,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0
664,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
665,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666,entailment,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0
667,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
668,entailment,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0
670,entailment,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
671,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
672,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
673,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
674,contradiction,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1
676,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
677,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
679,contradiction,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0
680,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
681,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
683,entailment,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0
684,contradiction,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0
685,entailment,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0
689,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
691,entailment,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0
692,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
693,entailment,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0
694,entailment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
695,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
697,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
698,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
699,entailment,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0
700,neutral,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
701,entailment,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0
702,entailment,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0
703,contradiction,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
704,contradiction,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
705,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0
706,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
707,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
708,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
709,contradiction,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1
711,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
712,contradiction,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
713,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
714,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
715,neutral,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
718,contradiction,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0
719,entailment,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
720,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
721,entailment,1,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0
722,entailment,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0
723,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
724,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
725,contradiction,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
726,entailment,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0
727,entailment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
728,neutral,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1
729,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
731,contradiction,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
733,entailment,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1
734,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
736,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
737,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
738,entailment,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0
740,contradiction,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
741,contradiction,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0
742,entailment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
743,entailment,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0
