id,premise_text,evidence_original,evidence_lexical,evidence_syntactic,evidence_pragmatic
220,"A man dressed in a sport coat, slacks and nice shoes, posing in a very busily-decorated room, while wearing a dark green mask that has large yellow monster teeth, a single orange eye, and completely covers his head.","[""wearing a dark green mask"", ""monster teeth"", ""a single orange eye"", ""completely covers his head""]","[""A man"", ""dressed in a sport coat, slacks and nice shoes"", ""posing"", ""busily-decorated room"", ""dark green mask that has large yellow monster teeth, a single orange eye, and completely covers his head""]","[""mask"", ""completely covers his head"", ""posing in a very busily-decorated room""]","[""mask"", ""monster teeth"", ""completely covers his head"", ""busily-decorated room""]"
223,A young boy playing goalie stops the soccer ball with his hands.,"[""playing goalie"", ""stops the soccer ball with his hands""]","[""young boy"", ""playing goalie"", ""stops the soccer ball"", ""with his hands""]","[""stops"", ""the soccer ball"", ""with his hands""]","[""young boy"", ""stops the soccer ball with his hands""]"
224,A young woman plays professional tennis.,"[""plays professional tennis""]","[""plays"", ""professional tennis""]","[""professional tennis""]","[""professional tennis""]"
225,Someone in a lime green shirt is holding on to a tree.,"[""Someone"", ""holding on to a tree""]","[""Someone"", ""holding on to a tree""]","[""Someone"", ""holding on to a tree""]","[""Someone"", ""holding on to a tree""]"
227,A young boy doing a wheelie on his bike.,"[""boy"", ""wheelie""]","[""doing a wheelie""]","[""A young boy"", ""doing a wheelie""]","[""doing a wheelie""]"
228,A skateboarder riding up to a slope.,"[""riding up to a slope""]","[""riding up to a slope""]","[""riding up to a slope""]","[""skateboarder"", ""riding up to a slope""]"
229,Big brown and white spotted dog laying on a jacket on the street.,"[""dog"", ""laying on a jacket"", ""on the street""]","[""dog"", ""laying"", ""on a jacket"", ""on the street""]","[""dog"", ""on a jacket"", ""on the street""]","[""dog"", ""jacket"", ""on the street""]"
230,Two men clean the outside of a building under a blue sky.,"[""blue sky""]","[""blue sky""]","[""blue sky""]","[""blue sky""]"
231,A man in a hoodie does an ollie on his skateboard with people in the park in the background.,"[""A man"", ""does an ollie"", ""on his skateboard"", ""in the park""]","[""A man"", ""does an ollie"", ""on his skateboard"", ""in the park"", ""in the background""]","[""A man"", ""does an ollie on his skateboard"", ""in the park""]","[""A man"", ""does an ollie"", ""skateboard"", ""in the park""]"
232,An arena audience looking down at a football field.,"[""audience"", ""looking down at"", ""football field""]","[""looking down at a football field""]","[""audience"", ""looking down at"", ""football field""]","[""audience"", ""looking down at"", ""football field""]"
234,"A man wearing a blue outfit is pushing a boat, which is wooden and covered, with a pole, and a woman wearing black is the passenger.","[""pushing a boat"", ""with a pole""]","[""pushing a boat"", ""wooden"", ""covered"", ""with a pole""]","[""pushing a boat"", ""with a pole""]","[""pushing a boat"", ""with a pole""]"
235,A man in a black shirt is making bubbles.,"[""A man"", ""making bubbles""]","[""A man"", ""is making bubbles""]","[""A man"", ""making bubbles""]","[""making bubbles""]"
236,The two people are viewing an artist's piece.,"[""The two people are viewing an artist's piece""]","[""The two people are viewing an artist's piece""]","[""The two people are viewing an artist's piece.""]","[""two people"", ""viewing"", ""an artist's piece""]"
237,"A man wearing sunglasses, white shirt, and a smile plays the drums.","[""man"", ""plays the drums""]","[""A man"", ""plays the drums""]","[""A man"", ""plays the drums""]","[""man"", ""plays the drums""]"
238,The black dog is standing by the wall next to the orange.,"[""dog"", ""is standing"", ""next to the orange""]","[""dog"", ""standing"", ""next to the orange""]","[""dog"", ""is standing"", ""next to the orange""]","[""dog"", ""standing"", ""next to"", ""orange""]"
242,"A young, Hispanic woman wearing a sundress is walking outside near a large fountain and palm trees.","[""wearing a sundress""]","[""young, Hispanic woman"", ""wearing a sundress"", ""sundress""]","[""A young, Hispanic woman"", ""wearing a sundress""]","[""young, Hispanic woman"", ""wearing a sundress""]"
243,Two individuals on motorbikes leaning into a turn on a racetrack.,"[""individuals"", ""motorbikes""]","[""Two individuals"", ""on motorbikes"", ""leaning into a turn"", ""on a racetrack""]","[""Two individuals"", ""on motorbikes"", ""leaning into a turn"", ""on a racetrack""]","[""Two individuals"", ""on motorbikes"", ""leaning into a turn"", ""on a racetrack""]"
245,A group of men and women are on stage doing a performance in dim lighting.,"[""A group of men and women"", ""on stage"", ""doing a performance"", ""in dim lighting""]","[""A group"", ""on stage"", ""doing a performance"", ""in dim lighting""]","[""A group"", ""on stage"", ""doing a performance"", ""in dim lighting""]","[""A group of men and women"", ""on stage"", ""doing a performance"", ""in dim lighting""]"
247,Four men are sitting in red cloth covered chairs viewing something together.,"[""viewing something together""]","[""Four men"", ""sitting"", ""viewing something""]","[""men"", ""viewing something together""]","[""Four men"", ""sitting"", ""viewing something"", ""together""]"
249,"There are several people but three in particular, coming from a shopping center with boxes and plants in their carts.","[""people"", ""three in particular"", ""boxes and plants in their carts""]","[""people"", ""boxes and plants"", ""carts""]","[""people"", ""boxes and plants in their carts""]","[""people"", ""boxes and plants in their carts""]"
250,Children are learning about a firetruck.,"[""learning about a firetruck""]","[""learning about a firetruck""]","[""learning about a firetruck""]","[""Children"", ""learning"", ""a firetruck""]"
251,An old man in shorts and white spotted black socks sits outside playing an accordion.,"[""An old man"", ""sits"", ""outside"", ""playing an accordion""]","[""An old man"", ""playing"", ""an accordion"", ""outside""]","[""An old man"", ""playing"", ""an accordion"", ""outside""]","[""playing an accordion"", ""sits outside""]"
252,A small car decorated with flames and other paint is driving amongst a crowd with a tub and flags on the roof.,"[""decorated with flames and other paint""]","[""small car"", ""decorated with flames and other paint"", ""a tub and flags on the roof""]","[""decorated with flames and other paint""]","[""decorated with flames and other paint""]"
253,A group of farmers are working together to complete a plant related task.,"[""A group of farmers"", ""working together"", ""plant related task""]","[""farmers are working together"", ""plant related task""]","[""farmers"", ""working together"", ""plant related task""]","[""farmers"", ""working together"", ""plant related task""]"
255,Two people are walking in opposite directions in front of the same store that says there is a 50% sale.,"[""Two people"", ""walking"", ""in opposite directions"", ""in front of the same store"", ""a 50% sale""]","[""Two people"", ""walking"", ""in opposite directions"", ""in front of the same store"", ""a 50% sale""]","[""Two people are walking in opposite directions"", ""in front of the same store"", ""says there is a 50% sale""]","[""Two people"", ""walking"", ""in opposite directions"", ""store"", ""50% sale""]"
256,A man is sliding along a green barrier on his snowboard.,"[""sliding"", ""snowboard""]","[""sliding"", ""snowboard""]","[""man"", ""sliding along a green barrier on his snowboard""]","[""man"", ""sliding"", ""snowboard""]"
258,Hispanic woman wearing a red plaid shirt works on sewing an article of clothing.,"[""wearing a red plaid shirt"", ""sewing an article of clothing""]","[""wearing a red plaid shirt"", ""sewing an article of clothing""]","[""wearing a red plaid shirt"", ""works on sewing an article of clothing""]","[""wearing a red plaid shirt"", ""sewing an article of clothing""]"
259,Three elderly women walking from behind.,"[""walking""]","[""walking""]","[""walking from behind""]","[""walking from behind""]"
260,The boy is playing with a colorful ribbon.,"[""boy"", ""colorful ribbon""]","[""boy"", ""colorful ribbon""]","[""boy"", ""is playing with"", ""a colorful ribbon""]","[""boy"", ""playing with a colorful ribbon""]"
261,Two women standing in front of a fence looking at mountains.,"[""looking at mountains""]","[""Two women"", ""looking at"", ""mountains""]","[""Two women"", ""looking at mountains""]","[""women"", ""looking at"", ""mountains""]"
262,A large group of men of all ages sit around a large conference table and listen to a man in black speak.,[],"[""A large group of men of all ages"", ""a man in black""]","[""A large group of men of all ages"", ""a man in black speak""]","[""group of men"", ""man in black""]"
263,An elderly couple dance in front of a juke box while a guy in shorts sleeps at a nearby table,"[""An elderly couple dance"", ""in front of a juke box"", ""a guy in shorts sleeps"", ""at a nearby table""]","[""An elderly couple dance"", ""in front of a juke box"", ""a guy in shorts sleeps"", ""at a nearby table""]","[""An elderly couple"", ""dance"", ""in front of a juke box"", ""while"", ""a guy in shorts"", ""sleeps"", ""at a nearby table""]","[""An elderly couple dance"", ""in front of a juke box"", ""a guy in shorts sleeps"", ""at a nearby table""]"
264,A woman and child stand on the beach while sailboats sail on the ocean.,"[""stand on the beach""]","[""stand"", ""on the beach""]","[""stand on the beach""]","[""stand on the beach"", ""sailboats sail on the ocean""]"
265,A hand with tongs is reaching for a vegetable kabob on a grill that also has ribs and chicken kabobs.,"[""vegetable kabob"", ""ribs"", ""chicken kabobs""]","[""vegetable kabob"", ""ribs"", ""chicken kabobs""]","[""vegetable kabob"", ""chicken kabobs""]","[""vegetable kabob"", ""ribs"", ""chicken kabobs""]"
267,A man in a home kitchen is flipping a pancake extremely high.,"[""flipping a pancake extremely high""]","[""flipping a pancake extremely high""]","[""flipping a pancake extremely high""]","[""flipping a pancake extremely high"", ""pancake""]"
269,Handyman works on outer wall of city building.,"[""Handyman works on outer wall""]","[""Handyman"", ""works on"", ""outer wall""]","[""outer wall"", ""city building""]","[""Handyman"", ""works on"", ""outer wall""]"
270,a group of women with there small children two small girls and two small babies.,"[""women"", ""two small girls and two small babies""]","[""women"", ""two small girls"", ""two small babies""]","[""a group of women"", ""there small children"", ""two small girls"", ""two small babies""]","[""small children"", ""two small girls"", ""two small babies""]"
271,"Dressed in high-waisted blue jeans, boots and a blue shirt with a gold ""B"" on the front is talking on the phone.","[""talking on the phone""]","[""Dressed in high-waisted blue jeans, boots and a blue shirt with a gold \""B\"" on the front"", ""talking on the phone""]","[""Dressed in high-waisted blue jeans, boots and a blue shirt with a gold \""B\"" on the front"", ""talking on the phone""]","[""Dressed in high-waisted blue jeans, boots and a blue shirt with a gold \""B\"" on the front"", ""talking on the phone""]"
272,"Two women, one wearing jeans and one wearing a white skirt, are walking in a building.","[""one wearing jeans"", ""one wearing a white skirt""]","[""one wearing jeans"", ""one wearing a white skirt""]","[""one wearing jeans"", ""one wearing a white skirt""]","[""one wearing jeans"", ""one wearing a white skirt""]"
274,A snowboarder is doing a flip over a mound of snow.,"[""snowboarder"", ""doing a flip""]","[""snowboarder"", ""doing a flip""]","[""A snowboarder"", ""doing a flip""]","[""snowboarder"", ""doing a flip""]"
275,A young boy is climbing on the leg of a statue.,"[""climbing on the leg of a statue""]","[""climbing on the leg of a statue""]","[""climbing"", ""on the leg of a statue""]","[""climbing on the leg of a statue""]"
276,Three men stand in a bar with a purple counter.,"[""Three men"", ""purple counter""]","[""men""]","[""Three men"", ""purple counter""]","[""Three men"", ""purple counter""]"
277,A new graduate is reaching over to shake hands with a man behind the roped off section separating them.,"[""reaching over""]","[""reaching over"", ""shake hands""]","[""reaching over"", ""shake hands""]","[""new graduate"", ""reaching over to shake hands""]"
279,Two hockey players almost fall on the ice during a scuffle.,"[""hockey players"", ""almost fall"", ""on the ice"", ""scuffle""]","[""hockey players"", ""almost fall"", ""on the ice"", ""scuffle""]","[""hockey players"", ""almost fall"", ""on the ice"", ""scuffle""]","[""Two hockey players"", ""almost fall"", ""on the ice"", ""scuffle""]"
280,Indian woman performing a dance on stage.,"[""Indian woman"", ""performing a dance"", ""on stage""]","[""Indian woman"", ""performing a dance"", ""on stage""]","[""Indian woman"", ""performing a dance"", ""on stage""]",[]
281,Skydivers in formation.,"[""Skydivers"", ""in formation""]","[""Skydivers"", ""in formation""]","[""Skydivers"", ""formation""]","[""Skydivers in formation""]"
282,A brown dog swims through water outdoors with a tennis ball in its mouth.,"[""A brown dog"", ""swims through water"", ""with a tennis ball in its mouth""]","[""swims through water"", ""a tennis ball in its mouth""]","[""brown dog"", ""swims"", ""water"", ""with a tennis ball in its mouth""]","[""brown dog"", ""swims"", ""through water"", ""with a tennis ball in its mouth""]"
284,Two women in library the librarian assist the other women to help in her research.,"[""librarian assist the other women"", ""in her research"", ""in library""]","[""in library"", ""the librarian assist"", ""the other women"", ""in her research""]","[""librarian"", ""assist"", ""the other women"", ""help"", ""research"", ""in library""]","[""librarian"", ""assist"", ""women"", ""research"", ""library""]"
285,"Two People, smiling holding a musical instrument.","[""musical instrument""]","[""Two People"", ""smiling"", ""holding a musical instrument""]","[""Two People"", ""smiling"", ""holding a musical instrument""]","[""Two People"", ""smiling"", ""holding a musical instrument""]"
286,"A giant inflatable ball, taller than a man, is chased by two men in orange shirts.","[""two men"", ""inflatable ball"", ""chased by""]","[""A giant inflatable ball"", ""chased by"", ""two men""]","[""A giant inflatable ball"", ""is chased"", ""taller than a man""]","[""A giant inflatable ball"", ""is chased by"", ""two men""]"
288,A muslim woman holding balloons at an islamic event,"[""holding balloons""]","[""holding balloons""]","[""holding balloons""]","[""holding balloons""]"
289,Two men work on girls bike in front of garage.,"[""Two men"", ""work"", ""girls bike"", ""in front of garage""]","[""Two men"", ""work"", ""girls bike"", ""in front of garage""]","[""Two men"", ""work"", ""girls bike""]","[""Two men work""]"
290,A group of men are playing basketball.,"[""playing basketball""]","[""playing basketball""]","[""playing basketball""]","[""playing basketball""]"
291,A female contortionist practices her solo performance on stage.,"[""A female contortionist"", ""practices her solo performance"", ""on stage""]","[""A female contortionist"", ""practices her solo performance on stage""]","[""A female contortionist"", ""practices her solo performance on stage""]","[""A female contortionist"", ""practices her solo performance on stage""]"
294,The two man is busy cementing the road.,"[""cementing the road""]","[""cementing the road""]","[""cementing the road""]","[""cementing the road""]"
295,A blond woman playing horseshoes in the snow.,"[""blond woman"", ""playing horseshoes in the snow""]","[""A blond woman playing horseshoes in the snow""]","[""blond woman"", ""playing horseshoes"", ""in the snow""]","[""blond woman"", ""playing horseshoes"", ""in the snow""]"
297,a woman wearing a white shirt kissing a guy.,"[""a guy""]","[""woman"", ""guy""]","[""woman"", ""kissing"", ""guy""]","[""a woman"", ""kissing"", ""a guy""]"
298,A woman with feathers in her hair.,"[""feathers in her hair""]","[""woman"", ""feathers in her hair""]","[""feathers"", ""in her hair""]","[""feathers in her hair""]"
299,Two large dogs lying on their backs on a purple comforter.,"[""Two large dogs"", ""lying on their backs"", ""on a purple comforter""]","[""Two large dogs"", ""lying on their backs"", ""on a purple comforter""]","[""Two large dogs"", ""lying on their backs"", ""on a purple comforter""]","[""Two large dogs"", ""lying on their backs"", ""on a purple comforter""]"
300,A technician bent over fixing a machine.,"[""fixing""]","[""fixing a machine""]","[""A technician"", ""fixing a machine""]","[""fixing a machine""]"
301,A man walking through a large grass-covered valley.,"[""man"", ""walking through a large grass-covered valley""]","[""man"", ""walking"", ""valley""]","[""man""]","[""man"", ""walking through"", ""valley""]"
302,A shirtless man is doing a jump with a skateboard.,"[""jump with a skateboard""]","[""jump with a skateboard""]","[""a jump with a skateboard""]","[""jump"", ""skateboard""]"
305,"Two men, dresses in jackets and gloves, blowing leaves.","[""blowing leaves""]","[""blowing leaves""]","[""blowing leaves""]","[""Two men"", ""dresses in jackets and gloves"", ""blowing leaves""]"
306,A guy is on one hand throwing his feet up surrounded by a crowd.,"[""throwing his feet up"", ""surrounded by a crowd""]","[""A guy"", ""throwing his feet up"", ""a crowd""]","[""A guy"", ""throwing his feet up"", ""a crowd""]","[""throwing his feet up"", ""surrounded by a crowd""]"
307,A man in yellow and a man in green boating down a river on an overcast day.,"[""river""]","[""boating"", ""overcast day""]","[""man in yellow"", ""man in green"", ""boating down a river"", ""on an overcast day""]",[]
308,A young boy with an orange shirt on is looking at a tool set with an overturned bike at his side.,"[""overturned bike at his side""]","[""overturned bike"", ""at his side""]","[""overturned bike at his side""]","[""an overturned bike at his side""]"
310,"Five young, well-dressed people work in a kitchen.","[""people"", ""work"", ""in a kitchen""]","[""work in a kitchen""]","[""Five young, well-dressed people"", ""work in a kitchen""]","[""people"", ""work"", ""in a kitchen""]"
311,Small boy lying on his stomach on the grass.,"[""boy"", ""lying"", ""on the grass""]","[""Small boy"", ""lying on his stomach"", ""on the grass""]","[""boy"", ""lying"", ""on the grass""]","[""boy"", ""lying"", ""grass""]"
312,Kids riding on their bicycles near a mound of dirt with a hovel from a backhoe in front of the mound.,"[""mound of dirt"", ""backhoe""]","[""near a mound of dirt"", ""backhoe"", ""in front of the mound""]","[""mound of dirt"", ""backhoe""]","[""mound of dirt"", ""backhoe""]"
314,A team of surgeons dressed in blue operate on a patient.,"[""surgeons"", ""operate on a patient""]","[""surgeons"", ""operate on a patient""]","[""surgeons"", ""operate on a patient""]","[""surgeons"", ""operate on a patient""]"
315,Three football players in navy blue and yellow uniforms are running down a football field; one is kicking a football as he runs.,"[""football players"", ""football field"", ""football""]","[""football players"", ""running"", ""football field"", ""kicking a football""]","[""football players"", ""football field"", ""football""]","[""football players"", ""football field"", ""kicking a football""]"
316,A man in a purple and white shirt is assisting a man in a wife beater with his workout.,"[""man"", ""assisting"", ""man"", ""workout""]","[""workout""]","[""assisting"", ""workout""]","[""assisting"", ""workout""]"
318,A man in a blue t-shirt eats a meal.,"[""eats a meal""]","[""eats a meal""]","[""man"", ""eats a meal""]","[""A man"", ""eats a meal""]"
319,People are waiting for a train at the subway.,"[""train""]","[""waiting for a train""]","[""waiting for a train""]","[""waiting for a train"", ""at the subway""]"
320,Little boy playing with his toy truck.,"[""playing with his toy truck""]","[""toy truck""]","[""boy"", ""playing"", ""toy truck""]","[""boy"", ""playing with his toy truck""]"
321,An elderly lady with a cane and handbag walks along the sidewalk.,"[""lady"", ""walks""]","[""elderly lady"", ""walks""]","[""lady"", ""walks""]","[""lady"", ""walks""]"
322,A basketball player slam dunks the basketball.,"[""slam dunks""]","[""slam dunks""]","[""slam dunks""]","[""slam dunks""]"
323,People are riding an escalator up and down a subway station tunnel.,"[""riding an escalator"", ""up and down""]","[""People are riding an escalator"", ""subway station tunnel""]","[""riding an escalator"", ""up and down""]","[""People"", ""riding an escalator"", ""up and down"", ""subway station""]"
324,A dog on a leash walks on the sidewalk while another dog follows.,"[""dog"", ""walks"", ""on the sidewalk"", ""another dog"", ""follows""]","[""dog"", ""walks"", ""on the sidewalk"", ""follows""]","[""walks"", ""on the sidewalk""]","[""dog"", ""walks"", ""on the sidewalk"", ""another dog"", ""follows""]"
326,A man in a brown-red suit holds a stringed instrument and looks off to the left in front of a purple-pink background.,"[""A man"", ""holds a stringed instrument""]","[""man"", ""holds"", ""a stringed instrument""]","[""holds a stringed instrument""]","[""holds a stringed instrument""]"
327,A man wearing black shorts with white stripes is diving into some water.,"[""black shorts with white stripes""]","[""black shorts with white stripes""]",[],"[""black shorts with white stripes""]"
328,A woman helping another woman out with a website on a computer.,"[""A woman"", ""another woman"", ""computer""]","[""A woman"", ""helping"", ""another woman"", ""on a computer""]","[""A woman"", ""another woman"", ""helping"", ""on a computer""]","[""A woman"", ""another woman"", ""on a computer""]"
329,People search for their seats in a stadium.,"[""People"", ""search for their seats"", ""in a stadium""]","[""People"", ""search for their seats"", ""in a stadium""]","[""People search for their seats"", ""in a stadium""]","[""search for their seats"", ""in a stadium""]"
330,"A woman with a brown coat and a woman with a black top stand along displays of oranges, apples, and other fruits.","[""A woman"", ""stand"", ""displays of oranges, apples, and other fruits""]","[""A woman"", ""woman"", ""stand"", ""displays of oranges, apples, and other fruits""]","[""A woman"", ""woman"", ""stand"", ""displays of oranges, apples, and other fruits""]","[""A woman"", ""a woman"", ""stand"", ""displays of oranges, apples, and other fruits""]"
332,A man riding a BMX bike is attempting a bicycle trick in a skate park.,"[""man"", ""attempting a bicycle trick""]","[""attempting a bicycle trick""]","[""A man"", ""riding a BMX bike"", ""is attempting a bicycle trick""]","[""attempting a bicycle trick""]"
333,A white dog is running along a path outside.,"[""dog"", ""running"", ""outside""]","[""dog"", ""running along a path""]","[""dog"", ""running""]","[""dog"", ""running along a path""]"
334,a man in black clothes is watching a child making a splash in a pool.,"[""a child making a splash in a pool""]","[""a child"", ""in a pool""]","[""a man"", ""watching"", ""a child"", ""making a splash"", ""in a pool""]","[""child"", ""making a splash"", ""in a pool""]"
335,Telephone wires are visible.,"[""Telephone wires"", ""visible""]","[""Telephone wires"", ""visible""]","[""Telephone wires are visible""]","[""Telephone wires"", ""visible""]"
337,A man tucks in a sheet on the bed.,"[""tucks in a sheet""]","[""tucks in a sheet""]","[""tucks in a sheet""]","[""tucks in a sheet""]"
338,Two small blond children holding stick while standing in a crowd n the city.,"[""Two small blond children"", ""holding stick"", ""in a crowd"", ""the city""]","[""Two small blond children"", ""stick""]","[""Two small blond children"", ""holding stick"", ""in a crowd"", ""the city""]","[""Two small blond children""]"
339,A man is holding a bride's dress up to prevent it from getting dirty on a rain soaked boardwalk.,"[""to prevent it from getting dirty""]","[""A man"", ""holding"", ""bride's dress"", ""to prevent it from getting dirty""]","[""A man is holding"", ""a bride's dress"", ""to prevent it from getting dirty""]","[""A man is holding"", ""a bride's dress"", ""to prevent it from getting dirty""]"
340,A woman balancing on pews and dancing.,"[""dancing""]","[""dancing""]","[""dancing""]","[""dancing""]"
341,A rock climber clings to a steep overhanging rock high above a mesa.,"[""clings to a steep overhanging rock""]","[""clings to a steep overhanging rock""]","[""clings"", ""steep overhanging rock""]","[""rock climber"", ""clings""]"
342,The man and woman at the window are turned around to the man and woman behind them.,"[""man and woman"", ""at the window"", ""turned around"", ""behind them""]","[""turned around to""]","[""man and woman"", ""at the window"", ""turned around""]","[""man and woman"", ""at the window"", ""turned around to"", ""behind them""]"
343,Three police officers on motorcycles on the street with pedestrians walking on the sidewalk in the background.,"[""on the street""]","[""police officers on motorcycles"", ""on the street"", ""pedestrians walking on the sidewalk""]","[""on the street""]","[""police officers"", ""on the street""]"
345,A group of children walk together on a bright day.,"[""walk""]","[""walk together""]","[""children"", ""walk together""]","[""children"", ""walk""]"
346,Group of people dance with smiles at their faces.,"[""Group of people"", ""dance"", ""smiles""]","[""Group of people"", ""dance"", ""smiles""]","[""Group of people"", ""dance"", ""smiles at their faces""]","[""Group of people"", ""dance"", ""smiles at their faces""]"
347,Outside a theater at night.,"[""Outside a theater at night""]","[""Outside a theater at night""]","[""Outside"", ""a theater"", ""at night""]","[""Outside a theater at night""]"
348,Some people and their bicycles lined up at a waterfront dock.,"[""waterfront dock""]","[""a waterfront dock""]","[""a waterfront dock""]","[""waterfront dock""]"
349,A man is grinding his skateboard on a guard rail.,"[""grinding his skateboard on a guard rail""]","[""grinding his skateboard""]","[""grinding his skateboard""]",[]
351,"A man in a black shirt, and black shorts is walking down the street, holding hands with a woman in a black sundress.","[""man"", ""holding hands"", ""woman""]","[""man"", ""holding hands"", ""woman""]","[""A man"", ""holding hands with a woman""]","[""man"", ""holding hands"", ""woman""]"
352,A girl in a black shirt is looking to the side while sitting on a wooden bench.,"[""black shirt"", ""looking to the side"", ""sitting on a wooden bench""]","[""black shirt"", ""looking to the side""]","[""a girl in a black shirt""]","[""black shirt"", ""looking to the side"", ""sitting on a wooden bench""]"
353,A woman in a green skirt and pink underskirt leans back as she kneels.,"[""green skirt"", ""pink underskirt""]","[""woman"", ""green skirt"", ""pink underskirt"", ""kneels""]","[""woman"", ""green skirt"", ""pink underskirt""]","[""green skirt"", ""pink underskirt""]"
355,A man with one leg is playing volleyball.,"[""A man"", ""one leg"", ""playing volleyball""]","[""one leg"", ""playing volleyball""]","[""A man"", ""with one leg"", ""is playing volleyball""]","[""A man with one leg"", ""playing volleyball""]"
356,Two people sit in shadow in the open back of a vehicle followed by another vehicle.,"[""Two people"", ""sit"", ""in the open back of a vehicle""]","[""Two people"", ""sit"", ""in the open back of a vehicle""]","[""Two people sit in"", ""back of a vehicle""]","[""Two people sit"", ""in the open back of a vehicle""]"
357,Three men in suits hold hands and celebrate.,"[""hold hands"", ""celebrate""]","[""hold hands"", ""celebrate""]","[""hold hands"", ""celebrate""]","[""hold hands"", ""celebrate""]"
358,A man with a dog.,"[""A man with a dog""]","[""A man with a dog""]","[""man"", ""dog""]","[""A man with a dog""]"
360,When struggling to work on scaffolding in humid weather.,"[""humid weather""]","[""humid weather""]","[""working"", ""humid weather""]","[""humid weather""]"
361,A woman looking at pants in a colorful store.,"[""looking at pants""]","[""looking at pants""]","[""A woman"", ""looking""]","[""looking at pants""]"
362,Eight people meditating on the beach.,"[""Eight people"", ""meditating""]","[""Eight people"", ""meditating""]","[""Eight people"", ""meditating""]","[""Eight people"", ""meditating""]"
365,A man in the crowd records two people covered in aluminum foil.,"[""man in the crowd""]","[""A man in the crowd""]","[""man in the crowd""]","[""A man in the crowd""]"
366,A family having a good time eating.,"[""A family"", ""eating""]","[""eating""]","[""A family"", ""eating""]","[""A family"", ""eating""]"
367,A couple with sunglasses are laying on the beach.,"[""laying on the beach""]","[""laying on the beach""]","[""sunglasses"", ""laying on the beach""]","[""laying on the beach""]"
368,The dogs are playing with a tennis ball in the yard.,"[""dogs"", ""in the yard""]","[""dogs"", ""in the yard""]","[""dogs"", ""in the yard""]","[""dogs"", ""in the yard""]"
369,A man is working on his wooden boat.,"[""working on"", ""wooden boat""]","[""working"", ""wooden boat""]","[""working on his wooden boat""]","[""working on"", ""wooden boat""]"
370,Five young men are playing music in the street.,"[""playing music""]","[""Five young men are playing music in the street""]","[""Five young men"", ""playing music"", ""in the street""]","[""Five young men"", ""are playing music"", ""in the street""]"
371,A woman in a striped skirt rolls a black ball.,"[""A woman"", ""a striped skirt"", ""rolls a black ball""]","[""A woman"", ""in a striped skirt"", ""rolls a black ball""]","[""A woman"", ""in a striped skirt"", ""rolls"", ""a black ball""]","[""woman"", ""in a striped skirt"", ""rolls"", ""a black ball""]"
372,A man and woman both wearing hats and carrying backpacks.,"[""A man and woman"", ""wearing hats"", ""carrying backpacks""]","[""man and woman"", ""wearing hats"", ""carrying backpacks""]","[""wearing hats"", ""carrying backpacks""]","[""man"", ""woman"", ""wearing hats"", ""carrying backpacks""]"
373,A man juggling in front of a group of kids.,"[""juggling""]","[""juggling""]","[""juggling""]","[""juggling""]"
374,a skateboarder in a green shirt is taking a jump of a step in front of a pink building.,"[""a skateboarder"", ""in a green shirt"", ""is taking a jump""]","[""a skateboarder"", ""in a green shirt"", ""taking a jump""]","[""a skateboarder"", ""in a green shirt"", ""is taking a jump""]","[""skateboarder in a green shirt"", ""taking a jump""]"
375,"In the middle of a shopping center, there are two statues of men on bicycles with skeletons by them.","[""statues of men on bicycles with skeletons""]","[""statues of men on bicycles with skeletons""]","[""statues of men on bicycles with skeletons""]","[""statues of men on bicycles with skeletons""]"
376,"A woman wearing a short skirt, yellow top, and denim jacket stands in front of a brick building covered with worn out signs.","[""woman"", ""short skirt"", ""denim jacket"", ""stands in front of a brick building""]","[""A woman"", ""short skirt"", ""denim jacket"", ""in front of a brick building""]","[""A woman wearing a short skirt"", ""denim jacket"", ""stands in front of a brick building""]","[""A woman"", ""short skirt"", ""denim jacket"", ""stands in front of a brick building""]"
377,Two children are sitting at a desk.,"[""Two children"", ""sitting"", ""at a desk""]","[""Two children are sitting at a desk""]","[""Two children"", ""sitting at a desk""]","[""Two children"", ""sitting"", ""at a desk""]"
378,The woman stands near a dangerously cracked window.,"[""The woman stands""]","[""woman"", ""stands""]","[""woman stands""]","[""woman"", ""stands""]"
379,A man in jeans is lying on a wooden floor.,"[""lying on a wooden floor""]","[""lying on a wooden floor""]","[""man"", ""lying""]","[""man"", ""is lying""]"
381,"A city sidewalk scene consisting of two men with dreadlocks sitting on the ground, a punk rocker holding books, a woman with a camera walking away, and a man wearing a long coat, scarf, hat, and sunglasses looking away from the picture.","[""city sidewalk scene"", ""two men"", ""a punk rocker"", ""a woman"", ""a man""]","[""city sidewalk"", ""two men"", ""a punk rocker"", ""a woman"", ""a man""]","[""city sidewalk scene"", ""two men"", ""a punk rocker"", ""a woman"", ""a man""]","[""city sidewalk scene"", ""two men"", ""a punk rocker"", ""a woman"", ""a man""]"
382,"A man with a green hat in a small boat named ""Texas Mooring"", in the water.","[""A man"", ""in a small boat named \""Texas Mooring\""""]","[""man"", ""in a"", ""small boat""]","[""A man"", ""in a small boat"", ""named \""Texas Mooring\""""]","[""A man"", ""in a small boat""]"
383,A religious gathering reading a book.,"[""religious gathering"", ""reading a book""]","[""reading a book""]","[""religious gathering"", ""reading"", ""book""]",[]
384,A football player prepares to throw the ball.,"[""football player"", ""prepares""]","[""football player"", ""prepares to throw the ball""]","[""football player"", ""prepares""]","[""football player"", ""prepares""]"
