id,premise_text,evidence_original,evidence_lexical,evidence_syntactic,evidence_pragmatic
180,A warmly dressed man stands with a carving station on the street in front of his rotisserie machine.,"[""warmly dressed"", ""in front of""]","[""warmly dressed"", ""man"", ""stands"", ""in front of"", ""rotisserie machine""]","[""warmly dressed"", ""in front of""]","[""warmly dressed"", ""man"", ""in front of"", ""rotisserie machine""]"
181,A man is sitting outside a cafe on a stepladder,"[""sitting"", ""outside a cafe"", ""stepladder""]","[""sitting"", ""outside a cafe"", ""stepladder""]","[""sitting"", ""stepladder""]","[""sitting"", ""stepladder""]"
182,Person dressed in black with a blue hat next to several cats outside.,"[""cats""]","[""cats""]","[""Person"", ""outside"", ""next to several cats""]","[""cats""]"
183,A fireman begins to cross the street towards the fire.,"[""towards the fire""]","[""fire""]","[""towards the fire""]","[""the fire""]"
184,A lot of people gathered in a park.,"[""A lot of people"", ""gathered""]","[""A lot of people"", ""gathered""]","[""A lot of people"", ""gathered""]","[""A lot of people gathered""]"
185,A young woman in a bikini holding a bottle is goofing around and kicking a man in a straw hat.,"[""A young woman"", ""goofing around"", ""kicking a man""]","[""goofing around"", ""kicking""]","[""woman"", ""goofing around"", ""kicking"", ""man""]","[""woman"", ""goofing around"", ""kicking a man""]"
186,A couple in black coats is looking at the camera with pleasant expressions on their faces.,"[""looking at the camera"", ""pleasant expressions on their faces""]","[""looking at the camera"", ""pleasant expressions on their faces""]","[""in black coats"", ""looking at the camera"", ""with pleasant expressions""]","[""looking at the camera"", ""pleasant expressions""]"
187,A smiling middle-aged man wearing over-sized red sunglasses and a colorful patterned shirt sits in the grass in front of a blue-green backdrop.,"[""smiling"", ""man""]","[""smiling"", ""man""]","[""smiling""]","[""man"", ""smiling""]"
188,Some people are swimming in water; one has goggles on.,"[""swimming"", ""goggles""]","[""swimming"", ""goggles""]","[""swimming"", ""goggles on""]","[""swimming"", ""goggles on""]"
189,"A gentleman is hanging from a window, cleaning the outside of the window, while a gentleman on the inside watches.","[""gentleman"", ""hanging""]","[""gentleman"", ""hanging from a window""]","[""gentleman"", ""is hanging""]","[""gentleman""]"
190,A man in a colorful t-shirt is standing at an outside food stall.,"[""A man"", ""is standing"", ""food stall""]","[""man"", ""standing at"", ""food stall""]","[""A man"", ""is standing"", ""food stall""]","[""A man"", ""is standing"", ""food stall""]"
191,Two women are sitting at a makeshift table.,"[""Two women"", ""sitting"", ""at a makeshift table""]","[""women"", ""sitting"", ""makeshift table""]","[""women"", ""table""]","[""Two women"", ""sitting"", ""at a makeshift table""]"
193,A man and two small children laying on a tiled floor.,"[""laying on a tiled floor""]","[""laying"", ""tiled floor""]","[""man"", ""children"", ""laying"", ""tiled floor""]","[""laying"", ""on a tiled floor""]"
194,a number of people standing on the sidewalk along side the front doors of a transit bus,"[""standing"", ""along side the front doors of a transit bus""]","[""standing"", ""along side"", ""a transit bus""]","[""standing"", ""along side the front doors of a transit bus""]","[""standing"", ""along side the front doors of a transit bus""]"
195,A small child bangs a metal pan with a red and tan wooden hammer.,"[""bangs a metal pan"", ""a red and tan wooden hammer""]","[""child"", ""bangs a metal pan""]","[""child"", ""bangs"", ""metal pan"", ""red and tan wooden hammer""]","[""child"", ""bangs"", ""metal pan"", ""wooden hammer""]"
196,Snow is being kicked up by the board.,"[""Snow"", ""kicked up""]","[""Snow"", ""kicked up"", ""by the board""]","[""Snow"", ""kicked up""]","[""Snow"", ""kicked up by the board""]"
198,Two people in lawn chairs reading books.,"[""Two people""]","[""Two people""]","[""Two people""]","[""Two people""]"
199,"Two male clowns, one in a plaid suit and the other in black, performing a musical number in a theater setting.","[""performing"", ""in a theater setting""]","[""performing a musical number in a theater setting""]","[""performing a musical number"", ""in a theater setting""]","[""performing a musical number"", ""in a theater setting""]"
200,Father and daughter sitting down on bench and talking peacefully at a beautiful park.,"[""Father"", ""daughter"", ""sitting down"", ""talking""]","[""Father and daughter"", ""sitting down"", ""talking""]","[""Father"", ""daughter"", ""sitting"", ""talking""]","[""Father"", ""daughter"", ""sitting down"", ""talking peacefully""]"
202,People are standing watching something and taking pictures.,"[""watching""]","[""People"", ""watching something""]","[""watching something""]","[""watching""]"
204,A man in a red shirt sits atop a mountain.,"[""sits"", ""atop a mountain""]","[""sits atop a mountain""]","[""sits atop a mountain""]","[""atop a mountain""]"
205,A policeman stands at the corner of an office building while keeping watch on a red fire hydrant.,"[""policeman"", ""stands"", ""at the corner of an office building"", ""keeping watch"", ""on a red fire hydrant""]","[""keeping watch""]","[""keeping watch"", ""on a red fire hydrant""]","[""A policeman stands"", ""at the corner of an office building"", ""keeping watch"", ""on a red fire hydrant""]"
206,People are on stage playing music to a group of people.,"[""music""]","[""People"", ""playing music""]","[""playing music""]","[""music""]"
207,A man in a hat riding a bucking horse.,"[""riding a bucking horse""]","[""riding a bucking horse""]","[""riding a bucking horse""]","[""riding a bucking horse""]"
208,A portly man in an orange jumpsuit standing next to a woman in gray on the highway with a motorcycle laying on its side in the middle of the highway.,"[""A portly man"", ""a woman"", ""a motorcycle laying on its side""]","[""man"", ""woman"", ""next to"", ""motorcycle"", ""laying on its side""]","[""motorcycle laying on its side"", ""standing next to""]","[""man"", ""woman"", ""motorcycle laying on its side""]"
209,A girl in a red and black striped shirt sits on a brick wall in front of a tropical plant.,"[""A girl"", ""sits"", ""on a brick wall""]","[""A girl"", ""sits"", ""brick wall""]","[""sits"", ""brick wall""]","[""sits""]"
210,A woman wearing glasses holds a young child.,"[""holds a young child""]","[""holds a young child""]","[""holds a young child""]","[""holds a young child""]"
211,"An older individual crosses the street on what seems to be an overcast day, traffic approaches in the background.","[""older individual"", ""crosses the street""]","[""older individual"", ""crosses the street""]","[""older individual"", ""crosses the street""]","[""An older individual"", ""crosses the street""]"
212,A man playing a guitar on stage while a man plays drums in the background.,"[""A man playing a guitar"", ""a man plays drums""]","[""playing a guitar""]","[""A man playing a guitar""]","[""playing a guitar""]"
213,The two dogs are running toward the camera.,"[""two dogs""]","[""two dogs""]","[""two dogs""]","[""two dogs""]"
214,The red skirt of a female dancer swirls while her feet and her male partner's feet dance on concrete.,"[""a female dancer"", ""her male partner"", ""dance""]","[""female dancer"", ""male partner"", ""dance""]","[""female dancer"", ""male partner""]","[""a female dancer"", ""her male partner"", ""dance""]"
215,A young boy in a black cap and shirt looks down while next to a person in a polka dotted shirt.,"[""A young boy"", ""looks down""]","[""A young boy"", ""looks down""]","[""boy"", ""looks down""]","[""A young boy"", ""looks down""]"
217,A woman with a red hat is fishing at a lake.,"[""fishing at a lake""]","[""fishing"", ""at a lake""]","[""fishing at a lake""]","[""fishing at a lake""]"
218,Two spectators are adorn with Mickey Mouse ears while looking back at an angle from a stadium.,"[""Two spectators"", ""are adorn with Mickey Mouse ears while looking back at an angle from a stadium""]","[""Two spectators"", ""looking back at an angle""]","[""Two spectators"", ""looking back at an angle""]","[""Two spectators"", ""adorn with Mickey Mouse ears"", ""looking back at an angle""]"
219,An outdoor party with alcoholic beverages; some seem to be in costume.,"[""An outdoor party"", ""alcoholic beverages"", ""some seem to be in costume""]","[""outdoor party"", ""alcoholic beverages"", ""in costume""]","[""outdoor party""]","[""outdoor party"", ""in costume""]"
220,"A man dressed in a sport coat, slacks and nice shoes, posing in a very busily-decorated room, while wearing a dark green mask that has large yellow monster teeth, a single orange eye, and completely covers his head.","[""a dark green mask that has large yellow monster teeth, a single orange eye, and completely covers his head""]","[""man"", ""posing"", ""dark green mask that has large yellow monster teeth, a single orange eye, and completely covers his head""]","[""A man"", ""posing"", ""wearing a dark green mask that has large yellow monster teeth, a single orange eye, and completely covers his head""]","[""man"", ""mask"", ""monster teeth"", ""single orange eye"", ""covers his head""]"
223,A young boy playing goalie stops the soccer ball with his hands.,"[""young boy"", ""goalie"", ""stops the soccer ball"", ""with his hands""]","[""goalie"", ""stops the soccer ball with his hands""]","[""A young boy playing goalie"", ""stops the soccer ball"", ""with his hands""]","[""stops the soccer ball with his hands""]"
224,A young woman plays professional tennis.,"[""plays professional tennis""]","[""plays professional tennis""]","[""young woman"", ""plays professional tennis""]","[""plays professional tennis""]"
225,Someone in a lime green shirt is holding on to a tree.,"[""Someone"", ""is holding on to a tree""]","[""Someone"", ""holding on to""]","[""Someone"", ""holding on to a tree""]","[""Someone"", ""is holding on to a tree""]"
227,A young boy doing a wheelie on his bike.,"[""young boy"", ""doing a wheelie""]","[""young boy"", ""doing a wheelie""]","[""boy"", ""doing a wheelie""]","[""doing a wheelie""]"
228,A skateboarder riding up to a slope.,"[""riding up to a slope""]","[""riding up to a slope""]","[""riding up to a slope""]","[""riding up to a slope""]"
229,Big brown and white spotted dog laying on a jacket on the street.,"[""on the street""]","[""dog"", ""laying"", ""on the street""]","[""on the street""]","[""on the street""]"
230,Two men clean the outside of a building under a blue sky.,"[""a blue sky""]","[""blue sky""]","[""blue sky""]","[""blue sky""]"
231,A man in a hoodie does an ollie on his skateboard with people in the park in the background.,"[""A man"", ""does an ollie on his skateboard"", ""the park in the background""]","[""does an ollie on his skateboard"", ""in the park in the background""]","[""does an ollie on his skateboard"", ""in the park""]","[""does an ollie on his skateboard"", ""with people in the park in the background""]"
232,An arena audience looking down at a football field.,"[""audience"", ""looking down at"", ""football field""]","[""looking down at"", ""a football field""]","[""looking down at a football field""]","[""looking""]"
234,"A man wearing a blue outfit is pushing a boat, which is wooden and covered, with a pole, and a woman wearing black is the passenger.","[""pushing a boat"", ""with a pole""]","[""boat"", ""pushing"", ""with a pole""]","[""pushing a boat"", ""with a pole""]","[""pushing a boat"", ""with a pole""]"
235,A man in a black shirt is making bubbles.,"[""A man in a black shirt is making bubbles""]","[""making bubbles""]","[""A man in a black shirt"", ""making bubbles""]","[""making bubbles""]"
236,The two people are viewing an artist's piece.,"[""viewing an artist's piece""]","[""The two people"", ""viewing"", ""an artist's piece""]","[""The two people"", ""viewing""]","[""The two people"", ""viewing an artist's piece""]"
237,"A man wearing sunglasses, white shirt, and a smile plays the drums.","[""plays the drums""]","[""plays the drums""]","[""plays the drums""]","[""plays the drums""]"
238,The black dog is standing by the wall next to the orange.,"[""standing by"", ""next to the orange""]","[""dog"", ""next to the orange""]","[""dog"", ""standing by the wall"", ""next to the orange""]","[""standing by the wall next to the orange""]"
242,"A young, Hispanic woman wearing a sundress is walking outside near a large fountain and palm trees.","[""a sundress""]","[""sundress""]","[""sundress""]","[""sundress""]"
243,Two individuals on motorbikes leaning into a turn on a racetrack.,"[""individuals"", ""on motorbikes leaning into a turn on a racetrack""]","[""individuals"", ""on motorbikes leaning into a turn on a racetrack""]","[""individuals"", ""leaning into a turn on a racetrack""]","[""Two individuals on motorbikes leaning into a turn on a racetrack""]"
245,A group of men and women are on stage doing a performance in dim lighting.,"[""men and women"", ""on stage"", ""doing a performance"", ""in dim lighting""]","[""men and women"", ""doing a performance"", ""in dim lighting"", ""stage""]","[""A group of men and women"", ""on stage"", ""doing a performance"", ""in dim lighting""]","[""men and women"", ""on stage"", ""doing a performance"", ""in dim lighting""]"
247,Four men are sitting in red cloth covered chairs viewing something together.,"[""viewing something""]","[""men"", ""sitting"", ""viewing something""]","[""viewing something""]","[""viewing something""]"
249,"There are several people but three in particular, coming from a shopping center with boxes and plants in their carts.","[""people"", ""boxes and plants"", ""in their carts""]","[""people"", ""boxes and plants"", ""carts""]","[""three"", ""boxes and plants"", ""in their carts""]","[""people"", ""boxes and plants"", ""carts""]"
250,Children are learning about a firetruck.,"[""learning about""]","[""learning""]","[""learning""]","[""learning""]"
251,An old man in shorts and white spotted black socks sits outside playing an accordion.,"[""accordion"", ""outside""]","[""old man"", ""accordion"", ""playing"", ""outside""]","[""An old man"", ""outside"", ""playing"", ""accordion""]","[""playing an accordion"", ""sits outside""]"
252,A small car decorated with flames and other paint is driving amongst a crowd with a tub and flags on the roof.,"[""decorated with flames and other paint""]","[""decorated with flames and other paint""]","[""decorated with flames"", ""other paint"", ""a tub"", ""flags on the roof""]","[""decorated with flames and other paint""]"
253,A group of farmers are working together to complete a plant related task.,"[""a group"", ""plant related task""]","[""A group"", ""a plant related task""]","[""a group"", ""a plant related task""]","[""plant related task""]"
255,Two people are walking in opposite directions in front of the same store that says there is a 50% sale.,"[""Two people"", ""are walking in opposite directions"", ""in front of the same store"", ""that says there is a 50% sale""]","[""Two people"", ""walking"", ""in front of the same store""]","[""people"", ""store""]","[""Two people"", ""walking"", ""in front of the same store"", ""50% sale""]"
256,A man is sliding along a green barrier on his snowboard.,"[""sliding along a green barrier on his snowboard""]","[""sliding"", ""on his snowboard""]","[""man"", ""on his snowboard""]","[""sliding along a green barrier on his snowboard""]"
258,Hispanic woman wearing a red plaid shirt works on sewing an article of clothing.,"[""wearing a red plaid shirt""]","[""wearing a red plaid shirt""]","[""wearing a red plaid shirt""]","[""wearing a red plaid shirt""]"
259,Three elderly women walking from behind.,"[""walking""]","[""walking""]","[""walking""]","[""walking""]"
260,The boy is playing with a colorful ribbon.,"[""boy"", ""is playing with"", ""ribbon""]","[""boy"", ""colorful ribbon""]","[""boy"", ""a colorful ribbon""]","[""boy"", ""is playing"", ""colorful ribbon""]"
261,Two women standing in front of a fence looking at mountains.,"[""mountains""]","[""Two women"", ""looking at"", ""mountains""]","[""Two women"", ""looking at"", ""mountains""]","[""mountains""]"
262,A large group of men of all ages sit around a large conference table and listen to a man in black speak.,"[""men"", ""conference table""]","[""A large group of men of all ages"", ""a man in black""]","[""A large group of men of all ages"", ""a man in black""]","[""men"", ""sit around"", ""conference table""]"
263,An elderly couple dance in front of a juke box while a guy in shorts sleeps at a nearby table,"[""elderly"", ""couple dance"", ""a guy"", ""sleeps"", ""at a nearby table""]","[""An elderly couple dance"", ""a guy in shorts"", ""sleeps"", ""at a nearby table""]","[""An elderly couple dance"", ""a guy in shorts sleeps at a nearby table""]","[""elderly couple"", ""dance"", ""a guy"", ""sleeps"", ""at a nearby table""]"
264,A woman and child stand on the beach while sailboats sail on the ocean.,"[""stand on the beach""]","[""stand on the beach""]","[""stand on the beach""]","[""stand on the beach""]"
265,A hand with tongs is reaching for a vegetable kabob on a grill that also has ribs and chicken kabobs.,"[""a vegetable kabob"", ""chicken kabobs""]","[""a vegetable kabob"", ""chicken kabobs""]","[""vegetable kabob"", ""chicken kabobs""]","[""vegetable kabob"", ""chicken kabobs""]"
267,A man in a home kitchen is flipping a pancake extremely high.,"[""flipping a pancake extremely high""]","[""flipping a pancake extremely high""]","[""flipping a pancake""]","[""flipping a pancake"", ""extremely high""]"
269,Handyman works on outer wall of city building.,"[""Handyman"", ""works on"", ""outer wall of city building""]","[""Handyman"", ""works on"", ""outer wall of city building""]","[""Handyman"", ""works on"", ""city building""]","[""Handyman"", ""works"", ""outer wall of city building""]"
270,a group of women with there small children two small girls and two small babies.,"[""a group of women""]","[""women"", ""small children""]","[""women"", ""small children"", ""two small girls"", ""two small babies""]","[""a group of women"", ""small children"", ""two small girls"", ""two small babies""]"
271,"Dressed in high-waisted blue jeans, boots and a blue shirt with a gold ""B"" on the front is talking on the phone.","[""high-waisted blue jeans"", ""boots"", ""blue shirt with a gold \""B\"" on the front"", ""talking on the phone""]","[""high-waisted blue jeans"", ""boots"", ""a blue shirt with a gold \""B\"" on the front"", ""talking on the phone""]","[""talking on the phone""]","[""high-waisted blue jeans"", ""boots"", ""blue shirt with a gold \""B\"" on the front"", ""talking on the phone""]"
272,"Two women, one wearing jeans and one wearing a white skirt, are walking in a building.","[""one wearing a white skirt""]","[""one wearing a white skirt""]","[""one wearing jeans"", ""one wearing a white skirt""]","[""jeans"", ""one wearing a white skirt""]"
274,A snowboarder is doing a flip over a mound of snow.,"[""snowboarder"", ""doing a flip""]","[""snowboarder"", ""doing a flip""]","[""snowboarder"", ""doing a flip""]","[""snowboarder"", ""doing a flip""]"
275,A young boy is climbing on the leg of a statue.,"[""climbing on the leg of a statue""]","[""climbing"", ""on the leg of a statue""]","[""climbing"", ""on the leg of a statue""]","[""climbing on the leg of a statue""]"
276,Three men stand in a bar with a purple counter.,"[""Three men"", ""purple counter""]","[""Three men"", ""purple counter""]","[""men"", ""purple counter""]","[""men"", ""purple counter""]"
277,A new graduate is reaching over to shake hands with a man behind the roped off section separating them.,"[""reaching over to shake hands""]","[""reaching over to shake hands""]","[""reaching over to shake hands""]","[""reaching over to shake hands""]"
279,Two hockey players almost fall on the ice during a scuffle.,"[""Two hockey players almost fall on the ice during a scuffle.""]","[""Two hockey players""]","[""Two hockey players"", ""almost fall on the ice"", ""during a scuffle""]","[""Two hockey players"", ""almost fall on the ice during a scuffle""]"
280,Indian woman performing a dance on stage.,"[""performing a dance"", ""on stage""]","[""performing a dance"", ""on stage""]","[""performing a dance on stage""]","[""performing a dance on stage""]"
281,Skydivers in formation.,"[""Skydivers in formation""]","[""Skydivers"", ""in formation""]","[""Skydivers"", ""in formation""]","[""Skydivers in formation""]"
282,A brown dog swims through water outdoors with a tennis ball in its mouth.,"[""swims through water outdoors"", ""tennis ball""]","[""swims through water"", ""with a tennis ball in its mouth""]","[""A brown dog"", ""swims through water outdoors"", ""tennis ball"", ""in its mouth""]","[""A brown dog"", ""swims"", ""through water"", ""with a tennis ball in its mouth""]"
284,Two women in library the librarian assist the other women to help in her research.,"[""librarian"", ""assist"", ""other women"", ""library""]","[""librarian"", ""assist"", ""the other women"", ""help"", ""research"", ""library""]","[""librarian"", ""assist"", ""the other women"", ""library""]","[""librarian"", ""assist"", ""the other women"", ""to help"", ""research"", ""in library""]"
285,"Two People, smiling holding a musical instrument.","[""musical instrument""]","[""smiling"", ""holding"", ""musical instrument""]","[""musical instrument""]","[""a musical instrument""]"
286,"A giant inflatable ball, taller than a man, is chased by two men in orange shirts.","[""A giant inflatable ball"", ""is chased"", ""by two men in orange shirts""]","[""men"", ""chased by"", ""taller than a man"", ""inflatable""]","[""inflatable ball""]","[""A giant inflatable ball"", ""taller than a man"", ""is chased"", ""two men in orange shirts""]"
288,A muslim woman holding balloons at an islamic event,"[""holding balloons""]","[""holding balloons""]","[""holding balloons""]","[""holding balloons""]"
289,Two men work on girls bike in front of garage.,"[""men"", ""work on""]","[""men"", ""work""]","[""men"", ""work""]","[""men"", ""work""]"
290,A group of men are playing basketball.,"[""playing basketball""]","[""playing basketball""]","[""playing basketball""]","[""playing basketball""]"
291,A female contortionist practices her solo performance on stage.,"[""practices"", ""on stage""]","[""practices"", ""on stage""]","[""practices""]","[""practices"", ""on stage""]"
294,The two man is busy cementing the road.,"[""man"", ""cementing the road""]","[""man"", ""cementing the road""]","[""two man"", ""cementing the road""]","[""two man"", ""cementing the road""]"
295,A blond woman playing horseshoes in the snow.,"[""blond woman"", ""playing horseshoes in the snow""]","[""A blond woman playing horseshoes in the snow.""]","[""blond woman"", ""playing horseshoes"", ""in the snow""]","[""blond"", ""woman"", ""playing horseshoes in the snow""]"
297,a woman wearing a white shirt kissing a guy.,"[""a guy""]","[""guy""]","[""guy""]","[""guy""]"
298,A woman with feathers in her hair.,"[""feathers in her hair""]","[""feathers in her hair""]","[""feathers in her hair""]","[""feathers in her hair""]"
299,Two large dogs lying on their backs on a purple comforter.,"[""lying on their backs""]","[""lying on their backs""]","[""dogs"", ""lying on their backs""]","[""dogs"", ""lying on their backs"", ""on a purple comforter""]"
300,A technician bent over fixing a machine.,"[""technician"", ""fixing""]","[""technician"", ""fixing a machine""]","[""technician"", ""fixing""]","[""technician"", ""fixing a machine""]"
301,A man walking through a large grass-covered valley.,"[""man""]","[""man""]","[""man"", ""walking""]","[""man""]"
302,A shirtless man is doing a jump with a skateboard.,"[""doing a jump with a skateboard""]","[""jump with a skateboard""]","[""doing a jump with a skateboard""]","[""jump with a skateboard""]"
305,"Two men, dresses in jackets and gloves, blowing leaves.","[""blowing leaves""]","[""blowing leaves""]","[""blowing leaves""]","[""Two men"", ""blowing leaves""]"
306,A guy is on one hand throwing his feet up surrounded by a crowd.,"[""A guy"", ""throwing his feet up"", ""surrounded by a crowd""]","[""A guy"", ""throwing his feet up"", ""surrounded by a crowd""]","[""throwing his feet up"", ""surrounded by a crowd""]","[""throwing his feet up"", ""surrounded by a crowd""]"
307,A man in yellow and a man in green boating down a river on an overcast day.,"[""river""]","[""boating"", ""overcast day""]","[""a river""]","[""a river""]"
308,A young boy with an orange shirt on is looking at a tool set with an overturned bike at his side.,"[""overturned bike at his side""]","[""overturned bike at his side""]","[""with an overturned bike at his side""]","[""overturned bike"", ""at his side""]"
310,"Five young, well-dressed people work in a kitchen.","[""work in a kitchen""]","[""work in a kitchen""]","[""work in a kitchen""]","[""work in a kitchen""]"
311,Small boy lying on his stomach on the grass.,"[""Small boy"", ""lying on his stomach on the grass""]","[""Small boy"", ""lying on his stomach"", ""grass""]","[""Small boy"", ""lying on his stomach on the grass""]","[""boy"", ""lying"", ""grass""]"
312,Kids riding on their bicycles near a mound of dirt with a hovel from a backhoe in front of the mound.,"[""mound of dirt"", ""backhoe""]","[""mound of dirt"", ""backhoe""]","[""mound of dirt"", ""backhoe""]","[""mound of dirt"", ""backhoe""]"
314,A team of surgeons dressed in blue operate on a patient.,"[""operate on a patient""]","[""operate on a patient""]","[""operate on a patient""]","[""operate on a patient""]"
315,Three football players in navy blue and yellow uniforms are running down a football field; one is kicking a football as he runs.,"[""football players"", ""football field"", ""kicking a football""]","[""football players"", ""football field"", ""kicking a football""]","[""football players"", ""football field"", ""kicking a football""]","[""Three football players"", ""running down a football field"", ""kicking a football""]"
316,A man in a purple and white shirt is assisting a man in a wife beater with his workout.,"[""assisting"", ""workout""]","[""assisting"", ""with his workout""]","[""assisting"", ""workout""]","[""assisting"", ""workout""]"
318,A man in a blue t-shirt eats a meal.,"[""eats a meal""]","[""eats a meal""]","[""eats a meal""]","[""eats a meal""]"
319,People are waiting for a train at the subway.,"[""train""]","[""waiting for a train"", ""at the subway""]","[""a train""]","[""a train"", ""subway""]"
320,Little boy playing with his toy truck.,"[""playing with his toy truck""]","[""boy"", ""playing"", ""toy truck""]","[""boy"", ""playing"", ""toy truck""]","[""Little boy playing with his toy truck""]"
321,An elderly lady with a cane and handbag walks along the sidewalk.,"[""lady"", ""walks""]","[""elderly lady"", ""walks""]","[""lady"", ""walks""]","[""elderly lady"", ""walks""]"
322,A basketball player slam dunks the basketball.,"[""slam dunks""]","[""slam dunks"", ""basketball""]","[""slam dunks""]","[""slam dunks""]"
323,People are riding an escalator up and down a subway station tunnel.,"[""riding an escalator""]","[""riding an escalator"", ""subway station""]","[""riding an escalator""]","[""riding an escalator""]"
324,A dog on a leash walks on the sidewalk while another dog follows.,"[""A dog"", ""walks on the sidewalk"", ""another dog"", ""follows""]","[""A dog"", ""walks"", ""on the sidewalk"", ""another dog""]","[""A dog"", ""walks"", ""on the sidewalk"", ""another dog"", ""follows""]","[""dog"", ""walks"", ""on the sidewalk"", ""another dog"", ""follows""]"
326,A man in a brown-red suit holds a stringed instrument and looks off to the left in front of a purple-pink background.,"[""A man"", ""holds a stringed instrument""]","[""holds""]","[""holds a stringed instrument""]","[""holds"", ""a stringed instrument""]"
327,A man wearing black shorts with white stripes is diving into some water.,"[""wearing black shorts""]","[""black shorts with white stripes""]","[""black shorts with white stripes""]","[""black shorts with white stripes""]"
328,A woman helping another woman out with a website on a computer.,"[""A woman"", ""helping another woman out with a website on a computer""]","[""A woman"", ""helping"", ""another woman"", ""on a computer""]","[""A woman"", ""another woman"", ""helping"", ""on a computer""]","[""A woman helping another woman"", ""on a computer""]"
329,People search for their seats in a stadium.,"[""search for their seats in a stadium""]","[""search for their seats"", ""in a stadium""]","[""search for their seats"", ""stadium""]","[""seats"", ""stadium""]"
330,"A woman with a brown coat and a woman with a black top stand along displays of oranges, apples, and other fruits.","[""stand along displays of oranges, apples, and other fruits""]","[""A woman"", ""woman"", ""stand along displays"", ""displays of oranges, apples, and other fruits""]","[""A woman with a brown coat and a woman with a black top"", ""stand along displays of oranges, apples, and other fruits""]","[""stand along displays"", ""displays of oranges, apples, and other fruits""]"
332,A man riding a BMX bike is attempting a bicycle trick in a skate park.,"[""BMX bike"", ""attempting a bicycle trick""]","[""attempting a bicycle trick""]","[""attempting a bicycle trick""]","[""attempting a bicycle trick""]"
333,A white dog is running along a path outside.,"[""dog"", ""is running"", ""along a path outside""]","[""dog"", ""is running""]","[""dog"", ""running along a path outside""]","[""running""]"
334,a man in black clothes is watching a child making a splash in a pool.,"[""a child"", ""in a pool""]","[""a child"", ""in a pool""]","[""in a pool""]","[""a child"", ""in a pool""]"
335,Telephone wires are visible.,"[""visible""]","[""Telephone wires are visible""]","[""visible""]","[""Telephone wires"", ""are visible""]"
337,A man tucks in a sheet on the bed.,"[""A man"", ""tucks in"", ""a sheet"", ""on the bed""]","[""A man"", ""tucks in a sheet on the bed""]","[""A man"", ""tucks in"", ""a sheet"", ""on the bed""]","[""A man"", ""tucks in a sheet"", ""on the bed""]"
338,Two small blond children holding stick while standing in a crowd n the city.,"[""children""]","[""children"", ""stick""]","[""children""]","[""children""]"
339,A man is holding a bride's dress up to prevent it from getting dirty on a rain soaked boardwalk.,"[""to prevent it from getting dirty"", ""on a rain soaked boardwalk""]","[""to prevent it from getting dirty"", ""rain soaked boardwalk""]","[""A man is holding a bride's dress up"", ""to prevent it from getting dirty""]","[""A man is holding a bride's dress up"", ""to prevent it from getting dirty""]"
340,A woman balancing on pews and dancing.,"[""dancing""]","[""dancing""]","[""dancing""]","[""dancing""]"
341,A rock climber clings to a steep overhanging rock high above a mesa.,"[""clings to a steep overhanging rock""]","[""clings""]","[""clings to a steep overhanging rock""]","[""climber clings""]"
342,The man and woman at the window are turned around to the man and woman behind them.,"[""man"", ""woman"", ""at the window"", ""turned around"", ""behind them""]","[""The man and woman"", ""at the window"", ""are turned around"", ""behind them""]","[""man and woman"", ""at the window"", ""are turned around""]","[""man and woman"", ""at the window"", ""turned around""]"
343,Three police officers on motorcycles on the street with pedestrians walking on the sidewalk in the background.,"[""on the street""]","[""on the street""]","[""on the street""]","[""on the street""]"
345,A group of children walk together on a bright day.,"[""walk together""]","[""walk together""]","[""walk""]","[""walk""]"
346,Group of people dance with smiles at their faces.,"[""Group of people"", ""dance"", ""smiles""]","[""people"", ""dance""]","[""people dance"", ""smiles at their faces""]","[""Group of people"", ""dance"", ""smiles at their faces""]"
347,Outside a theater at night.,"[""Outside a theater""]","[""Outside a theater""]","[""Outside a theater""]","[""Outside"", ""a theater""]"
348,Some people and their bicycles lined up at a waterfront dock.,"[""waterfront dock""]","[""at a waterfront dock""]","[""waterfront dock""]","[""a waterfront dock""]"
349,A man is grinding his skateboard on a guard rail.,"[""grinding his skateboard""]","[""grinding his skateboard""]","[""man"", ""grinding"", ""skateboard""]","[""grinding his skateboard""]"
351,"A man in a black shirt, and black shorts is walking down the street, holding hands with a woman in a black sundress.","[""man"", ""holding hands"", ""woman""]","[""A man"", ""a woman"", ""holding hands""]","[""A man"", ""a woman"", ""holding hands""]","[""man"", ""holding hands"", ""woman""]"
352,A girl in a black shirt is looking to the side while sitting on a wooden bench.,"[""A girl"", ""black shirt"", ""looking to the side"", ""sitting on a wooden bench""]","[""black shirt"", ""looking"", ""sitting""]","[""A girl"", ""black shirt"", ""looking to the side"", ""sitting on a wooden bench""]","[""black shirt"", ""looking to the side"", ""sitting on a wooden bench""]"
353,A woman in a green skirt and pink underskirt leans back as she kneels.,"[""skirt"", ""underskirt""]","[""a green skirt"", ""pink underskirt""]","[""a green skirt"", ""pink underskirt""]","[""skirt"", ""underskirt""]"
355,A man with one leg is playing volleyball.,"[""one leg""]","[""one leg"", ""playing volleyball""]","[""one leg""]","[""one leg"", ""playing volleyball""]"
