id,Premise,Hypothesis,gold_label,Explanation
215,A young boy in a black cap and shirt looks down while next to a person in a polka dotted shirt.,A boy is looking down at a quarter on the floor.,neutral,There are more things than a quarter than can be on the floor.
216,A man stretching his arms up at a table with two ladies talking to each other.,A man is dead in Nebraska.,contradiction,a man would either be stretching up or dead
217,A woman with a red hat is fishing at a lake.,The woman is watching the fashion show on television.,contradiction,If the woman is fishing she isn't watching a show.
218,Two spectators are adorn with Mickey Mouse ears while looking back at an angle from a stadium.,Some people are sleeping,contradiction,If people are looking back their eyes are open.  If they are sleeping their eyes are closed.  A person can not have his eyes open and closed at the same time.
219,An outdoor party with alcoholic beverages; some seem to be in costume.,People are wearing suits in church.,contradiction,The people are either wearing suits or are in costume.
220,"A man dressed in a sport coat, slacks and nice shoes, posing in a very busily-decorated room, while wearing a dark green mask that has large yellow monster teeth, a single orange eye, and completely covers his head.",There is a man posing at a costume party.,neutral,a mask does not imply a costume party
221,Seven bystanders watching two women in pink outfits and a third person in a blue shirt ride a unique Ferris wheel apparatus in the middle of a forested area while smoke billows in the distance.,One of the seven bystanders is a girl.,neutral,The fact that there are seven bystanders does not imply that one is a girl.
222,A old man on a bicycle riding through the park.,An old man is riding the bus next to the park.,contradiction,A bicycle is different from a bus.
223,A young boy playing goalie stops the soccer ball with his hands.,The young goalie saved the ball with his hands.,entailment,"""Stops the soccer ball"" is a rephrasing of ""saved the ball""."
224,A young woman plays professional tennis.,A young woman is playing beach volleyball.,contradiction,You can't play tennis and volleyball at the same time.
225,Someone in a lime green shirt is holding on to a tree.,A lady poses for a picture hugging a tree.,neutral,Someone does not have to be a lady.  Just because someone is holding a tree it does not mean they pose for a picture.
226,Several cooks char broil food under tents for customers.,chefs are cooking food for customers.,entailment,char broil food implies that they are cooking.
227,A young boy doing a wheelie on his bike.,A boy pops a wheelie.,entailment,doing a wheelie is equivalent to  pops a wheelie
228,A skateboarder riding up to a slope.,The skateboarder is about to execute a stunt.,neutral,A skateboarder riding up to a slope does not imply that he is about to execute a stunt.
229,Big brown and white spotted dog laying on a jacket on the street.,A dog is resting on the carpeted floor.,contradiction,The dog is either on the street or on the floor.
230,Two men clean the outside of a building under a blue sky.,Men are cleaning the building under a partially cloudy sky.,neutral,A blue sky does not imply a partially cloudy sky.
231,A man in a hoodie does an ollie on his skateboard with people in the park in the background.,A man is skateboarding near the park.,entailment,A man with the park in the backround must mean that he is near a park.
232,An arena audience looking down at a football field.,The audience is looking at the field.,entailment,The area audience is watching the football field.
233,The boy is looking up at the girl as another girl ignores them.,The boy is looking at two two girls in a tree.,neutral,Just because he is looking up does not mean the girls are in a tree.
234,"A man wearing a blue outfit is pushing a boat, which is wooden and covered, with a pole, and a woman wearing black is the passenger.",The boat is driving through the air.,contradiction,Man is different than boat.
235,A man in a black shirt is making bubbles.,A man is blowing bubbles at a party.,neutral,Sentence 1: A man in a black shirt is making bubbles. Sentence 2: A man is blowing bubbles at a party.
236,The two people are viewing an artist's piece.,the boy liked cowboys,neutral,People are not always a boy.  An artist's piece is not always cowboys.
237,"A man wearing sunglasses, white shirt, and a smile plays the drums.",A man is performing in a band.,neutral,Not every man playing the drums plays in a band.
238,The black dog is standing by the wall next to the orange.,The dog is looking at the orange.,neutral,Just because he is standing by a orange does not mean he is looking at it.
239,A group of people are hiking in the forest.,People are riding bikes in the forest.,contradiction,People can't be hiking and riding bikes at the same time.
240,BMXer in the air with motion blur on the forest background.,A guy does not have a bike.,contradiction,A bmxer has to have a bike.
241,A red ambulance drives down the street as two people look on.,the ambulance is carrying a passenger,neutral,ambulance driving down the street does not imply it is carrying a passanger
242,"A young, Hispanic woman wearing a sundress is walking outside near a large fountain and palm trees.",A young woman is wearing a white sundress.,neutral,Not all sundresses are white.
243,Two individuals on motorbikes leaning into a turn on a racetrack.,The people are aliens.,contradiction,People riding motor bikes are not the same as aliens.
244,A man sitting on a bench in front of a bust shopping area.,A man standing on a bench in front of a hospital.,contradiction,You cannot be sitting and standing simultaneously.
245,A group of men and women are on stage doing a performance in dim lighting.,A group of people are performing on a dimly lit stage.,entailment,A group of people were men and women who perform on a dimly lit stage.
246,A healthcare worker giving a young baby a bath.,A working is bathing a newborn baby.,neutral,we can't infer that the baby was newborn from sentence 1
247,Four men are sitting in red cloth covered chairs viewing something together.,Men are sitting looking at pictures.,neutral,Men can view things other than pictures.
248,a red car has rolled over on a dirt track.,There is a red car that has rolled over on a dirt track.,entailment,It states that there is a red car that has rolled over.
249,"There are several people but three in particular, coming from a shopping center with boxes and plants in their carts.",There are people with items in their carts.,entailment,People coming out of shopping center have items in their carts
250,Children are learning about a firetruck.,The children are taking a test.,contradiction,The children are either learning about a firetruck or taking a test.
251,An old man in shorts and white spotted black socks sits outside playing an accordion.,The old man is playing an instrument outdoors.,entailment,The instrument is an accordion.  The sentence goes from broad to more defined from sentence 1 to 2.
252,A small car decorated with flames and other paint is driving amongst a crowd with a tub and flags on the roof.,"There is a small, solid black car driving amongst a crowd.",contradiction,The car cannot be both decorated with flames and solid black simultaneously.
253,A group of farmers are working together to complete a plant related task.,There are are a lot of farmers planting seeds.,neutral,A plant related task is not always planting seeds.
254,"A kid with Green shoes, red shorts, and a blue hat and shirt stands on a stretch of pavement.",a kid stands on pavement,entailment,"""stands on pavement"" is a rephrasing of ""stands on a stretch of pavement""."
255,Two people are walking in opposite directions in front of the same store that says there is a 50% sale.,A man helps a cow give birth.,contradiction,Two people or it is a man
256,A man is sliding along a green barrier on his snowboard.,A man is snowboarding.,entailment,Snowboarding is the same as sliding.
257,A group of people participate in a marathon.,The people are watching a concert.,contradiction,you can't watch a concert while you also run a marathon
258,Hispanic woman wearing a red plaid shirt works on sewing an article of clothing.,Woman wearing nothing sewing her thumb.,contradiction,One cannot be wearing nothing while wearing a red plaid shirt.
259,Three elderly women walking from behind.,Three elderly women are sitting on a bench.,contradiction,A person cannot be sitting and walking simultaneously.
260,The boy is playing with a colorful ribbon.,A child is playing with a ribbon.,entailment,"boy is a child, a ribbon can be colorful"
261,Two women standing in front of a fence looking at mountains.,Two women are looking at a land mass.,entailment,Mountains are a land mass.
262,A large group of men of all ages sit around a large conference table and listen to a man in black speak.,The men are all wearing suits.,neutral,Not all group of men listening to a man with glasses are all wearing suits.
263,An elderly couple dance in front of a juke box while a guy in shorts sleeps at a nearby table,An old couple dance next to a guy sleeping,neutral,The couple is dancing in front of the juke box not necessarily next to the sleeping guy.
264,A woman and child stand on the beach while sailboats sail on the ocean.,mom and child swim,contradiction,Woman and child cannot stand on the beach and swim at the same time.
265,A hand with tongs is reaching for a vegetable kabob on a grill that also has ribs and chicken kabobs.,There are no kabobs,contradiction,If there is a vegetable kabob there are kabobs.
266,A large group of people attending an event with vendors and food.,People at a memorial service.,contradiction,And event with vendors and food could be different then a memorial service
267,A man in a home kitchen is flipping a pancake extremely high.,The pancake is made with lots of sugar.,neutral,Just because he's flipping the pancake doesn't mean its made with lots of sugar.
268,"Two men confer while standing in a front of a stone wall with writing on it, while others sit at outdoor tables in the background.",Two men watch television together in their livign room.,contradiction,The men would not be standing in front of a stone wall if they are watching television in a room because the wall would be outside and the room is inside.
269,Handyman works on outer wall of city building.,boys are writing in a notebook.,contradiction,A man cannot be writing on a notebook and on the wall consecutively.
270,a group of women with there small children two small girls and two small babies.,a group of sad women with there small children two small girls and two small babies.,neutral,A group women does not imply a group of sad women.
271,"Dressed in high-waisted blue jeans, boots and a blue shirt with a gold ""B"" on the front is talking on the phone.",The person is riding a horse.,contradiction,"Riding a horse would need the rider's full attention, and she's unlikely to be talking on a phone."
272,"Two women, one wearing jeans and one wearing a white skirt, are walking in a building.",Both women are wearing jeans.,contradiction,Both women cannot be wearing jeans if one is wearing a skirt.
273,A little boy in a blue jacket prepares to shovel snow.,The snow needs to be shoveled by the boy,neutral,Prepares to shovel does not imply that it needs to be shoveled.
274,A snowboarder is doing a flip over a mound of snow.,There is someone doing tricks on their snowboard.,entailment,a snowboarder is someone and they done flips over snow mound.
275,A young boy is climbing on the leg of a statue.,The boy is swimming in a pool.,contradiction,The boy's action is either climbing or swimming.
276,Three men stand in a bar with a purple counter.,The women are standing at the black bar counter.,contradiction,Women and men are different.
277,A new graduate is reaching over to shake hands with a man behind the roped off section separating them.,the new graduate has no arms,contradiction,People with no arms cannot shake hands with other people.
278,A man wearing black staring at a tree.,A man is staring at a woman,contradiction,A man can either be staring at a tree or woman but not both.
279,Two hockey players almost fall on the ice during a scuffle.,The hockey players are wearing green uniforms.,neutral,Not all hockey players are wearing green uniforms.
280,Indian woman performing a dance on stage.,Indian woman performing a dance on a stage for a competition.,neutral,"The woman could be performing just for fun, not necessarily for a competition."
281,Skydivers in formation.,They are all friends.,neutral,Nothing says they are friends. They could be strangers
282,A brown dog swims through water outdoors with a tennis ball in its mouth.,A brown dog is swimming in water with a ball in its mouth.,entailment,Swimming in water is a rephrasing of swims through water.
283,A man with a goatee on his face is looking at a plate of toast with eggs on top of the toast.,The man is playing with a hackey sack.,contradiction,Hackey sack is not a plate of toast with eggs and you cannot be playing with a hackey sack while looking at food.
284,Two women in library the librarian assist the other women to help in her research.,A librarian is helping a patron in the library.,entailment,A librarian usually works in a library.
285,"Two People, smiling holding a musical instrument.","Two People, smiling holding a trombone.",neutral,A trombone is not the only musical instrument that can be held.
286,"A giant inflatable ball, taller than a man, is chased by two men in orange shirts.",two men chase a giant ball that will pop if they don't catch it,neutral,Chasing a ball does not imply the ball will pop if they don't catch it.
287,A man in a black helmet and a man in a white helmet are riding small motorcycles past a man in a white shirt on a narrow city street.,A man in a white shirt saw two motorcycles.,neutral,We don't know for sure that the man saw two motorcycles.
288,A muslim woman holding balloons at an islamic event,A muslim woman is empty handed at the event.,contradiction,The woman can't be empty handed and holding balloons.
289,Two men work on girls bike in front of garage.,Tall humans working,neutral,"Just because the two humans are working, doesn't mean they are working on a bike, or that the bike belongs to a girl, or that they are men, or that they are tall."
290,A group of men are playing basketball.,Men are throwing a basketball.,neutral,"Just because a group of men are playing basketball, does not imply that the men are throwing a basketball."
291,A female contortionist practices her solo performance on stage.,A female contortionist works for a circus and rehearses,neutral,Not all contortionist works for a circus.
292,A silver statue of men on bikes.,A shiny statute of men on bicycles.,neutral,A silver statue of men on bikes does not indicate that A shiny statute of men on bicycles.
293,A puzzled construction worker covered in decorative pins adjusts his helmet.,A construction worker is doing his job.,neutral,A construction worker is not necessarily doing his job.
294,The two man is busy cementing the road.,dog eats grass,contradiction,A man is not a dog. Cement roads do not have grass.
295,A blond woman playing horseshoes in the snow.,The lady in blond is playing horseshoes in the snow.,entailment,A lady is a woman.
296,Two football teams engaged in competitive action against each other.,Two football teams congratulating each other.,contradiction,They wouldn't be engaged in competitive action if they were congratulating each other because that would mean the game is over and they aren't competing anymore.
297,a woman wearing a white shirt kissing a guy.,A woman wearing a shirt kisses a woman.,contradiction,"a guy is a man, which is not a woman"
298,A woman with feathers in her hair.,A native American woman portraying a headdress.,neutral,Not every woman with feathers in her hair is a native American and feathers in someone's hair does not necessarily imply a headdress.
299,Two large dogs lying on their backs on a purple comforter.,Two large dogs are lying on their backs sleeping soundly.,neutral,Just because the dogs are lying doesn't mean they're sleeping.
300,A technician bent over fixing a machine.,A man is taking apart a machine.,neutral,Fixing is not the same thing as taking apart a machine.
301,A man walking through a large grass-covered valley.,A woman is walking through a valley,contradiction,a man is not a woman
302,A shirtless man is doing a jump with a skateboard.,the man is doing tricks,neutral,Sentence 1 does not require that the man is acting this way because he is doing tricks.
303,Two women are laughing at an outdoor event.,Women at an event are amused.,entailment,The women are laughing so they must be amused.
304,A young man and woman are laughing and drinking a beer.,A young man and woman shared a beer.,contradiction,The cannot be laughing at the same time they shared a beer.
305,"Two men, dresses in jackets and gloves, blowing leaves.",Two men are at the bar watching the game.,contradiction,Two men can't be watching and blowing.
306,A guy is on one hand throwing his feet up surrounded by a crowd.,A man is performing on a city sidewalk.,neutral,throwing doesn't always mean  performing
307,A man in yellow and a man in green boating down a river on an overcast day.,A man in yellow and a man in green boating down a muddy river on an overcast day.,neutral,It cannot be inferred that the river is muddy.
308,A young boy with an orange shirt on is looking at a tool set with an overturned bike at his side.,Boy on his bike is looking at tool set,entailment,a boy is looking at tool set
309,The boy is bending down ready to catch the ball.,A boy is playing catch,entailment,"If the boy is trying to catch the ball, it is implied he is playing catch."
310,"Five young, well-dressed people work in a kitchen.",The five people are sitting at a table.,contradiction,The people can't be sitting at a table while they work in a kitchen.
311,Small boy lying on his stomach on the grass.,A boy is lying in the grass.,entailment,"The boy lying must be on a body part, which is his stomach."
312,Kids riding on their bicycles near a mound of dirt with a hovel from a backhoe in front of the mound.,The kids are near a construction site.,neutral,"The kids could be playing with toy shovels and backhoes, not next to a construction site."
313,A man in a US Army uniform looks through a microscope as a scientist in a lab coat looks over his shoulder.,Two men are next to a microscope.,entailment,"If a man is using a microscope, and a scientist looks over his shoulder, then two men are next to a microscope."
314,A team of surgeons dressed in blue operate on a patient.,Surgeons racing to save a life.,neutral,The fact that the surgeons are wearing blue while they operate does not imply that they are racing to save a life.
315,Three football players in navy blue and yellow uniforms are running down a football field; one is kicking a football as he runs.,Two people play chess.,contradiction,Chess and football are two different games. Three players and two players are two different amounts of players.
316,A man in a purple and white shirt is assisting a man in a wife beater with his workout.,The people are sitting on a couch watching tv.,contradiction,Sentence 1 describes a man.  Sentence 2 describes people.  These are 2 different actions.
317,Three people are setting up chairs on the beach.,Some people are placing chairs in front of the ocean.,neutral,Just because people are setting up chairs on the beach does not mean the beach is in front of the ocean.
318,A man in a blue t-shirt eats a meal.,A man is having jaw surgery.,contradiction,One cannot eat and have jaw surgery simultaneously.
319,People are waiting for a train at the subway.,People are waiting for a carpool to arrive.,contradiction,"People are waiting for two different things, a train and a carpool."
320,Little boy playing with his toy truck.,A boy plays in a sandbox.,neutral,"Just because he is playing with his truck, it doesn't mean that the truck is in a sandbox."
321,An elderly lady with a cane and handbag walks along the sidewalk.,A lady is walking.,entailment,elderly lady with a cane and handbag walks implies lady is walking
322,A basketball player slam dunks the basketball.,He hits a 3 pointer.,contradiction,It's impossible to get a three pointer and slam dunk.
323,People are riding an escalator up and down a subway station tunnel.,"near a subway, people play around on an escalator",entailment,People are not only riding the escalator but they are playing around on it.
324,A dog on a leash walks on the sidewalk while another dog follows.,A dog lays on the couch looking bored.,contradiction,A dog walking on the sidewalk is not the same as a dog who passively lays on a couch.
325,Woman just about to get on a bicycle.,Woman is standing next to a bike.,entailment,You need to stand next to a bike before you get on it.
326,A man in a brown-red suit holds a stringed instrument and looks off to the left in front of a purple-pink background.,A man has no arms.,contradiction,A man can not hold a stringed instrument with no arms.
327,A man wearing black shorts with white stripes is diving into some water.,A man is wearing blue jeans.,contradiction,"A man is wearing black shorts with white stripes, so he isn't wearing blue jeans."
328,A woman helping another woman out with a website on a computer.,Two women are gathered around a computer.,entailment,A woman helping another woman implies two women.
329,People search for their seats in a stadium.,People are going to see a baseball game.,neutral,"You cannot assume they are at a baseball game, and it is not implied. Not all games are that of baseball."
330,"A woman with a brown coat and a woman with a black top stand along displays of oranges, apples, and other fruits.",A woman is trying to sell items at a farmers' market,neutral,Just because a woman is standing along displays of fruit does not mean she is trying to sell items at a farmers' market.
331,Workers place tiles on walls.,the workers are making a bathroom,neutral,Not all workers placing tiles on walls are making a bathroom.
332,A man riding a BMX bike is attempting a bicycle trick in a skate park.,The man is a professional bmx bikers.,neutral,Not all men attempting a BMX bike trick are a professional.
333,A white dog is running along a path outside.,The dog is going to rescue it's master from villains.,neutral,It cannot be inferred that the running dog is going to rescue it's master from villains.
334,a man in black clothes is watching a child making a splash in a pool.,The child is outside in the pool.,entailment,The child is outside because the pool it's in is outside
335,Telephone wires are visible.,You can see telephone lines in the sky.,entailment,"By being able to see telephone lines, you know that they are visible."
336,An older woman is preparing food while an older man stands next to her.,Two people are standing close together.,entailment,A man and a woman are 2 people. Standing next to someone is close.
337,A man tucks in a sheet on the bed.,A woman serves eggs to children in a cafeteria line.,contradiction,A man and woman are not the same and tucking in a sheet is not the same as serving eggs.
338,Two small blond children holding stick while standing in a crowd n the city.,two siblings in a crowd with a stick,neutral,Sentence two may be talking about different siblings.
339,A man is holding a bride's dress up to prevent it from getting dirty on a rain soaked boardwalk.,A man is holding a bride's dress to prevent it from getting dirty because he paid a lot of money for it.,neutral,Just because a man is holding up a bride's dress to stop it from getting dirty doesn't mean that he paid for it or that it cost a lot of money.
340,A woman balancing on pews and dancing.,A woman is dancing.,entailment,Balancing on pews and dancing implies dancing.
341,A rock climber clings to a steep overhanging rock high above a mesa.,The climber has fallen before.,neutral,There is no certainty that the climber has fallen before.
342,The man and woman at the window are turned around to the man and woman behind them.,People in the kitchen are punching eachother.,contradiction,A man and a woman who have turned around to a man and woman are not people punching eachother.
343,Three police officers on motorcycles on the street with pedestrians walking on the sidewalk in the background.,The police officers are outside.,entailment,Police officers are outsides because they're on the street.
344,A woman and a child sitting in a huge strawberry.,A man and his son sit inside a banana.,contradiction,Either woman and child sit in a strawberry or a man and son sit inside a banana.
345,A group of children walk together on a bright day.,The children are about to begin jogging outside.,neutral,Walk together does not necessarily mean about to begin jogging.
346,Group of people dance with smiles at their faces.,Some men are happy at a concert.,neutral,"Not everyone smiles when he is happy; not everyone is happy when he smiles. Dancing occurs everywhere, not just at a concert."
347,Outside a theater at night.,Inside the library.,contradiction,You cannot be inside and outside at the same time.
348,Some people and their bicycles lined up at a waterfront dock.,Some people and their bicycles lined up at the park.,contradiction,A waterfront dock might not be at a park.
349,A man is grinding his skateboard on a guard rail.,The man rides skateboards.,entailment,"If he owns a skateboard and is grinding it, it is implied that he rides them."
350,An older woman sews happily whilst sitting.,A woman stands and cooks for her kids.,contradiction,"The woman either sits or stands, and either sews or cooks."
351,"A man in a black shirt, and black shorts is walking down the street, holding hands with a woman in a black sundress.",A person is holding hands with another person.,entailment,A man holding hands with a woman is a person holding hands with another person. This is a concise restatement.
352,A girl in a black shirt is looking to the side while sitting on a wooden bench.,A girl in a red shirt is eating some ice cream.,contradiction,A black shirt is different from a red shirt.
353,A woman in a green skirt and pink underskirt leans back as she kneels.,The woman is fully clothed,entailment,"A skirt and underskirt are pieces of clothing, the women is fully clothed by wearing them."
354,A guy on a skis skiing down a hill.,A guy is snowboarding down a hill.,contradiction,The guy cannot simultaneously be on skis and be snowboarding
355,A man with one leg is playing volleyball.,A man that was shot in the leg plays a game.,neutral,We do not know if he was shot and that is why he has one leg.
356,Two people sit in shadow in the open back of a vehicle followed by another vehicle.,Two people are sitting in the back of a vehicle.,entailment,It has already been stated that they are sitting in the back of a vehicle.
357,Three men in suits hold hands and celebrate.,The men are at a funeral.,contradiction,People do not celebrate at a funeral.
358,A man with a dog.,The man is working in a very sterile laboratory.,contradiction,One would not have a dog n a sterile laboratory.
359,Two people on a stage hold microphones.,The people are sitting at a table in front of a stage.,contradiction,Two people on a stage hold microphones or they are just sitting at a table in front of a stage
360,When struggling to work on scaffolding in humid weather.,someone is working in hot weather.,entailment,humid implies   hot
361,A woman looking at pants in a colorful store.,A woman looks.,entailment,a woman looking is same as woman looks
362,Eight people meditating on the beach.,Nobody is meditating,contradiction,Its either eight people or nobody.
363,Two college students in white t-shirts sitting and playing Nintendo.,There are two college students playing  Nintendo with each other.,neutral,Two college students in white t-shirts sitting and playing Nintendo does not mean they are playing Nintendo with each other
364,a man wearing a coat and rain hat pushes a blue shopping cart loaded with his belongings across a street.,A man in a raincoat moves some objects around.,entailment,A raincoat is a coat.
365,A man in the crowd records two people covered in aluminum foil.,The man is in a crowd.,entailment,The man is in a crowd is the same as man in the crowd.
366,A family having a good time eating.,A family is eating.,entailment,Having a good time eating is eating.
367,A couple with sunglasses are laying on the beach.,A couple are getting a tan from the sun's rays.,neutral,Just because a couple is laying on the beach in sunglasses does not mean they are getting a tan.
368,The dogs are playing with a tennis ball in the yard.,There are animals outdoors.,entailment,The dogs are form of animals and the fact that they are in the yard implies they are outdoors.
369,A man is working on his wooden boat.,The man has a hammer in his hand.,neutral,Not everyone working on a boat is using a hammer.
370,Five young men are playing music in the street.,The men have been playing music for hours.,neutral,You can not infer it's been hours.
371,A woman in a striped skirt rolls a black ball.,A lady dressed in a skirt is rolling a ball.,entailment,Woman is lady.
372,A man and woman both wearing hats and carrying backpacks.,People wearing hats and carrying backpacks.,entailment,A man and woman are people.
373,A man juggling in front of a group of kids.,The juggler is tossing only one object.,contradiction,Juggling would normally require more than one object.
374,a skateboarder in a green shirt is taking a jump of a step in front of a pink building.,a skateboarder in a green shirt is taking a jump.,entailment,skateboarder is in green shirt and he is taking a jump
375,"In the middle of a shopping center, there are two statues of men on bicycles with skeletons by them.",The mall is decorated for Christmas.,contradiction,A mall decorated for Christmas would not have skeletons as part of the decor
376,"A woman wearing a short skirt, yellow top, and denim jacket stands in front of a brick building covered with worn out signs.",A woman is outside of a brick building in a miniskirt and denim jacket.,entailment,A woman is outside of a brick building in a miniskirt and denim jacket is a rephrasing of A woman wearing a short skirt and denim jacket stands in front of a brick building
377,Two children are sitting at a desk.,Two kids are at their desks studying.,neutral,Studying is not the only thing two kids can do while seated at a desk.
378,The woman stands near a dangerously cracked window.,A woman is standing,entailment,Standing is standing despite what one is near
379,A man in jeans is lying on a wooden floor.,A man is laying down.,entailment,Man is lying down on the floor.
380,A dog walks along a beach.,A dog is walking down a mountain.,contradiction,A dog cannot be walking along a beach and walking down a mountain at the same time.
381,"A city sidewalk scene consisting of two men with dreadlocks sitting on the ground, a punk rocker holding books, a woman with a camera walking away, and a man wearing a long coat, scarf, hat, and sunglasses looking away from the picture.",A group of people are in the city.,entailment,two men wit dreadlocks  women with camera and man wearing long coat are in the city
382,"A man with a green hat in a small boat named ""Texas Mooring"", in the water.",A man is in a boat,entailment,"For a man to be in a small boat, the man must be in a boat.."
383,A religious gathering reading a book.,The people are enjoying the book.,neutral,"A religious gathering reading a book, doesn't necessarily mean they are enjoying the book."
384,A football player prepares to throw the ball.,There is an athlete in the midst of preparation.,entailment,Football player is athlete.
385,A man with two dogs plays ball in a field of grass.,The man is outisde.,entailment,a man with two dogs in a field of grass is also a man outside.
386,"A man in a business suit is walking down the street, pulling luggage.",A businessman is late for a meeting so he is dragging his luggage behind him as quickly as he can,neutral,You  can not infer he is a businessman.
387,A man excitedly pushing in lawn mower in the backyard of a house.,A man is inside a building.,contradiction,"You cannot be pushing in lawn mower in the backyard of a house while being inside a building.  Pushing ""a"" lawn mower is the proper term, not pushing ""in"" lawn mower."
388,A man is playing tug-of-war with his dog.,A man is playing with a dog.,entailment,HE IS PLAYING TUG-OF-WAR.
389,A fluffy white dog is coming out of a blue striped obstacle shute.,The dog has a lot of hair,entailment,A fluffy dog is one that has a lot of hair.
390,Young woman trying to keep the Jenga tower stable.,People are smiling.,neutral,"There is only one person mentioned in sentence 1, a young woman, and there is no mention about her state of mind or whether she is smiling."
391,A woman with a purple umbrella is in a parking lot.,A woman is sitting in her car in traffic.,contradiction,A woman would not being in a parking lot and sitting in her car in traffic at the same moment.
392,A man on a bike pulling on the harness of a horse being ridden by someone.,Two people are riding the horse.,contradiction,"Two people are not riding the horse, one is on a bike and one is riding it."
393,A shirtless man is rock climbing on a vertical rock face.,The man is shirtless because he lost his shirt in a poker match the night before.,neutral,A shirtless man is rock climbing on a vertical rock face does not mean that he lost his shirt in a poker match the night before.
394,A person in a hard hat is doing some work on a train track.,A tall human in a hat.,neutral,A person in a hard hat is doing some work on a train track does not mean that a person is a tall human.
395,A goalie is catching a soccer ball.,A person is playing soccer.,entailment,goalie almost the same as   person
396,"Six ballet dancers, three men and three women, perform on stage.",Some people playing on ground.,contradiction,"The people are either on stage performing or outside playing, not both."
397,Two female members of team USA performing a jump high-five surrounded by two other female members.,The members were male.,contradiction,Team members cannot be both male and female.
398,"A woman in a white shirt, and black pants trimming a tree",The tree is a fern.,neutral,Not all trees are a fern.
399,A shirtless man with a race placard on his butt is posing like a body-builder.,a man poses at a bodybuilding competition,neutral,Just because a man donning a race placard poses shirtless like a body-builder does not mean he is posing at a bodybuilding competition.
400,A person with a variety of different wares standing amongst several others on a dirt road.,vendors wait for customers,neutral,"We cannot infer that the people are all vendors, they may have different professions. We also cannot infer that the people are there to wait for customers, they may be waiting for something else or standing there for another purpose."
401,A man in a heavy coat makes repairs at a train station.,A man in a coat is fixing something at the train station.,entailment,"""A man is fixing""is a rephrasing of ""A man makes repairs""."
402,A ceremonial parade being held is passing over a street corner by the bay.,A parade is near the bay.,entailment,near the bay is another way to say by the bay.
403,Three people in a group of cars in what appears to be a city scene; two of them carrying a large bottle and one is a female dressed in high heels.,A group of people are walking amongst some cars.,entailment,Three people made a group.
404,Asian girls line up near some flags.,"The girls are on vacation with their families, visiting the UN building in NYC.",neutral,"There is nothing to indicate why the girls are lined up near the flags or whether they are on vacation with their families, or if they plan to visit the UN building in NYC."
405,Men working with hoses and a large blue and white truck.,Men carry hoses beside a blue and white vehicle.,entailment,if the men are working with hoses then they must be carrying hoses.
406,A young girl and a woman stand in white dresses stand against a wall.,Two women pose for a photo shoot.,neutral,Doesn't mean the two women are posing for a photo shoot. It is possible they are just waiting for an event.
407,A boy wearing a blue shirt riding a gray horse on a gravel path through the green overgrown field.,The boy was at home taking a bath.,contradiction,"One can be at home taking a bath or riding a horse through the field, not both at the same time."
408,A group of Asian children participate in group activities in a classroom.,A group of children are doing classroom activites,entailment,A group of children participate in classroom activities.
409,A crowd of people gathered in a public place outdoors sitting at picnic tables.,The people are in a gym,contradiction,People in a gym are not outdoors.
410,A couple sharing in an embrace,A couple spending time together.,entailment,embrace almost the same as together.
411,"At the corner of an intersection, a black vehicle waits as a woman in black holding a bag is crossing the street.",a woman crosses a street,entailment,A woman crossing the street indicates a woman crosses a street.
412,A young man is shooting pool.,The man is playing a game.,entailment,Playing a game is the same as shooting pool
413,A group of men stand in line in a dimly-lit restaurant bar.,The men are standing in line at the restaurant.,entailment,A group of men is a rephrasing of 'the men'.
414,"Two men, one in yellow, are on a wooden boat.",One woman watching the super bowl.,contradiction,You can't be on a wooden boat watching the super bowl.
415,Five men stand outside and look like they are about to work.,A quintet of men appear to be starting work,entailment,Five men is a quintet of men and about to work is starting work.
416,a man in scrubs stands next to a computer,The man is at the zoo.,contradiction,"Likely, the man in scrubs would be working at a medical facility, and so not at a zoo."
417,The women is washing the newborn baby.,A baby is wet.,entailment,newborn bay is wet and the women is washing
418,The girl and boy are kissing whilst sitting on a wooden bench.,A young couple expressing love for one another.,neutral,You can not infer they are young.
419,Swimmers by a nearby wave along with one surfer on the wave.,swimmers and surfers come together,entailment,There are swimmers by a wave that is very close to and together on the same wave as one or more surfers.
420,"Man grilling hotdogs, buns, peppers and other foods while another man stands behind him posing.",A man is having his picture taken behind another man cooking his meal.,neutral,Just because a man is posing behind another man cooking his meal doesn't mean he is having his picture taken.
421,"Two men who appear to be in good spirits, one in a red shirt and another in a blue shirt are climbing on a crosswalk signal pole.",The men are drunk.,neutral,"We have no idea if the men are drunk or not, they could be in good spirits for many reasons."
422,A man in a white shirt is walking a dog on the side of a street.,A man walks his dog to the dog park.,neutral,A man is not necessarily taking his dog to the dog park just because he is walking a dog. The dog that the man is walking may not even be his dog.
423,"A man is playing pool, shooting a ball toward the camera.",A man is sitting on a bar stool ordering a drink.,contradiction,either playing or sitting. either shooting or ordering.
424,A mid sized mixed gender choir sings while the director motions to keep beat.,A choir and their director are dancing on stage.,contradiction,The choir is either singing or dancing
425,A large amount of people at an outdoor festival.,The group of students are studying their school work,contradiction,People cannot be at an outdoor festival and studying simultaneously.
426,A smaller sized bulldozer downtown in the street with two men standing in front of it.,A huge bulldozer blowing up.,contradiction,"A bulldozer can't be smaller and huge, nor exploding with men standing in front of it. They wouldn't be standing."
