id,rationale_original_final,rationale_pert1_final,rationale_pert2_final,rationale_pert3_final,gold_label,row_accuracy
659,neutral,neutral,neutral,neutral,contradiction,0.0
660,neutral,neutral,neutral,neutral,contradiction,0.0
661,neutral,neutral,neutral,neutral,contradiction,0.0
662,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
664,neutral,neutral,neutral,neutral,neutral,1.0
665,neutral,neutral,neutral,neutral,contradiction,0.0
666,entailment,entailment,entailment,entailment,entailment,1.0
667,neutral,neutral,neutral,neutral,neutral,1.0
668,entailment,entailment,entailment,entailment,entailment,1.0
670,neutral,entailment,neutral,neutral,entailment,0.25
671,neutral,neutral,neutral,neutral,contradiction,0.0
672,neutral,neutral,neutral,neutral,neutral,1.0
673,neutral,neutral,neutral,neutral,neutral,1.0
674,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
676,neutral,neutral,neutral,neutral,neutral,1.0
677,neutral,neutral,neutral,neutral,neutral,1.0
679,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
680,neutral,neutral,neutral,neutral,neutral,1.0
681,neutral,neutral,neutral,neutral,contradiction,0.0
683,entailment,entailment,entailment,entailment,entailment,1.0
684,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
685,entailment,entailment,entailment,entailment,entailment,1.0
689,neutral,neutral,neutral,neutral,neutral,1.0
691,entailment,entailment,entailment,entailment,entailment,1.0
692,neutral,neutral,neutral,neutral,contradiction,0.0
693,entailment,entailment,entailment,entailment,entailment,1.0
694,neutral,neutral,neutral,neutral,entailment,0.0
695,neutral,neutral,neutral,neutral,neutral,1.0
697,neutral,neutral,neutral,neutral,neutral,1.0
698,neutral,neutral,neutral,neutral,neutral,1.0
699,entailment,entailment,entailment,entailment,entailment,1.0
700,neutral,neutral,neutral,neutral,neutral,1.0
701,entailment,entailment,entailment,entailment,entailment,1.0
702,entailment,entailment,entailment,entailment,entailment,1.0
703,neutral,neutral,neutral,neutral,contradiction,0.0
704,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
705,entailment,entailment,entailment,entailment,entailment,1.0
706,neutral,neutral,neutral,neutral,neutral,1.0
707,neutral,neutral,neutral,neutral,neutral,1.0
708,neutral,neutral,neutral,neutral,neutral,1.0
709,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
711,neutral,neutral,neutral,neutral,contradiction,0.0
712,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
713,neutral,neutral,neutral,neutral,neutral,1.0
714,neutral,neutral,neutral,neutral,neutral,1.0
715,neutral,neutral,neutral,neutral,neutral,1.0
718,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
719,entailment,entailment,entailment,entailment,entailment,1.0
720,neutral,neutral,neutral,neutral,neutral,1.0
721,entailment,entailment,entailment,entailment,entailment,1.0
722,entailment,entailment,entailment,entailment,entailment,1.0
723,neutral,neutral,neutral,neutral,neutral,1.0
724,neutral,neutral,neutral,neutral,neutral,1.0
725,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
726,entailment,entailment,entailment,entailment,entailment,1.0
727,contradiction,contradiction,contradiction,contradiction,entailment,0.0
728,contradiction,contradiction,neutral,contradiction,neutral,0.25
729,neutral,neutral,neutral,neutral,neutral,1.0
731,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
733,entailment,entailment,entailment,entailment,entailment,1.0
734,neutral,neutral,neutral,neutral,neutral,1.0
736,neutral,neutral,neutral,neutral,neutral,1.0
737,neutral,neutral,neutral,neutral,neutral,1.0
738,entailment,entailment,entailment,entailment,entailment,1.0
740,neutral,neutral,neutral,neutral,contradiction,0.0
741,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
742,neutral,neutral,neutral,neutral,entailment,0.0
743,entailment,entailment,entailment,entailment,entailment,1.0
744,neutral,neutral,neutral,neutral,entailment,0.0
745,entailment,entailment,entailment,entailment,entailment,1.0
746,entailment,entailment,entailment,entailment,entailment,1.0
747,neutral,neutral,neutral,neutral,contradiction,0.0
748,entailment,entailment,entailment,entailment,entailment,1.0
749,neutral,neutral,neutral,neutral,neutral,1.0
751,neutral,neutral,neutral,neutral,neutral,1.0
752,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
753,neutral,neutral,neutral,neutral,neutral,1.0
754,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
755,neutral,neutral,neutral,neutral,neutral,1.0
757,neutral,neutral,neutral,neutral,contradiction,0.0
759,neutral,neutral,neutral,neutral,contradiction,0.0
760,entailment,entailment,entailment,entailment,entailment,1.0
761,neutral,neutral,neutral,neutral,entailment,0.0
762,neutral,neutral,neutral,neutral,neutral,1.0
763,entailment,neutral,neutral,neutral,entailment,0.25
764,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
765,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
767,entailment,entailment,entailment,entailment,entailment,1.0
768,entailment,entailment,entailment,entailment,entailment,1.0
769,neutral,neutral,neutral,neutral,neutral,1.0
770,neutral,neutral,neutral,neutral,neutral,1.0
771,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
772,entailment,entailment,entailment,entailment,entailment,1.0
774,neutral,neutral,neutral,neutral,contradiction,0.0
775,neutral,neutral,neutral,neutral,contradiction,0.0
776,neutral,neutral,neutral,neutral,contradiction,0.0
777,neutral,neutral,neutral,neutral,neutral,1.0
779,entailment,entailment,entailment,entailment,entailment,1.0
780,neutral,neutral,neutral,neutral,neutral,1.0
781,entailment,entailment,entailment,entailment,entailment,1.0
782,entailment,entailment,entailment,entailment,entailment,1.0
784,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
786,entailment,entailment,entailment,entailment,entailment,1.0
790,neutral,neutral,neutral,neutral,neutral,1.0
793,entailment,entailment,entailment,entailment,entailment,1.0
794,entailment,entailment,entailment,entailment,entailment,1.0
795,neutral,neutral,neutral,neutral,contradiction,0.0
796,neutral,neutral,neutral,neutral,neutral,1.0
797,entailment,entailment,entailment,entailment,entailment,1.0
798,entailment,entailment,entailment,entailment,entailment,1.0
799,neutral,neutral,neutral,neutral,neutral,1.0
800,entailment,entailment,entailment,entailment,entailment,1.0
