id,premise_raw,premise_original_necessity,premise_original_sufficiency,premise_original_ghost,coverage_original,premise_lexical_necessity,premise_lexical_sufficiency,premise_lexical_ghost,coverage_lexical,premise_syntactic_necessity,premise_syntactic_sufficiency,premise_syntactic_ghost,coverage_syntactic,premise_pragmatic_necessity,premise_pragmatic_sufficiency,premise_pragmatic_ghost,coverage_pragmatic
212,A man playing a guitar on stage while a man plays drums in the background.,_____ _____ _____ _____ _____ _____ _____ while _____ _____ _____ _____ in the background.,A man playing a guitar on stage _____ a man plays drums _____ _____ _____,A man playing a guitar on stage _____ a man plays drums _____ _____ _____,0.7333,_____ _____ _____ _____ _____ _____ _____ while a man plays drums in the background.,A man playing a guitar on stage _____ _____ _____ _____ _____ _____ _____ _____,A man playing a guitar on stage _____ _____ _____ _____ _____ _____ _____ background.,0.4667,A man _____ _____ _____ on stage while a man _____ _____ in the background.,_____ _____ playing a guitar _____ _____ _____ _____ _____ plays drums _____ _____ _____,_____ man playing a guitar _____ _____ while a man plays drums in _____ _____,0.3333,A man _____ _____ _____ _____ _____ while a man _____ _____ in the background.,_____ _____ playing a guitar on stage _____ _____ _____ plays drums _____ _____ _____,_____ _____ playing a guitar on stage while _____ _____ plays drums _____ _____ _____,0.4667
213,The two dogs are running toward the camera.,The _____ _____ are running toward the camera.,_____ two dogs _____ _____ _____ _____ _____,The two dogs _____ running toward the _____,0.2500,The _____ _____ are running toward the camera.,_____ two dogs _____ _____ _____ _____ _____,The two dogs are _____ toward the _____,0.2500,The _____ _____ are running toward the camera.,_____ two dogs _____ _____ _____ _____ _____,_____ two dogs are _____ toward the camera.,0.2500,The _____ _____ are running toward the camera.,_____ two dogs _____ _____ _____ _____ _____,_____ two dogs are _____ toward the camera.,0.2500
214,The red skirt of a female dancer swirls while her feet and her male partner's feet dance on concrete.,The red skirt of a _____ _____ swirls while her feet and her _____ partner's feet _____ on concrete.,_____ _____ _____ _____ _____ female dancer _____ _____ _____ _____ _____ _____ male _____ _____ dance _____ _____,The red skirt of a female dancer _____ _____ her feet and her male partner's _____ dance on _____,0.2105,The red skirt of a _____ _____ swirls while her feet and her _____ partner's feet _____ on concrete.,_____ _____ _____ _____ _____ female dancer _____ _____ _____ _____ _____ _____ male _____ _____ dance _____ _____,The red skirt of a female dancer _____ _____ _____ feet and her male _____ feet dance on concrete.,0.2105,The red skirt of a _____ _____ swirls while her feet and her _____ partner's feet _____ on concrete.,_____ _____ _____ _____ _____ female dancer _____ _____ _____ _____ _____ _____ male _____ _____ dance _____ _____,The red _____ of a female dancer swirls while _____ feet and her male _____ feet dance _____ concrete.,0.2105,The red skirt of a _____ _____ swirls while her feet and her _____ partner's feet _____ on concrete.,_____ _____ _____ _____ _____ female dancer _____ _____ _____ _____ _____ _____ male _____ _____ dance _____ _____,The red skirt of _____ female dancer _____ while her _____ and her male partner's _____ dance on concrete.,0.2105
215,A young boy in a black cap and shirt looks down while next to a person in a polka dotted shirt.,A young boy in a black cap and shirt _____ _____ while next to a person in a polka dotted shirt.,_____ _____ _____ _____ _____ _____ _____ _____ _____ looks down _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A young _____ in a black cap and shirt looks down while next to a _____ in a polka dotted shirt.,0.0952,A young boy in a black cap and shirt _____ _____ while next to a person in a polka dotted shirt.,_____ _____ _____ _____ _____ _____ _____ _____ _____ looks down _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A young _____ in a black cap and shirt looks down while next to a _____ in a polka dotted shirt.,0.0952,_____ _____ _____ in a black cap and shirt _____ _____ while next to _____ _____ in a polka dotted shirt.,A young boy _____ _____ _____ _____ _____ _____ looks down _____ _____ _____ a person _____ _____ _____ _____ _____,A young boy in _____ _____ cap _____ _____ looks down while next _____ a person _____ a _____ dotted shirt.,0.3333,_____ _____ _____ in a black cap and shirt _____ _____ while next to a person in a polka dotted shirt.,A young boy _____ _____ _____ _____ _____ _____ looks down _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A young boy in a black cap _____ shirt looks down while _____ to a _____ in a _____ dotted _____,0.2381
217,A woman with a red hat is fishing at a lake.,A woman with a red hat is _____ at a lake.,_____ _____ _____ _____ _____ _____ _____ fishing _____ _____ _____,A woman with a red hat is fishing at a _____,0.0909,A woman with a red hat is _____ at a lake.,_____ _____ _____ _____ _____ _____ _____ fishing _____ _____ _____,A woman with a red hat _____ fishing at a lake.,0.0909,A woman with a red hat is _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ fishing at a lake.,A _____ _____ _____ red _____ is fishing at a lake.,0.3636,A woman with a red hat is _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ fishing at a lake.,_____ woman _____ _____ red hat _____ fishing at a lake.,0.3636
218,Two spectators are adorn with Mickey Mouse ears while looking back at an angle from a stadium.,_____ _____ are adorn with _____ _____ _____ while _____ _____ _____ _____ _____ from a stadium.,Two spectators _____ _____ _____ Mickey Mouse ears _____ looking back at an angle _____ _____ _____,Two spectators _____ _____ _____ Mickey Mouse ears _____ looking back at an angle _____ _____ _____,0.5882,_____ _____ are adorn with _____ _____ _____ while _____ _____ _____ _____ _____ _____ _____ _____,Two spectators _____ _____ _____ Mickey Mouse ears _____ looking back at an angle from a stadium.,Two spectators _____ _____ _____ Mickey Mouse ears _____ looking back at an angle from a stadium.,0.7647,_____ _____ _____ _____ _____ _____ _____ _____ while _____ _____ _____ _____ _____ _____ _____ _____,Two spectators are adorn with Mickey Mouse ears _____ looking back at an angle from a stadium.,Two spectators are adorn with Mickey Mouse ears _____ looking back at an angle from a stadium.,0.9412,_____ _____ are _____ _____ _____ _____ _____ while looking back at an angle from a stadium.,Two spectators _____ adorn with Mickey Mouse ears _____ _____ _____ _____ _____ _____ _____ _____ _____,Two spectators _____ adorn with Mickey Mouse ears _____ _____ _____ _____ _____ _____ from a stadium.,0.4118
219,An outdoor party with alcoholic beverages; some seem to be in costume.,_____ _____ _____ with _____ _____ some seem to be _____ _____,An outdoor party _____ alcoholic beverages; _____ _____ _____ _____ in costume.,An outdoor party _____ alcoholic beverages; _____ _____ _____ _____ in costume.,0.5833,An _____ _____ with alcoholic beverages; some seem to be in costume.,_____ outdoor party _____ _____ _____ _____ _____ _____ _____ _____ _____,An outdoor party with _____ beverages; some seem to be _____ costume.,0.1667,An _____ _____ with _____ _____ some seem to be in costume.,_____ outdoor party _____ alcoholic beverages; _____ _____ _____ _____ _____ _____,_____ outdoor party _____ alcoholic beverages; some _____ _____ be in costume.,0.3333,An _____ _____ with _____ _____ some seem to be _____ _____,_____ outdoor party _____ alcoholic beverages; _____ _____ _____ _____ in costume.,_____ outdoor party _____ alcoholic beverages; _____ _____ _____ _____ in costume.,0.5000
220,"A man dressed in a sport coat, slacks and nice shoes, posing in a very busily-decorated room, while wearing a dark green mask that has large yellow monster teeth, a single orange eye, and completely covers his head.","A man dressed in a sport coat, slacks and nice shoes, posing in a _____ _____ _____ while wearing a _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____","_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ very busily-decorated room, _____ _____ _____ dark green mask that has large yellow monster teeth, a single orange eye, and completely covers his head.","_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ very busily-decorated room, _____ _____ _____ dark green mask that has large yellow monster teeth, a single orange eye, and completely covers his head.",0.5526,"A man dressed in a _____ _____ _____ and _____ _____ posing in a very busily-decorated room, while wearing a _____ _____ _____ that has _____ _____ _____ _____ a _____ _____ _____ and completely covers his head.","_____ _____ _____ _____ _____ sport coat, slacks _____ nice shoes, _____ _____ _____ _____ _____ _____ _____ _____ _____ dark green mask _____ _____ large yellow monster teeth, _____ single orange eye, _____ _____ _____ _____ _____","A _____ _____ in _____ sport coat, slacks _____ nice shoes, posing _____ _____ _____ busily-decorated _____ _____ wearing _____ dark green mask that _____ large yellow monster teeth, a single orange eye, _____ _____ _____ his _____",0.3947,"A man dressed in a sport coat, slacks and nice shoes, posing in a _____ _____ _____ while _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____","_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ very busily-decorated room, _____ wearing a dark green mask that has large yellow monster teeth, a single orange eye, and completely covers his head.","_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ very busily-decorated room, _____ wearing a dark green mask that has large yellow monster teeth, a single orange eye, and completely covers his head.",0.6053,A man _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ in a _____ _____ _____ while _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,"_____ _____ dressed in a sport coat, slacks and nice shoes, posing _____ _____ very busily-decorated room, _____ wearing a dark green mask that has large yellow monster teeth, a single orange eye, and completely covers his head.","_____ _____ dressed in a sport coat, slacks and nice shoes, posing _____ _____ very busily-decorated room, _____ wearing a dark green mask that has large yellow monster teeth, a single orange eye, and completely covers his head.",0.8684
223,A young boy playing goalie stops the soccer ball with his hands.,A young boy playing goalie _____ _____ _____ _____ with his _____,_____ _____ _____ _____ _____ stops the soccer ball _____ _____ hands.,_____ _____ _____ _____ goalie stops the soccer ball _____ his hands.,0.4167,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A young boy playing goalie stops the soccer ball with his hands.,A young boy playing goalie stops the soccer ball with his hands.,1.0000,A young boy playing goalie _____ _____ _____ _____ with his _____,_____ _____ _____ _____ _____ stops the soccer ball _____ _____ hands.,_____ _____ _____ _____ goalie stops the soccer ball _____ his hands.,0.4167,A young boy playing goalie _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ stops the soccer ball with his hands.,_____ _____ _____ _____ _____ stops the soccer ball with his hands.,0.5833
224,A young woman plays professional tennis.,A young woman plays _____ _____,_____ _____ _____ _____ professional tennis.,A young _____ _____ professional tennis.,0.3333,A young woman plays _____ _____,_____ _____ _____ _____ professional tennis.,_____ _____ woman plays professional tennis.,0.3333,A _____ _____ _____ _____ _____,_____ young woman plays professional tennis.,_____ young woman plays professional tennis.,0.8333,A young woman plays _____ _____,_____ _____ _____ _____ professional tennis.,A young _____ _____ professional tennis.,0.3333
225,Someone in a lime green shirt is holding on to a tree.,Someone in a _____ _____ _____ is _____ _____ _____ _____ _____,_____ _____ _____ lime green shirt _____ holding on to a tree.,_____ _____ _____ lime green shirt _____ holding on to a tree.,0.6667,Someone in a _____ _____ shirt is _____ _____ _____ _____ _____,_____ _____ _____ lime green _____ _____ holding on to a tree.,_____ _____ _____ lime green _____ _____ holding on to a tree.,0.5833,Someone in a lime green shirt is _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ holding on to a tree.,Someone _____ _____ _____ _____ shirt _____ holding on to a tree.,0.4167,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,Someone in a lime green shirt is holding on to a tree.,Someone in a lime green shirt is holding on to a tree.,1.0000
227,A young boy doing a wheelie on his bike.,A young boy _____ _____ _____ on his bike.,_____ _____ _____ doing a wheelie _____ _____ _____,_____ _____ boy doing a wheelie _____ his bike.,0.3333,A young boy _____ _____ _____ on his bike.,_____ _____ _____ doing a wheelie _____ _____ _____,_____ _____ boy doing a wheelie _____ his bike.,0.3333,A _____ _____ doing a _____ on his bike.,_____ young boy _____ _____ wheelie _____ _____ _____,_____ young boy _____ a wheelie _____ his bike.,0.3333,A young _____ _____ _____ _____ on his bike.,_____ _____ boy doing a wheelie _____ _____ _____,_____ young boy doing a wheelie _____ _____ _____,0.4444
228,A skateboarder riding up to a slope.,A _____ _____ _____ _____ _____ _____,_____ skateboarder riding up to a slope.,_____ skateboarder riding up to a slope.,0.8571,A skateboarder _____ _____ _____ _____ _____,_____ _____ riding up to a slope.,_____ _____ riding up to a slope.,0.7143,A _____ _____ _____ _____ _____ _____,_____ skateboarder riding up to a slope.,_____ skateboarder riding up to a slope.,0.8571,_____ _____ _____ _____ _____ _____ _____,A skateboarder riding up to a slope.,A skateboarder riding up to a slope.,1.0000
229,Big brown and white spotted dog laying on a jacket on the street.,Big brown and white spotted _____ laying on a jacket on the _____,_____ _____ _____ _____ _____ dog _____ _____ _____ _____ _____ _____ street.,Big brown and white spotted dog laying on a _____ on _____ street.,0.1538,Big brown and white spotted _____ _____ on a jacket on the _____,_____ _____ _____ _____ _____ dog laying _____ _____ _____ _____ _____ street.,Big brown _____ white _____ dog laying on a jacket on _____ street.,0.2308,Big brown and white spotted _____ laying on a jacket _____ _____ _____,_____ _____ _____ _____ _____ dog _____ _____ _____ _____ on the street.,Big _____ _____ white _____ dog _____ on a jacket on the street.,0.3077,Big brown and white spotted _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ dog laying on a jacket on the street.,_____ _____ _____ _____ _____ dog laying on a jacket on the street.,0.6154
230,Two men clean the outside of a building under a blue sky.,Two men clean the outside of a building under a _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ blue sky.,Two _____ clean _____ outside of a building under a blue sky.,0.1667,Two men clean the outside of a building under a _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ blue sky.,Two men _____ _____ outside of a building under a blue sky.,0.1667,Two men clean the outside of a building under a _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ blue sky.,_____ men clean the outside of a _____ under a blue sky.,0.1667,Two men clean the outside of a building under a _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ blue sky.,Two men clean the outside _____ a building _____ a blue sky.,0.1667
231,A man in a hoodie does an ollie on his skateboard with people in the park in the background.,A _____ in a hoodie does an _____ on his _____ with people in the _____ in the background.,_____ man _____ _____ _____ _____ _____ ollie _____ _____ skateboard _____ _____ _____ _____ park _____ _____ _____,A man in a hoodie does _____ ollie on _____ skateboard _____ _____ in the park in the background.,0.2105,_____ _____ in a hoodie _____ _____ _____ _____ _____ _____ with _____ _____ _____ _____ _____ _____ _____,A man _____ _____ _____ does an ollie on his skateboard _____ people in the park in the background.,A man _____ _____ _____ does an ollie on his skateboard _____ people in the park in the background.,0.7895,_____ _____ in a hoodie _____ _____ _____ _____ _____ _____ with people _____ _____ _____ in the background.,A man _____ _____ _____ does an ollie on his skateboard _____ _____ in the park _____ _____ _____,A man _____ _____ _____ does an ollie on his skateboard _____ _____ in the park _____ _____ _____,0.5789,_____ _____ in a hoodie _____ _____ _____ _____ _____ _____ with people _____ _____ _____ in the background.,A man _____ _____ _____ does an ollie on his skateboard _____ _____ in the park _____ _____ _____,A man _____ _____ _____ does an ollie on his skateboard _____ _____ in the park _____ _____ _____,0.5789
232,An arena audience looking down at a football field.,An arena _____ _____ _____ _____ _____ _____ _____,_____ _____ audience looking down at a football field.,_____ _____ audience looking down at a football field.,0.7778,An arena audience _____ _____ _____ _____ _____ _____,_____ _____ _____ looking down at a football field.,_____ _____ _____ looking down at a football field.,0.6667,An arena _____ _____ _____ _____ _____ _____ _____,_____ _____ audience looking down at a football field.,_____ _____ audience looking down at a football field.,0.7778,An arena _____ _____ _____ _____ a _____ _____,_____ _____ audience looking down at _____ football field.,_____ _____ audience looking down at _____ football field.,0.6667
234,"A man wearing a blue outfit is pushing a boat, which is wooden and covered, with a pole, and a woman wearing black is the passenger.","A man wearing a blue outfit is _____ _____ _____ which is wooden and covered, with a pole, and a woman wearing black is the _____","_____ _____ _____ _____ _____ _____ _____ pushing a boat, _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ passenger.","A man _____ a _____ outfit is pushing a boat, which is _____ and covered, with a pole, and a woman wearing _____ is the passenger.",0.1538,"A man wearing a blue outfit is _____ a _____ which is wooden and covered, _____ _____ _____ and a woman wearing black is the passenger.","_____ _____ _____ _____ _____ _____ _____ pushing _____ boat, _____ _____ _____ _____ _____ with a pole, _____ _____ _____ _____ _____ _____ _____ _____","A man wearing a blue outfit is pushing a boat, which is wooden and _____ with a pole, _____ a _____ _____ _____ is the passenger.",0.1923,"A man wearing a blue outfit is _____ _____ _____ which is wooden and covered, _____ _____ _____ and a woman wearing black is the passenger.","_____ _____ _____ _____ _____ _____ _____ pushing a boat, _____ _____ _____ _____ _____ with a pole, _____ _____ _____ _____ _____ _____ _____ _____","A man _____ a _____ outfit is pushing a boat, _____ is wooden _____ covered, with a pole, and a woman wearing black is _____ _____",0.2308,"A man wearing a blue outfit is _____ _____ _____ which is wooden and covered, _____ _____ _____ and a woman wearing black is the _____","_____ _____ _____ _____ _____ _____ _____ pushing a boat, _____ _____ _____ _____ _____ with a pole, _____ _____ _____ _____ _____ _____ _____ passenger.","A man wearing a _____ outfit is pushing a boat, which is wooden and _____ with a pole, _____ _____ _____ wearing _____ is _____ passenger.",0.2692
235,A man in a black shirt is making bubbles.,A man in a black shirt is _____ _____,_____ _____ _____ _____ _____ _____ _____ making bubbles.,A man in a _____ _____ is making bubbles.,0.2222,A man in a black shirt is _____ _____,_____ _____ _____ _____ _____ _____ _____ making bubbles.,A _____ in a _____ shirt is making bubbles.,0.2222,A man in a black shirt is _____ _____,_____ _____ _____ _____ _____ _____ _____ making bubbles.,A _____ in a black shirt _____ making bubbles.,0.2222,_____ _____ in a black shirt is _____ _____,A man _____ _____ _____ _____ _____ making bubbles.,A man _____ a _____ _____ _____ making bubbles.,0.4444
236,The two people are viewing an artist's piece.,The two people are _____ _____ _____ _____,_____ _____ _____ _____ viewing an artist's piece.,_____ _____ _____ _____ viewing an artist's piece.,0.5000,_____ _____ _____ are viewing _____ _____ _____,The two people _____ _____ an artist's piece.,The two people _____ _____ an artist's piece.,0.7500,The two people are _____ _____ _____ _____,_____ _____ _____ _____ viewing an artist's piece.,_____ _____ _____ _____ viewing an artist's piece.,0.5000,_____ _____ _____ _____ _____ _____ _____ _____,The two people are viewing an artist's piece.,The two people are viewing an artist's piece.,1.0000
237,"A man wearing sunglasses, white shirt, and a smile plays the drums.",A man _____ _____ _____ _____ and a _____ _____ _____ _____,"_____ _____ wearing sunglasses, white shirt, _____ _____ smile plays the drums.","_____ _____ wearing sunglasses, white shirt, _____ _____ smile plays the drums.",0.6667,"A man wearing sunglasses, white shirt, and a smile _____ _____ _____",_____ _____ _____ _____ _____ _____ _____ _____ _____ plays the drums.,A man wearing _____ _____ _____ and a smile plays the drums.,0.2500,A man _____ _____ _____ _____ and _____ _____ _____ _____ _____,"_____ _____ wearing sunglasses, white shirt, _____ a smile plays the drums.","_____ _____ wearing sunglasses, white shirt, _____ a smile plays the drums.",0.7500,A man _____ _____ _____ _____ and a _____ _____ _____ _____,"_____ _____ wearing sunglasses, white shirt, _____ _____ smile plays the drums.","_____ _____ wearing sunglasses, white shirt, _____ _____ smile plays the drums.",0.6667
238,The black dog is standing by the wall next to the orange.,The black dog is _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ standing by the wall next to the orange.,_____ _____ _____ _____ standing by the wall next to the orange.,0.6667,The black _____ is standing by the wall _____ _____ _____ _____,_____ _____ dog _____ _____ _____ _____ _____ next to the orange.,The _____ dog _____ _____ _____ _____ wall next to the orange.,0.4167,The black _____ is _____ _____ the wall _____ _____ _____ _____,_____ _____ dog _____ standing by _____ _____ next to the orange.,_____ _____ dog _____ standing by _____ _____ next to the orange.,0.5833,The black _____ is standing _____ _____ _____ _____ _____ the _____,_____ _____ dog _____ _____ by the wall next to _____ orange.,_____ _____ dog _____ _____ by the wall next to _____ orange.,0.5833
242,"A young, Hispanic woman wearing a sundress is walking outside near a large fountain and palm trees.",_____ _____ _____ _____ _____ _____ _____ is walking outside near a large fountain and palm trees.,"A young, Hispanic woman wearing a sundress _____ _____ _____ _____ _____ _____ _____ _____ _____ _____","A young, Hispanic woman wearing a sundress is _____ _____ near _____ _____ _____ and _____ _____",0.4118,A _____ Hispanic _____ _____ _____ _____ is walking outside near a large fountain and palm trees.,"_____ young, _____ woman wearing a sundress _____ _____ _____ _____ _____ _____ _____ _____ _____ _____","_____ young, Hispanic woman wearing a sundress is walking outside _____ a large fountain _____ _____ _____",0.2941,_____ _____ _____ _____ _____ _____ _____ is walking outside near a large fountain and palm trees.,"A young, Hispanic woman wearing a sundress _____ _____ _____ _____ _____ _____ _____ _____ _____ _____","A young, Hispanic woman wearing a sundress _____ _____ _____ near _____ _____ fountain and _____ _____",0.4118,"A young, Hispanic woman wearing a _____ is walking outside near a large fountain and palm trees.",_____ _____ _____ _____ _____ _____ sundress _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,"A young, Hispanic woman wearing a sundress is walking outside near a large fountain _____ palm trees.",0.0588
243,Two individuals on motorbikes leaning into a turn on a racetrack.,Two _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ individuals on motorbikes leaning into a turn on a racetrack.,_____ individuals on motorbikes leaning into a turn on a racetrack.,0.9091,Two _____ on _____ _____ _____ _____ _____ on a racetrack.,_____ individuals _____ motorbikes leaning into a turn _____ _____ _____,_____ individuals _____ motorbikes leaning into a turn _____ _____ _____,0.5455,Two _____ _____ _____ leaning into a turn on a _____,_____ individuals on motorbikes _____ _____ _____ _____ _____ _____ racetrack.,_____ individuals on motorbikes leaning into _____ _____ _____ a racetrack.,0.3636,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,Two individuals on motorbikes leaning into a turn on a racetrack.,Two individuals on motorbikes leaning into a turn on a racetrack.,1.0000
245,A group of men and women are on stage doing a performance in dim lighting.,_____ _____ _____ _____ _____ _____ are _____ _____ _____ _____ _____ _____ _____ _____,A group of men and women _____ on stage doing a performance in dim lighting.,A group of men and women _____ on stage doing a performance in dim lighting.,0.9333,_____ _____ _____ _____ _____ _____ are _____ _____ _____ _____ _____ _____ _____ _____,A group of men and women _____ on stage doing a performance in dim lighting.,A group of men and women _____ on stage doing a performance in dim lighting.,0.9333,A group of men and women are _____ _____ doing _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ on stage _____ a performance in dim lighting.,A _____ _____ _____ _____ _____ _____ on stage _____ a performance in dim lighting.,0.4667,A group of men and women are on stage doing a _____ in _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ performance _____ dim lighting.,A _____ of men _____ women are _____ stage doing a performance in dim lighting.,0.2000
247,Four men are sitting in red cloth covered chairs viewing something together.,Four _____ are _____ in red cloth covered _____ _____ _____ _____,_____ men _____ sitting _____ _____ _____ _____ chairs viewing something together.,_____ men _____ sitting _____ _____ _____ _____ chairs viewing something together.,0.5000,Four _____ are _____ in red cloth covered chairs _____ _____ together.,_____ men _____ sitting _____ _____ _____ _____ _____ viewing something _____,Four men _____ sitting _____ red _____ covered chairs viewing something _____,0.3333,Four _____ are _____ in red cloth covered _____ _____ _____ together.,_____ men _____ sitting _____ _____ _____ _____ chairs viewing something _____,Four men _____ sitting _____ red _____ _____ chairs viewing something _____,0.4167,Four _____ are _____ in red cloth covered _____ _____ _____ _____,_____ men _____ sitting _____ _____ _____ _____ chairs viewing something together.,_____ men _____ sitting _____ _____ _____ _____ chairs viewing something together.,0.5000
249,"There are several people but three in particular, coming from a shopping center with boxes and plants in their carts.","There are several _____ but three in particular, _____ _____ _____ _____ _____ with _____ _____ _____ _____ _____ _____",_____ _____ _____ people _____ _____ _____ _____ coming from a shopping center _____ boxes and plants in their carts.,_____ _____ _____ people _____ _____ _____ _____ coming from a shopping center _____ boxes and plants in their carts.,0.6000,"There are several _____ but three in particular, _____ _____ _____ _____ _____ with _____ _____ _____ _____ _____ _____",_____ _____ _____ people _____ _____ _____ _____ coming from a shopping center _____ boxes and plants in their carts.,_____ _____ _____ people _____ _____ _____ _____ coming from a shopping center _____ boxes and plants in their carts.,0.6000,"There are several _____ but three in particular, coming from a shopping center with _____ _____ _____ _____ _____ _____",_____ _____ _____ people _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ boxes and plants in their carts.,"_____ _____ _____ people _____ _____ in particular, _____ from a shopping center _____ boxes and plants in their carts.",0.3500,"There are several _____ but three in particular, coming from a shopping center with _____ _____ _____ _____ _____ _____",_____ _____ _____ people _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ boxes and plants in their carts.,There are _____ people _____ _____ in _____ coming from _____ _____ _____ with boxes and plants in their carts.,0.3500
250,Children are learning about a firetruck.,Children are _____ about a firetruck.,_____ _____ learning _____ _____ _____,Children are learning _____ a firetruck.,0.1667,Children are _____ about a firetruck.,_____ _____ learning _____ _____ _____,Children are learning about a _____,0.1667,Children are _____ about a firetruck.,_____ _____ learning _____ _____ _____,Children are learning _____ a firetruck.,0.1667,Children are _____ about a firetruck.,_____ _____ learning _____ _____ _____,Children _____ learning about a firetruck.,0.1667
251,An old man in shorts and white spotted black socks sits outside playing an accordion.,_____ _____ _____ in shorts and white spotted black socks sits _____ _____ _____ _____,An old man _____ _____ _____ _____ _____ _____ _____ _____ outside playing an accordion.,An old man in _____ _____ _____ _____ _____ _____ _____ outside playing an accordion.,0.4667,_____ _____ _____ in shorts and white spotted black socks sits _____ _____ _____ _____,An old man _____ _____ _____ _____ _____ _____ _____ _____ outside playing an accordion.,An old man _____ shorts _____ _____ _____ _____ _____ _____ outside playing an accordion.,0.4667,_____ _____ _____ in shorts and white spotted black socks sits _____ _____ _____ _____,An old man _____ _____ _____ _____ _____ _____ _____ _____ outside playing an accordion.,An old man _____ _____ _____ _____ _____ _____ _____ sits outside playing an accordion.,0.4667,_____ _____ _____ in shorts and white spotted black socks sits _____ _____ _____ _____,An old man _____ _____ _____ _____ _____ _____ _____ _____ outside playing an accordion.,An old man _____ _____ and _____ _____ _____ _____ _____ outside playing an accordion.,0.4667
252,A small car decorated with flames and other paint is driving amongst a crowd with a tub and flags on the roof.,A _____ _____ _____ _____ _____ _____ _____ _____ is driving amongst a crowd with _____ _____ _____ _____ _____ _____ _____,_____ small car decorated with flames and other paint _____ _____ _____ _____ _____ _____ a tub and flags on the roof.,_____ small car decorated with flames and other paint _____ _____ _____ _____ _____ _____ a tub and flags on the roof.,0.6818,A small car decorated with _____ and _____ _____ is driving amongst a crowd with _____ _____ and _____ on the roof.,_____ _____ _____ _____ _____ flames _____ other paint _____ _____ _____ _____ _____ _____ a tub _____ flags _____ _____ _____,_____ small car decorated with flames _____ other paint _____ driving amongst a crowd _____ a tub _____ flags _____ the roof.,0.2727,_____ _____ _____ _____ _____ _____ _____ _____ _____ is driving amongst a crowd with _____ _____ and _____ on the roof.,A small car decorated with flames and other paint _____ _____ _____ _____ _____ _____ a tub _____ flags _____ _____ _____,A small car decorated with flames and other paint _____ _____ _____ _____ _____ _____ a tub _____ flags _____ _____ _____,0.5455,A small car decorated with _____ and _____ _____ is driving amongst a crowd with _____ _____ and _____ on the roof.,_____ _____ _____ _____ _____ flames _____ other paint _____ _____ _____ _____ _____ _____ a tub _____ flags _____ _____ _____,A _____ car _____ with flames _____ other paint is driving _____ _____ crowd with a tub and flags _____ the roof.,0.2727
253,A group of farmers are working together to complete a plant related task.,A _____ _____ _____ are working together to complete a _____ _____ _____,_____ group of farmers _____ _____ _____ _____ _____ _____ plant related task.,_____ group of farmers _____ _____ _____ _____ complete _____ plant related task.,0.4615,_____ _____ _____ _____ are _____ _____ to complete a _____ _____ _____,A group of farmers _____ working together _____ _____ _____ plant related task.,A group of farmers _____ working together _____ _____ _____ plant related task.,0.6923,_____ _____ _____ _____ are working together to complete a _____ _____ _____,A group of farmers _____ _____ _____ _____ _____ _____ plant related task.,A group of farmers _____ _____ _____ _____ _____ _____ plant related task.,0.5385,A group of _____ are working together to complete a _____ _____ _____,_____ _____ _____ farmers _____ _____ _____ _____ _____ _____ plant related task.,_____ _____ _____ farmers _____ working together to complete a plant related task.,0.3077
