id,premise_raw,premise_original_necessity,premise_original_sufficiency,premise_original_ghost,coverage_original,premise_lexical_necessity,premise_lexical_sufficiency,premise_lexical_ghost,coverage_lexical,premise_syntactic_necessity,premise_syntactic_sufficiency,premise_syntactic_ghost,coverage_syntactic,premise_pragmatic_necessity,premise_pragmatic_sufficiency,premise_pragmatic_ghost,coverage_pragmatic,premise_original_noise,premise_lexical_noise,premise_syntactic_noise,premise_pragmatic_noise
228,A skateboarder riding up to a slope.,A skateboarder _____ _____ _____ _____ _____,_____ _____ riding up to a slope.,_____ _____ riding up to a slope.,0.7143,A skateboarder _____ _____ _____ _____ _____,_____ _____ riding up to a slope.,_____ _____ riding up to a slope.,0.7143,A skateboarder _____ _____ _____ _____ _____,_____ _____ riding up to a slope.,_____ _____ riding up to a slope.,0.7143,A _____ _____ _____ _____ _____ _____,_____ skateboarder riding up to a slope.,_____ skateboarder riding up to a slope.,0.8571,_____ _____ riding up to a slope.,A skateboarder riding up _____ _____ slope.,A _____ _____ up to a slope.,A skateboarder riding up to _____ slope.
229,Big brown and white spotted dog laying on a jacket on the street.,Big brown and white spotted _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ dog laying on a jacket on the street.,_____ _____ _____ _____ _____ dog laying on a jacket on the street.,0.6154,Big brown and white spotted _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ dog laying on a jacket on the street.,_____ _____ _____ _____ _____ dog laying on a jacket on the street.,0.6154,Big brown and white spotted _____ laying _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ dog _____ on a jacket on the street.,_____ _____ _____ _____ _____ dog _____ on a jacket on the street.,0.5385,Big brown and white spotted _____ laying on a _____ _____ _____ _____,_____ _____ _____ _____ _____ dog _____ _____ _____ jacket on the street.,Big _____ _____ white spotted dog _____ _____ _____ jacket on the street.,0.3846,Big brown _____ white _____ _____ _____ on _____ jacket on the street.,_____ brown and white spotted _____ _____ on _____ jacket on _____ street.,_____ brown _____ _____ spotted _____ laying on a _____ on _____ street.,_____ _____ and _____ _____ dog laying on _____ _____ _____ _____ street.
230,Two men clean the outside of a building under a blue sky.,Two men clean the outside of a building under a _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ blue sky.,_____ _____ clean the outside of a building under a blue sky.,0.1667,Two men clean the outside of a building under a _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ blue sky.,Two men clean _____ outside of _____ building under a blue sky.,0.1667,Two men clean the outside of a building under a _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ blue sky.,Two men clean the outside of a _____ under _____ blue sky.,0.1667,Two men clean the outside of a building under a _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ blue sky.,Two _____ clean the outside of a building under _____ blue sky.,0.1667,Two _____ _____ _____ outside _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ building _____ _____ _____ sky.,_____ _____ _____ the outside _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ outside _____ _____ _____ _____ a _____ _____
231,A man in a hoodie does an ollie on his skateboard with people in the park in the background.,_____ _____ in a hoodie _____ _____ _____ _____ _____ _____ with people _____ _____ _____ in the background.,A man _____ _____ _____ does an ollie on his skateboard _____ _____ in the park _____ _____ _____,A man _____ _____ _____ does an ollie on his skateboard _____ _____ in the park _____ _____ _____,0.5789,_____ _____ in a hoodie _____ _____ _____ _____ _____ _____ with people _____ _____ _____ _____ _____ _____,A man _____ _____ _____ does an ollie on his skateboard _____ _____ in the park in the background.,A man _____ _____ _____ does an ollie on his skateboard _____ _____ in the park in the background.,0.7368,_____ _____ in a hoodie _____ _____ _____ _____ _____ _____ with people _____ _____ _____ in the background.,A man _____ _____ _____ does an ollie on his skateboard _____ _____ in the park _____ _____ _____,A man _____ _____ _____ does an ollie on his skateboard _____ _____ in the park _____ _____ _____,0.5789,_____ _____ in a hoodie _____ _____ _____ on his _____ with people _____ _____ _____ in the background.,A man _____ _____ _____ does an ollie _____ _____ skateboard _____ _____ in the park _____ _____ _____,A man _____ _____ _____ does an ollie on _____ skateboard _____ _____ in the park _____ _____ _____,0.4737,_____ man in a hoodie does an _____ on his skateboard _____ people _____ _____ _____ in _____ _____,_____ man _____ a hoodie does _____ ollie on his skateboard _____ people in _____ park in the background.,_____ man in a hoodie _____ _____ ollie _____ his _____ with people _____ _____ _____ in the background.,_____ man in a hoodie _____ an _____ _____ _____ skateboard _____ _____ in the park _____ _____ _____
232,An arena audience looking down at a football field.,An arena _____ _____ _____ _____ a _____ _____,_____ _____ audience looking down at _____ football field.,_____ _____ audience looking down at _____ football field.,0.6667,An arena audience _____ _____ _____ _____ _____ _____,_____ _____ _____ looking down at a football field.,_____ _____ _____ looking down at a football field.,0.6667,An arena _____ _____ _____ _____ a _____ _____,_____ _____ audience looking down at _____ football field.,_____ _____ audience looking down at _____ football field.,0.6667,An arena _____ _____ _____ _____ a _____ _____,_____ _____ audience looking down at _____ football field.,_____ _____ audience looking down at _____ football field.,0.6667,An _____ _____ looking down at a football _____,_____ _____ audience looking down at a _____ field.,An arena _____ looking down _____ a _____ field.,An arena audience _____ down _____ a _____ field.
234,"A man wearing a blue outfit is pushing a boat, which is wooden and covered, with a pole, and a woman wearing black is the passenger.","A man wearing a blue outfit is _____ _____ _____ which is wooden and covered, _____ _____ _____ and a woman wearing black is the passenger.","_____ _____ _____ _____ _____ _____ _____ pushing a boat, _____ _____ _____ _____ _____ with a pole, _____ _____ _____ _____ _____ _____ _____ _____","_____ man wearing a blue outfit is pushing a boat, _____ is _____ and _____ with a pole, and _____ woman wearing black is the _____",0.2308,A man wearing a blue outfit is _____ _____ _____ which is _____ and _____ _____ _____ _____ and a woman wearing black is the passenger.,"_____ _____ _____ _____ _____ _____ _____ pushing a boat, _____ _____ wooden _____ covered, with a pole, _____ _____ _____ _____ _____ _____ _____ _____","A _____ _____ a blue _____ is pushing a boat, which _____ wooden and covered, with a pole, and _____ woman _____ _____ is _____ passenger.",0.3077,"A man wearing a blue outfit is _____ _____ _____ which is wooden and covered, _____ _____ _____ and a woman wearing black is the passenger.","_____ _____ _____ _____ _____ _____ _____ pushing a boat, _____ _____ _____ _____ _____ with a pole, _____ _____ _____ _____ _____ _____ _____ _____","_____ man wearing a blue outfit is pushing a boat, which is wooden and covered, with a pole, _____ _____ woman wearing _____ _____ the _____",0.2308,"A man wearing a blue outfit is _____ _____ _____ which is wooden and covered, _____ _____ _____ and a woman wearing black is the passenger.","_____ _____ _____ _____ _____ _____ _____ pushing a boat, _____ _____ _____ _____ _____ with a pole, _____ _____ _____ _____ _____ _____ _____ _____","A _____ wearing a blue outfit is pushing a boat, which _____ wooden and _____ with a pole, _____ a woman _____ _____ is the passenger.",0.2308,_____ _____ _____ _____ _____ _____ _____ _____ a _____ _____ _____ wooden and _____ with _____ _____ and _____ woman _____ _____ _____ _____ _____,_____ man _____ _____ blue outfit _____ _____ a _____ _____ _____ wooden _____ _____ with _____ _____ _____ a woman _____ _____ _____ _____ _____,_____ man _____ _____ _____ _____ _____ pushing _____ _____ which _____ wooden _____ _____ _____ _____ _____ _____ _____ _____ _____ black _____ _____ passenger.,A _____ _____ _____ _____ _____ _____ _____ a _____ which is _____ _____ _____ with _____ _____ _____ _____ _____ _____ _____ is _____ _____
235,A man in a black shirt is making bubbles.,_____ _____ in a black shirt is _____ _____,A man _____ _____ _____ _____ _____ making bubbles.,A man _____ _____ _____ shirt _____ making bubbles.,0.4444,_____ _____ in a black shirt _____ _____ _____,A man _____ _____ _____ _____ is making bubbles.,A man _____ _____ _____ _____ is making bubbles.,0.5556,_____ _____ in a black shirt is _____ _____,A man _____ _____ _____ _____ _____ making bubbles.,A man _____ _____ _____ shirt _____ making bubbles.,0.4444,A man in a black shirt is _____ _____,_____ _____ _____ _____ _____ _____ _____ making bubbles.,_____ _____ in a black shirt is making bubbles.,0.2222,_____ _____ in a black _____ _____ _____ bubbles.,_____ man in a _____ _____ _____ making bubbles.,_____ _____ _____ a black shirt _____ _____ bubbles.,_____ man _____ a _____ _____ _____ _____ _____
236,The two people are viewing an artist's piece.,_____ _____ _____ _____ _____ _____ _____ _____,The two people are viewing an artist's piece.,The two people are viewing an artist's piece.,1.0000,_____ _____ _____ _____ _____ _____ _____ _____,The two people are viewing an artist's piece.,The two people are viewing an artist's piece.,1.0000,_____ _____ _____ _____ _____ _____ _____ _____,The two people are viewing an artist's piece.,The two people are viewing an artist's piece.,1.0000,The _____ _____ are _____ _____ _____ _____,_____ two people _____ viewing an artist's piece.,_____ two people _____ viewing an artist's piece.,0.7500,The two people are viewing an artist's piece.,The two people are viewing an artist's piece.,The two people are viewing an artist's piece.,The two people are _____ an _____ piece.
237,"A man wearing sunglasses, white shirt, and a smile plays the drums.","A _____ wearing sunglasses, white shirt, and a smile _____ _____ _____",_____ man _____ _____ _____ _____ _____ _____ _____ plays the drums.,A man _____ _____ white _____ _____ a smile plays the drums.,0.3333,"_____ _____ wearing sunglasses, white shirt, and a smile _____ _____ _____",A man _____ _____ _____ _____ _____ _____ _____ plays the drums.,"A man wearing sunglasses, _____ _____ _____ _____ _____ plays the drums.",0.4167,"_____ _____ wearing sunglasses, white shirt, and a smile _____ _____ _____",A man _____ _____ _____ _____ _____ _____ _____ plays the drums.,A man _____ _____ white _____ _____ a _____ plays the drums.,0.4167,"A _____ wearing sunglasses, white shirt, and a smile _____ _____ _____",_____ man _____ _____ _____ _____ _____ _____ _____ plays the drums.,"_____ man _____ sunglasses, white _____ and _____ smile plays the drums.",0.3333,_____ man wearing _____ white _____ _____ _____ smile _____ _____ _____,A _____ wearing _____ _____ _____ and _____ smile _____ _____ drums.,"A _____ wearing sunglasses, _____ _____ _____ _____ _____ plays the _____","A _____ _____ _____ _____ shirt, _____ a _____ _____ _____ drums."
238,The black dog is standing by the wall next to the orange.,The black _____ _____ _____ by the wall _____ _____ _____ _____,_____ _____ dog is standing _____ _____ _____ next to the orange.,_____ _____ dog is standing _____ _____ _____ next to the orange.,0.5833,The black _____ is _____ by the wall _____ _____ _____ _____,_____ _____ dog _____ standing _____ _____ _____ next to the orange.,_____ _____ dog _____ standing _____ _____ _____ next to the orange.,0.5000,The black _____ _____ _____ by the wall _____ _____ _____ _____,_____ _____ dog is standing _____ _____ _____ next to the orange.,_____ _____ dog is standing _____ _____ _____ next to the orange.,0.5833,The black _____ is _____ by the wall _____ _____ the _____,_____ _____ dog _____ standing _____ _____ _____ next to _____ orange.,_____ _____ dog _____ standing by _____ wall next to _____ orange.,0.4167,_____ _____ _____ is standing by _____ wall _____ to the orange.,The black _____ is _____ by _____ _____ next _____ the _____,_____ black dog _____ _____ by _____ wall _____ to the orange.,The black _____ _____ standing _____ the _____ _____ _____ _____ orange.
242,"A young, Hispanic woman wearing a sundress is walking outside near a large fountain and palm trees.","A young, Hispanic woman _____ _____ _____ is walking outside near a large fountain and palm trees.",_____ _____ _____ _____ wearing a sundress _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,"_____ young, Hispanic woman wearing a sundress is walking outside near a large fountain and _____ _____",0.1765,A _____ _____ _____ _____ _____ _____ is walking outside near a large fountain and palm trees.,"_____ young, Hispanic woman wearing a sundress _____ _____ _____ _____ _____ _____ _____ _____ _____ _____","A young, Hispanic woman wearing a sundress _____ _____ outside _____ _____ _____ fountain and palm _____",0.3529,_____ _____ _____ _____ _____ _____ _____ is walking outside near a large fountain and palm trees.,"A young, Hispanic woman wearing a sundress _____ _____ _____ _____ _____ _____ _____ _____ _____ _____","A young, Hispanic woman wearing a sundress is _____ _____ _____ a large _____ _____ _____ _____",0.4118,A _____ _____ _____ _____ _____ _____ is walking outside near a large fountain and palm trees.,"_____ young, Hispanic woman wearing a sundress _____ _____ _____ _____ _____ _____ _____ _____ _____ _____","_____ young, Hispanic woman wearing a sundress is walking outside _____ _____ _____ _____ _____ palm trees.",0.3529,"_____ young, _____ _____ _____ a _____ _____ _____ _____ _____ _____ _____ fountain _____ _____ _____",_____ _____ _____ woman _____ _____ sundress is _____ _____ near _____ _____ fountain and _____ _____,A _____ _____ _____ _____ _____ _____ _____ walking _____ near _____ large fountain _____ palm trees.,A _____ Hispanic _____ wearing _____ _____ _____ _____ outside near _____ _____ _____ _____ palm _____
243,Two individuals on motorbikes leaning into a turn on a racetrack.,Two _____ on _____ leaning into a turn on a racetrack.,_____ individuals _____ motorbikes _____ _____ _____ _____ _____ _____ _____,Two individuals _____ motorbikes leaning into a turn _____ a racetrack.,0.1818,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,Two individuals on motorbikes leaning into a turn on a racetrack.,Two individuals on motorbikes leaning into a turn on a racetrack.,1.0000,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,Two individuals on motorbikes leaning into a turn on a racetrack.,Two individuals on motorbikes leaning into a turn on a racetrack.,1.0000,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,Two individuals on motorbikes leaning into a turn on a racetrack.,Two individuals on motorbikes leaning into a turn on a racetrack.,1.0000,_____ _____ _____ motorbikes leaning _____ _____ _____ _____ _____ _____,Two individuals on motorbikes leaning into a turn on a racetrack.,Two individuals on motorbikes leaning into a turn on a racetrack.,Two individuals on motorbikes leaning into a turn on a racetrack.
245,A group of men and women are on stage doing a performance in dim lighting.,_____ _____ _____ _____ _____ _____ are _____ _____ _____ _____ _____ _____ _____ _____,A group of men and women _____ on stage doing a performance in dim lighting.,A group of men and women _____ on stage doing a performance in dim lighting.,0.9333,_____ _____ of men and women are _____ _____ _____ _____ _____ _____ _____ _____,A group _____ _____ _____ _____ _____ on stage doing a performance in dim lighting.,A group _____ _____ _____ _____ _____ on stage doing a performance in dim lighting.,0.6667,_____ _____ of men and women are _____ _____ _____ _____ _____ _____ _____ _____,A group _____ _____ _____ _____ _____ on stage doing a performance in dim lighting.,A group _____ _____ _____ _____ _____ on stage doing a performance in dim lighting.,0.6667,_____ _____ _____ _____ _____ _____ are _____ _____ _____ _____ _____ _____ _____ _____,A group of men and women _____ on stage doing a performance in dim lighting.,A group of men and women _____ on stage doing a performance in dim lighting.,0.9333,A group of men and women are on stage doing a performance in dim _____,A group _____ _____ and women are _____ stage doing a performance _____ _____ lighting.,A _____ _____ _____ and women _____ _____ stage doing a performance in dim lighting.,A group of _____ and women are on stage doing a performance in dim lighting.
247,Four men are sitting in red cloth covered chairs viewing something together.,Four men are sitting in red cloth covered chairs _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ viewing something together.,Four men _____ sitting _____ red _____ covered chairs viewing something together.,0.2500,_____ _____ are _____ in red cloth covered chairs _____ _____ together.,Four men _____ sitting _____ _____ _____ _____ _____ viewing something _____,Four men _____ sitting _____ _____ cloth _____ chairs viewing something _____,0.4167,Four _____ are sitting in red cloth covered chairs _____ _____ _____,_____ men _____ _____ _____ _____ _____ _____ _____ viewing something together.,Four men are _____ _____ _____ cloth covered _____ viewing something together.,0.3333,_____ _____ are _____ in red cloth covered chairs _____ _____ _____,Four men _____ sitting _____ _____ _____ _____ _____ viewing something together.,Four men _____ sitting _____ _____ _____ _____ _____ viewing something together.,0.5000,Four _____ _____ _____ _____ _____ cloth _____ _____ viewing _____ _____,Four _____ are _____ _____ red _____ covered _____ _____ something _____,_____ _____ _____ _____ in _____ cloth _____ _____ viewing _____ together.,Four _____ _____ sitting _____ red cloth covered _____ viewing _____ _____
249,"There are several people but three in particular, coming from a shopping center with boxes and plants in their carts.",There are several _____ but _____ _____ _____ coming from a shopping center with _____ _____ _____ _____ _____ _____,"_____ _____ _____ people _____ three in particular, _____ _____ _____ _____ _____ _____ boxes and plants in their carts.","_____ _____ _____ people _____ three in particular, _____ _____ _____ _____ _____ _____ boxes and plants in their carts.",0.5000,"There are several _____ but three in particular, coming from a shopping center with _____ _____ _____ in their _____",_____ _____ _____ people _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ boxes and plants _____ _____ carts.,"There are _____ people but three in particular, coming _____ a _____ _____ _____ boxes and plants in their carts.",0.2500,"There are several _____ but three in particular, coming from a shopping center with _____ _____ _____ _____ _____ _____",_____ _____ _____ people _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ boxes and plants in their carts.,"_____ are _____ people but three in particular, _____ _____ _____ shopping _____ _____ boxes and plants in their carts.",0.3500,"There are several _____ but three in particular, coming from a shopping center with _____ _____ _____ _____ _____ _____",_____ _____ _____ people _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ boxes and plants in their carts.,_____ are several people _____ _____ _____ _____ coming from a _____ _____ with boxes and plants in their carts.,0.3500,"_____ _____ several _____ _____ _____ _____ particular, coming from a shopping _____ with boxes and _____ in _____ _____",_____ _____ _____ people but _____ _____ _____ coming from _____ _____ _____ _____ _____ and _____ _____ _____ _____,"_____ _____ several people _____ three _____ particular, _____ _____ a _____ _____ _____ _____ _____ _____ in their _____",_____ _____ _____ _____ but _____ _____ _____ coming from a shopping _____ with _____ _____ _____ _____ _____ carts.
250,Children are learning about a firetruck.,Children are _____ _____ _____ _____,_____ _____ learning about a firetruck.,_____ _____ learning about a firetruck.,0.6667,Children are _____ _____ _____ _____,_____ _____ learning about a firetruck.,_____ _____ learning about a firetruck.,0.6667,Children are _____ _____ _____ _____,_____ _____ learning about a firetruck.,_____ _____ learning about a firetruck.,0.6667,_____ are _____ about _____ _____,Children _____ learning _____ a firetruck.,Children _____ learning _____ a firetruck.,0.6667,Children _____ _____ about a firetruck.,Children are _____ _____ a firetruck.,Children are learning _____ a _____,_____ are learning about a _____
251,An old man in shorts and white spotted black socks sits outside playing an accordion.,_____ _____ _____ in shorts and white spotted black socks _____ _____ _____ _____ _____,An old man _____ _____ _____ _____ _____ _____ _____ sits outside playing an accordion.,An old man _____ _____ _____ _____ _____ _____ _____ sits outside playing an accordion.,0.5333,_____ _____ _____ in shorts and white spotted black socks sits _____ _____ _____ _____,An old man _____ _____ _____ _____ _____ _____ _____ _____ outside playing an accordion.,An old man _____ _____ _____ _____ _____ _____ socks _____ outside playing an accordion.,0.4667,_____ _____ _____ in shorts and white spotted black socks sits _____ _____ _____ _____,An old man _____ _____ _____ _____ _____ _____ _____ _____ outside playing an accordion.,An old man in _____ _____ _____ _____ _____ _____ _____ outside playing an accordion.,0.4667,An old man in shorts and white spotted black socks _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ sits outside playing an accordion.,_____ _____ man _____ shorts _____ white spotted _____ socks sits outside playing an accordion.,0.3333,An _____ man in _____ and white spotted _____ _____ _____ _____ playing an _____,_____ old man _____ _____ and _____ spotted _____ _____ _____ outside _____ an accordion.,An _____ man _____ _____ and _____ spotted _____ _____ sits outside _____ _____ accordion.,_____ _____ man in shorts _____ _____ _____ _____ socks _____ _____ playing _____ _____
252,A small car decorated with flames and other paint is driving amongst a crowd with a tub and flags on the roof.,A small car _____ _____ _____ _____ _____ _____ is driving amongst a crowd with a tub and flags on the roof.,_____ _____ _____ decorated with flames and other paint _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A _____ car decorated with flames and other paint is _____ amongst _____ crowd _____ a tub and flags on _____ _____,0.2727,A _____ _____ _____ _____ _____ _____ _____ _____ is driving amongst a crowd with _____ _____ _____ _____ _____ _____ _____,_____ small car decorated with flames and other paint _____ _____ _____ _____ _____ _____ a tub and flags on the roof.,_____ small car decorated with flames and other paint _____ _____ _____ _____ _____ _____ a tub and flags on the roof.,0.6818,A small car _____ _____ _____ _____ _____ _____ is driving amongst a crowd with a tub and flags on the roof.,_____ _____ _____ decorated with flames and other paint _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A small car decorated with flames and other paint _____ _____ amongst a _____ _____ _____ tub _____ flags on the roof.,0.2727,A small car _____ _____ _____ _____ _____ _____ is driving amongst a crowd with a tub and flags on the roof.,_____ _____ _____ decorated with flames and other paint _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A _____ _____ decorated with flames and other paint _____ driving amongst a _____ with a tub and flags _____ the _____,0.2727,_____ _____ car _____ with flames _____ _____ _____ _____ _____ _____ _____ crowd _____ a _____ and _____ _____ _____ _____,A small _____ decorated _____ flames and _____ paint _____ driving amongst a crowd _____ a _____ and flags _____ the roof.,_____ _____ _____ _____ with _____ _____ other _____ is _____ amongst _____ _____ _____ _____ _____ _____ _____ _____ the roof.,_____ _____ _____ decorated _____ flames _____ _____ _____ is _____ _____ a _____ _____ _____ tub _____ flags _____ _____ _____
253,A group of farmers are working together to complete a plant related task.,_____ _____ _____ _____ are _____ _____ to complete a _____ _____ _____,A group of farmers _____ working together _____ _____ _____ plant related task.,A group of farmers _____ working together _____ _____ _____ plant related task.,0.6923,A group of _____ _____ _____ _____ to complete a _____ _____ _____,_____ _____ _____ farmers are working together _____ _____ _____ plant related task.,_____ _____ _____ farmers are working together _____ _____ _____ plant related task.,0.5385,A group of _____ are _____ _____ to complete a _____ _____ _____,_____ _____ _____ farmers _____ working together _____ _____ _____ plant related task.,_____ _____ _____ farmers _____ working together to _____ _____ plant related task.,0.4615,A group of _____ are _____ _____ to complete a _____ _____ _____,_____ _____ _____ farmers _____ working together _____ _____ _____ plant related task.,_____ _____ _____ farmers are working together _____ _____ _____ plant related task.,0.4615,A group _____ farmers are working _____ to complete _____ plant _____ task.,A _____ of farmers _____ working together to _____ _____ _____ _____ task.,A _____ of farmers _____ _____ _____ _____ _____ _____ plant related task.,A group _____ _____ are working together _____ _____ _____ plant _____ _____
255,Two people are walking in opposite directions in front of the same store that says there is a 50% sale.,_____ _____ are _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ that says there is _____ _____ _____,Two people _____ walking in opposite directions in front of the same store _____ _____ _____ _____ a 50% sale.,Two people _____ walking in opposite directions in front of the same store _____ _____ _____ _____ a 50% sale.,0.7500,_____ _____ are _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ that says there is _____ _____ _____,Two people _____ walking in opposite directions in front of the same store _____ _____ _____ _____ a 50% sale.,Two people _____ walking in opposite directions in front of the same store _____ _____ _____ _____ a 50% sale.,0.7500,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ that _____ _____ _____ _____ _____ _____,Two people are walking in opposite directions in front of the same store _____ says there is a 50% sale.,Two people are walking in opposite directions in front of the same store _____ says there is a 50% sale.,0.9500,_____ _____ are _____ _____ _____ _____ in front of the same _____ that says there is a _____ _____,Two people _____ walking in opposite directions _____ _____ _____ _____ _____ store _____ _____ _____ _____ _____ 50% sale.,Two people _____ walking in opposite directions _____ _____ _____ _____ _____ store that _____ _____ is _____ 50% sale.,0.4500,Two people _____ walking in opposite directions in _____ _____ _____ same store that _____ there is a 50% sale.,Two people are _____ in _____ directions in front of the _____ _____ that says _____ is a 50% sale.,Two people are walking in opposite directions in front of _____ same store that says there is a 50% sale.,Two people _____ _____ _____ _____ directions in _____ _____ the _____ store _____ _____ there _____ a 50% _____
256,A man is sliding along a green barrier on his snowboard.,A man is _____ along a green barrier on his _____,_____ _____ _____ sliding _____ _____ _____ _____ _____ _____ snowboard.,_____ man is sliding along a _____ barrier on his snowboard.,0.1818,A man is _____ along a green barrier on his _____,_____ _____ _____ sliding _____ _____ _____ _____ _____ _____ snowboard.,A man is sliding along a _____ barrier on _____ snowboard.,0.1818,A _____ is _____ _____ _____ _____ _____ _____ _____ _____,_____ man _____ sliding along a green barrier on his snowboard.,_____ man _____ sliding along a green barrier on his snowboard.,0.8182,A _____ is _____ along a green barrier on his _____,_____ man _____ sliding _____ _____ _____ _____ _____ _____ snowboard.,A man is sliding along a _____ barrier _____ _____ snowboard.,0.2727,_____ _____ _____ _____ _____ _____ _____ barrier _____ his _____,_____ man is _____ _____ _____ _____ _____ _____ _____ _____,_____ man is sliding along a green _____ on his snowboard.,A man _____ _____ _____ _____ _____ barrier _____ _____ _____
258,Hispanic woman wearing a red plaid shirt works on sewing an article of clothing.,Hispanic woman _____ _____ _____ _____ _____ works on _____ _____ _____ _____ _____,_____ _____ wearing a red plaid shirt _____ _____ sewing an article of clothing.,_____ _____ wearing a red plaid shirt _____ _____ sewing an article of clothing.,0.7143,Hispanic woman _____ _____ _____ _____ _____ works on _____ _____ _____ _____ _____,_____ _____ wearing a red plaid shirt _____ _____ sewing an article of clothing.,_____ _____ wearing a red plaid shirt _____ _____ sewing an article of clothing.,0.7143,Hispanic woman _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ wearing a red plaid shirt works on sewing an article of clothing.,_____ _____ wearing a red plaid shirt works on sewing an article of clothing.,0.8571,Hispanic woman _____ _____ _____ _____ _____ works on _____ _____ _____ _____ _____,_____ _____ wearing a red plaid shirt _____ _____ sewing an article of clothing.,_____ _____ wearing a red plaid shirt _____ _____ sewing an article of clothing.,0.7143,Hispanic _____ wearing _____ red plaid shirt works on sewing _____ article _____ clothing.,Hispanic _____ wearing a red plaid _____ _____ on sewing _____ article of clothing.,_____ woman wearing a red plaid shirt works on sewing an article of _____,Hispanic woman wearing _____ _____ plaid shirt works _____ sewing an article _____ clothing.
259,Three elderly women walking from behind.,Three elderly women _____ from behind.,_____ _____ _____ walking _____ _____,Three _____ women walking from behind.,0.1667,Three elderly women _____ from behind.,_____ _____ _____ walking _____ _____,Three elderly women walking from _____,0.1667,Three elderly women _____ _____ _____,_____ _____ _____ walking from behind.,_____ _____ _____ walking from behind.,0.5000,Three elderly women _____ _____ _____,_____ _____ _____ walking from behind.,_____ _____ _____ walking from behind.,0.5000,_____ elderly _____ _____ _____ _____,Three _____ _____ _____ _____ _____,_____ _____ _____ walking from behind.,_____ elderly _____ walking from _____
260,The boy is playing with a colorful ribbon.,The _____ is playing with a _____ _____,_____ boy _____ _____ _____ _____ colorful ribbon.,_____ boy is playing _____ _____ colorful ribbon.,0.3750,The _____ is playing with a _____ _____,_____ boy _____ _____ _____ _____ colorful ribbon.,_____ boy _____ _____ with a colorful ribbon.,0.3750,The _____ _____ _____ _____ _____ _____ _____,_____ boy is playing with a colorful ribbon.,_____ boy is playing with a colorful ribbon.,0.8750,The _____ is _____ _____ _____ _____ _____,_____ boy _____ playing with a colorful ribbon.,_____ boy _____ playing with a colorful ribbon.,0.7500,_____ _____ is _____ _____ _____ colorful ribbon.,The _____ _____ _____ _____ a colorful _____,The boy is playing with a colorful _____,The boy is _____ with a colorful _____
261,Two women standing in front of a fence looking at mountains.,Two women standing in front of a fence _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ looking at mountains.,Two women standing in _____ _____ a _____ looking at mountains.,0.2727,_____ _____ standing in front of a fence _____ _____ _____,Two women _____ _____ _____ _____ _____ _____ looking at mountains.,Two women _____ _____ _____ _____ _____ fence looking at mountains.,0.4545,_____ _____ standing in front of a fence _____ _____ _____,Two women _____ _____ _____ _____ _____ _____ looking at mountains.,Two women _____ in _____ _____ _____ _____ looking at mountains.,0.4545,Two _____ standing in front of a fence _____ _____ _____,_____ women _____ _____ _____ _____ _____ _____ looking at mountains.,Two women _____ _____ front of _____ _____ looking at mountains.,0.3636,_____ _____ _____ in _____ _____ _____ _____ looking _____ mountains.,_____ women _____ in _____ of _____ _____ looking _____ mountains.,_____ _____ _____ in _____ of _____ fence looking _____ mountains.,Two _____ standing _____ _____ _____ a _____ _____ _____ mountains.
