id,Premise,Hypothesis,perturbation_1_lexical,perturbation_2_syntactic,perturbation_3_pragmatic,gold_label,Explanation
156,Five guys burying themselves in the sand with a dog behind them.,Five guys burying themselves in the sand with a black and white dog behind them.,Five men burying themselves in the sand with a black and white dog behind them.,"There are five guys burying themselves in the sand, and a black and white dog is behind them.",It seems that five guys are burying themselves in the sand with a black and white dog behind them.,neutral,There is no indication that the dog is black and white.
157,Man on skis attempting to jump over a snow pile,A man is skiing.,A male is skiing.,Skiing is being done by a man.,It appears a man is skiing.,entailment,Mans skiing to jump over a snow pile.
158,An asian man throwing a dart with a group of other men.,A group of students sit at their desks in a classroom.,An assembly of pupils are seated at their workstations in a schoolroom.,Seated at their desks in a classroom is a group of students.,It appears that a group of students are sitting at their desks in a classroom.,contradiction,The group cannot be throwing darts in a classroom.
159,A balding man sits on the sidewalk leaned against a bunch of woven blankets.,The man sat on the sidewalk.,The man was seated on the sidewalk.,"On the sidewalk, the man sat.",It seems that the man sat on the sidewalk.,entailment,A man could be balding.
160,A vietnamese man driving a tractor through a dirt ravine while a woman rides on the back.,the man is driving a tractor.,The man is operating a tractor.,A tractor is being driven by the man.,It appears that the man is driving a tractor.,entailment,A Vietnamese man is a man.
161,Drummers march down the street past onlookers.,Drummers are outside.,Drummers are outdoors.,It is outside where the drummers are.,It seems the drummers are outside.,entailment,If people march down the street then they are outside.
162,An old lady in a big black coat holds the hand of a young boy in a blue jacket in the subway.,A old lady looks through her cabinets for her favorite mug.,An elderly woman rummages through her cupboards for her favored cup.,"To find her favorite mug, a old lady is looking through her cabinets.",A old lady seems to be looking through her cabinets for her favorite mug.,contradiction,An old lady cannot look through her cabinets while being on the subway simultaneously.
163,A man wearing a blue shirt and matching helmet is jumping his bike over a hill.,A man in a green shirt rides his motorcycle.,A male dressed in a green top operates his motor-powered bike.,His motorcycle is being ridden by a man dressed in a green shirt.,It seems that a man wearing a green shirt is riding his motorcycle.,contradiction,He can't have two shirts on that is a blue shirt and a green shirt and  happen to match the helmet unless it's talking about a different man.
164,Truck driver driving a eighteen wheeler truck.,The driver is a man,The driver is a male.,The driver's gender is male.,The driver seems to be a man.,neutral,"The driver need not necessarily be a man, it may be a female driver too."
165,The child has his mouth open and is surrounded by adults dancing.,The child is in awe of the grown ups dancing.,The child is amazed by the adults dancing.,The dancing grown-ups fill the child with awe.,The child seems to be in awe of the grown ups dancing.,entailment,the boy has his mouth open because he wants to dance like the adults.
166,An old Asian man is playing a Asian Tradition Guitar.,The youth is a very good musician.,The young person is a highly accomplished musician.,The youth possesses very good musical ability.,The youth appears to be a very good musician.,contradiction,Old means older and youth means younger.
167,We see a shot of a Korean historical drama with a man in bright red and yellow costume is in the foreground.,The man is naked.,The man is unclothed.,The man is without clothes.,The man appears to be naked.,contradiction,One cannot be naked and costumed at the same time
168,People are checking out at target.,Women run outside.,Females run outdoors.,"Outside, women are running.",It appears that women run outside.,contradiction,One cannot run and check out simultaneously.
169,A motorcyclist speeds down the road.,The motorcyclist is kicking up dirt on the dirt road.,The motorcyclist is stirring up soil on the unpaved road.,"On the dirt road, the motorcyclist is kicking up dirt.",It appears that the motorcyclist is kicking up dirt on the dirt road.,neutral,Speeding down the road doesn't imply the road is a dirt road.
170,A man with a beard& glasses is sleeping on public transportation while wearing a funny cap.,A man is sleeping in public.,A man is slumbering in public.,"In public, a man is sleeping.",A man appears to be sleeping in public.,entailment,Both sentences have a man sleeping in public but the first sentence is more specific.
171,A baseball player swings at an oncoming ball while the catcher gets ready and the umpire looks on.,A baseball player is playing baseball.,A baseball player is engaging in baseball.,Baseball is being played by a baseball player.,It appears a baseball player is playing baseball.,entailment,A baseball player and a catcher are positions needed in playing baseball.
172,A person in jeans and a blue sweatshirt aims a camera while standing near a crowd of people.,a boy plays with a toy camera,A male child plays with an imitation camera.,A toy camera is being played with by a boy.,It seems a boy plays with a toy camera.,contradiction,"The person isn't necessarily a boy and if he is aiming the camera near a crowd, it is unlikely that it is a toy camera."
173,"Eleven people gather in lake, group on left are male and conversing, group on right, male and female, walking further out into lake.",People are by the water.,Individuals are near the water.,There are people next to the water.,It seems that people are by the water.,entailment,The people are walking further into the lake so they must be by the water.
174,A group of men finish a fund raising run for Haiti in 28:24.,A group of men finish a marathon.,A collection of males complete a marathon.,A marathon is finished by a group of men.,A group of men appears to finish a marathon.,entailment,The fund raising run is a marathon.
175,Three guys sitting on a sandy beach near the water and one is talking to the two little girls.,The guys sat on the beach near the water.,The men were seated on the shoreline close to the water.,"On the beach near the water, the guys were sitting.",It appears that the guys sat on the beach near the water.,entailment,Three guys sitting is rephrased as 'the guys sat'
176,A man is panting a piece of wood.,A man is painting a nature scene on a piece of wood.,A man is painting a landscape on a piece of wood.,A nature scene is being painted on a piece of wood by a man.,A man appears to be painting a nature scene on a piece of wood.,neutral,"A man can paint anything on a piece of wood, it does not have to be a nature scene."
177,Two young barefooted girls are climbing an old lava flow with their father and mother following close behind.,A family is climbing in the outdoors.,A household is ascending in the outdoors.,Climbing is being undertaken by a family in the outdoors.,It appears a family is climbing in the outdoors.,entailment,OLD LAVA FLOW S ARE OUTDOORS.
178,Several people are gathered on the steps in front of a brick building.,People on steps in front of a park.,Individuals on stairs in front of a park.,On steps in front of a park are people.,It seems people are on steps in front of a park.,contradiction,brick building is not a park.
179,Two girls are carrying a shoe each in their hands while walking down the road wearing a sports costume.,The boy is at school working on homework alone,The young male is at an educational facility doing academic tasks by himself.,It is at school that the boy is working on homework alone.,"Apparently, the boy is at school working on homework alone.",contradiction,"a girl is referred to in the 1st sentence, not a boy"
180,A warmly dressed man stands with a carving station on the street in front of his rotisserie machine.,A man dressed for the winter is by a rotisserie machine,A person clothed for the cold season is next to a rotisserie appliance.,Next to a rotisserie machine stands a man dressed for the winter.,It seems a man dressed for the winter is by a rotisserie machine.,entailment,"If the man stands in front of his rotisserie machine, he is by a rotisserie machine."
181,A man is sitting outside a cafe on a stepladder,A man is climbing up a telephone pole.,A fellow is ascending a telephone post.,A telephone pole is being climbed by a man.,A man appears to be climbing up a telephone pole.,contradiction,Climbing and sitting are different.
182,Person dressed in black with a blue hat next to several cats outside.,A person standing next to some dogs outside.,An individual standing beside a few dogs outdoors.,"Next to some dogs, a person is standing outside.",It appears that a person is standing next to some dogs outside.,contradiction,The person is standing next to cats in one sentence and dogs in the other sentence.
183,A fireman begins to cross the street towards the fire.,There is a fire.,A blaze is present.,A fire exists.,It seems there is a fire.,entailment,A fireman responds to a fire as his duty.
184,A lot of people gathered in a park.,A large group of people are present.,A substantial number of people are present.,There is a large group of people present.,It appears that a large group of people are present.,entailment,A lot of people is a large group. Gathering at a location makes them present.
185,A young woman in a bikini holding a bottle is goofing around and kicking a man in a straw hat.,A woman playfull kicks a man.,A woman jokingly kicks a man.,A man is playfully kicked by a woman.,A woman appears to playfully kick a man.,entailment,A woman is kicking a man.
186,A couple in black coats is looking at the camera with pleasant expressions on their faces.,There is a couple in black coats looking at the camera so they can have their 15 minutes of fame.,A pair in dark jackets is gazing at the camera with the aim of achieving fleeting celebrity.,"To achieve their 15 minutes of fame, a couple in black coats is looking at the camera.",A couple in black coats seems to be looking at the camera so they can have their 15 minutes of fame.,neutral,A couple in black coats is looking at the camera with pleasant expressions on their faces does not mean couple in black coats looking at the camera so they can have their 15 minutes of fame
187,A smiling middle-aged man wearing over-sized red sunglasses and a colorful patterned shirt sits in the grass in front of a blue-green backdrop.,A human smiling,A person smiling,Someone is smiling,A human appears to be smiling,entailment,a man is a human.
188,Some people are swimming in water; one has goggles on.,The water is cold.,The water is chilly.,The water's temperature is cold.,The water seems cold.,neutral,Not all water that is swam in is cold.
189,"A gentleman is hanging from a window, cleaning the outside of the window, while a gentleman on the inside watches.",A human hanging,A person suspended,There is a human who is hanging.,It seems a human is hanging.,entailment,A Human refers gentleman is hanging from a window
190,A man in a colorful t-shirt is standing at an outside food stall.,A man stands by a food stall.,A man is positioned near a food stall.,"By a food stall, a man is standing.",It appears that a man stands by a food stall.,entailment,A man standing at an outside food stall implies the man stands by a food stall as part of the original description of the man in a colorful t-shirt.
191,Two women are sitting at a makeshift table.,Two men on a bed.,A pair of men on a bed.,There are two men on a bed.,It seems two men are on a bed.,contradiction,Two women at a table are not at all the same as two men on a bed.
192,A girl dancing with four boys watching.,A girl is dancing with one of the four,A girl is engaging in a dance with one of the four.,One of the four is dancing with a girl.,A girl seems to be dancing with one of the four.,contradiction,There can be either a girl dancing with four boys watching or a girl is dancing with one of the four boys.
193,A man and two small children laying on a tiled floor.,a guy and two kids play inside,A man and two children play indoors.,"Inside, a guy and two kids are playing.",A guy and two kids seem to be playing inside.,entailment,A man is also a guy.  Children are also called kids.  A tile floor would be located inside.
194,a number of people standing on the sidewalk along side the front doors of a transit bus,people are waiting for a bus.,Individuals are awaiting a bus.,There are people waiting for a bus.,People appear to be waiting for a bus.,neutral,"They may not be waiting for the bus, they may be exiting the bus"
195,A small child bangs a metal pan with a red and tan wooden hammer.,The child is wearing a blue shirt and brown pants.,The kid is donning a blue top and brown trousers.,A blue shirt and brown pants are being worn by the child.,It appears that the child is wearing a blue shirt and brown pants.,neutral,A small child banging a metal pan is not necessarily  wearing a blue shirt and brown pants.
196,Snow is being kicked up by the board.,There is snow on the ground.,Snow is present on the ground.,"On the ground, there is snow.",It appears that there is snow on the ground.,entailment,Snow cannot be kicked up unless it is on the ground.
197,A baseball pitcher in a circle with a symbol to his right.,He is good at sports.,He is adept at sports.,He possesses athletic ability.,He seems to be good at sports.,neutral,A person playing doesn't mean they are good at sports.
198,Two people in lawn chairs reading books.,A man and a woman are in lawn chairs reading books,A male and a female are in lawn chairs reading books.,"In lawn chairs, a man and a woman are reading books.",A man and a woman appear to be in lawn chairs reading books.,neutral,The two people don't necessarily need to be one of each gender. It could be two men or two woman instead.
199,"Two male clowns, one in a plaid suit and the other in black, performing a musical number in a theater setting.",The clowns are in the dressing room.,The jesters are in the changing room.,The dressing room is where the clowns are.,The clowns appear to be in the dressing room.,contradiction,The clowns cannot be in the theater setting and dressing room at the same time.
200,Father and daughter sitting down on bench and talking peacefully at a beautiful park.,People sitting and talking.,Individuals seated and conversing.,There are people sitting and talking.,It appears that people are sitting and talking.,entailment,the people are father and daughter
201,Two horses are neck to neck at a race.,Two cows are neck to neck at a race.,A pair of cattle are neck and neck in a contest.,"At a race, two cows are neck to neck.",It seems that two cows are neck to neck at a race.,contradiction,Horses and cows are different species of animals.
202,People are standing watching something and taking pictures.,People are observing something.,Folks are watching something.,Something is being observed by people.,People appear to be observing something.,entailment,Watching something is observing something.
203,"The man, who is wearing the handkerchief, is performing a task with the tub while the woman watches.",A man performs open heart surgery,A man carries out open heart surgery.,Open heart surgery is performed by a man.,A man appears to perform open heart surgery.,contradiction,Performing open heart surgery is not normally done with a tub.
204,A man in a red shirt sits atop a mountain.,The man is a mountain climber.,The man is a mountaineer.,The man is someone who climbs mountains.,The man appears to be a mountain climber.,neutral,Sitting atop a mountain does not indicate that the person is necessarily a mountain climber.
205,A policeman stands at the corner of an office building while keeping watch on a red fire hydrant.,The person is waiting to catch a bank robber.,The individual is expecting to apprehend a bank robber.,What the person is waiting for is to catch a bank robber.,The person seems to be waiting to catch a bank robber.,neutral,keeping watch does not imply he is waiting for a bank robber.
206,People are on stage playing music to a group of people.,A group on stage is playing rock music to people who are gathered.,A band on a platform is performing rock tunes for an assembled crowd.,Rock music is being played by a group on stage for people who are gathered.,It appears a group on stage is playing rock music to people who are gathered.,neutral,The genre of the music being rock cannot be assumed.
207,A man in a hat riding a bucking horse.,A man is performing in a rodeo.,A man is participating in a rodeo.,A performance is being given by a man in a rodeo.,A man appears to be performing in a rodeo.,neutral,"Not all men in hats riding bucking horses are performing, and not all are performing in rodeos specifically"
208,A portly man in an orange jumpsuit standing next to a woman in gray on the highway with a motorcycle laying on its side in the middle of the highway.,A man and woman gaze at their motorcycle after crashing it on the highway.,A man and woman observe their motorcycle following its collision on the highway.,"After crashing their motorcycle on the highway, a man and woman gaze at it.",It appears that a man and woman gaze at their motorcycle after crashing it on the highway.,neutral,"The motorcycle does not have to be their motorcycle for them to be near it, and it also does not have to be on its side because of crashing it on the highway."
209,A girl in a red and black striped shirt sits on a brick wall in front of a tropical plant.,A girl sitting on a wall.,A girl resting on a wall.,A girl is seated on a wall.,A girl appears to be sitting on a wall.,entailment,"If someone sits, they will be sitting."
210,A woman wearing glasses holds a young child.,The woman is smiling and looking down at the child.,The woman is beaming and gazing down at the child.,"With a smile, the woman is looking down at the child.",The woman appears to be smiling and looking down at the child.,neutral,"We have no idea she is smiling and looking down, she could be looking anywhere and she might not be smiling at all."
211,"An older individual crosses the street on what seems to be an overcast day, traffic approaches in the background.",Old person crosses street,An aged individual traverses the thoroughfare.,The street is being crossed by an old person.,It appears that an old person is crossing the street.,entailment,individual almost the same as  person
212,A man playing a guitar on stage while a man plays drums in the background.,"A man playing a guitar on stage, singing in an alien language.","A man performing a guitar on stage, vocalizing in an unfamiliar language.","On stage, a man is playing a guitar and also singing in an alien language.",A man playing a guitar on stage appears to be singing in an alien language.,contradiction,The man is either playing drums or singing.
213,The two dogs are running toward the camera.,There are two dogs.,Two dogs exist.,Two dogs can be found.,It seems that there are two dogs.,entailment,The two dogs are running shows that There are two dogs
214,The red skirt of a female dancer swirls while her feet and her male partner's feet dance on concrete.,Two people are dancing.,A pair of individuals are dancing.,There are two people dancing.,It seems that two people are dancing.,entailment,female dancer is dancing with her male partner
215,A young boy in a black cap and shirt looks down while next to a person in a polka dotted shirt.,A boy is looking down at a quarter on the floor.,A young male is gazing downward at a coin on the ground.,It is a quarter on the floor that a boy is looking down at.,A boy appears to be looking down at a quarter on the floor.,neutral,There are more things than a quarter than can be on the floor.
216,A man stretching his arms up at a table with two ladies talking to each other.,A man is dead in Nebraska.,A man is deceased in Nebraska.,"In Nebraska, a man is dead.",It appears a man is dead in Nebraska.,contradiction,a man would either be stretching up or dead
217,A woman with a red hat is fishing at a lake.,The woman is watching the fashion show on television.,The woman is viewing the fashion spectacle on television.,The fashion show is being watched by the woman on television.,The woman seems to be watching the fashion show on television.,contradiction,If the woman is fishing she isn't watching a show.
218,Two spectators are adorn with Mickey Mouse ears while looking back at an angle from a stadium.,Some people are sleeping,A few individuals are slumbering.,There are some people who are sleeping.,It seems that some people are sleeping.,contradiction,If people are looking back their eyes are open.  If they are sleeping their eyes are closed.  A person can not have his eyes open and closed at the same time.
219,An outdoor party with alcoholic beverages; some seem to be in costume.,People are wearing suits in church.,Individuals are donning formal attire inside a church.,"In church, suits are being worn by people.",It seems that people are wearing suits in church.,contradiction,The people are either wearing suits or are in costume.
220,"A man dressed in a sport coat, slacks and nice shoes, posing in a very busily-decorated room, while wearing a dark green mask that has large yellow monster teeth, a single orange eye, and completely covers his head.",There is a man posing at a costume party.,A male individual is striking a pose at a fancy dress event.,Posing at a costume party is a man.,There appears to be a man posing at a costume party.,neutral,a mask does not imply a costume party
221,Seven bystanders watching two women in pink outfits and a third person in a blue shirt ride a unique Ferris wheel apparatus in the middle of a forested area while smoke billows in the distance.,One of the seven bystanders is a girl.,One of the seven onlookers is a girl.,A girl is among the seven bystanders.,It is possible that one of the seven bystanders is a girl.,neutral,The fact that there are seven bystanders does not imply that one is a girl.
222,A old man on a bicycle riding through the park.,An old man is riding the bus next to the park.,An elderly gentleman is traveling on the bus beside the park.,"Next to the park, an old man is riding the bus.",An old man appears to be riding the bus next to the park.,contradiction,A bicycle is different from a bus.
223,A young boy playing goalie stops the soccer ball with his hands.,The young goalie saved the ball with his hands.,The young goalkeeper stopped the ball with his hands.,The ball was saved by the young goalie with his hands.,It seems that the young goalie saved the ball with his hands.,entailment,"""Stops the soccer ball"" is a rephrasing of ""saved the ball""."
224,A young woman plays professional tennis.,A young woman is playing beach volleyball.,A young female is playing beach volleyball.,Beach volleyball is being played by a young woman.,A young woman appears to be playing beach volleyball.,contradiction,You can't play tennis and volleyball at the same time.
225,Someone in a lime green shirt is holding on to a tree.,A lady poses for a picture hugging a tree.,"A woman is modeling for a photograph, embracing a tree.","Hugging a tree, a lady poses for a picture.","A lady seems to be posing for a picture, hugging a tree.",neutral,Someone does not have to be a lady.  Just because someone is holding a tree it does not mean they pose for a picture.
226,Several cooks char broil food under tents for customers.,chefs are cooking food for customers.,Cooks are preparing meals for customers.,Food is being cooked by chefs for customers.,It seems that chefs are cooking food for customers.,entailment,char broil food implies that they are cooking.
227,A young boy doing a wheelie on his bike.,A boy pops a wheelie.,A boy executes a wheelie.,A wheelie is performed by a boy.,A boy appears to pop a wheelie.,entailment,doing a wheelie is equivalent to  pops a wheelie
228,A skateboarder riding up to a slope.,The skateboarder is about to execute a stunt.,The skateboarder is preparing to perform a trick.,A stunt is about to be performed by the skateboarder.,The skateboarder appears to be about to execute a stunt.,neutral,A skateboarder riding up to a slope does not imply that he is about to execute a stunt.
229,Big brown and white spotted dog laying on a jacket on the street.,A dog is resting on the carpeted floor.,A canine is reposing on the rug-covered floor.,"On the carpeted floor, a dog is resting.",It appears a dog is resting on the carpeted floor.,contradiction,The dog is either on the street or on the floor.
230,Two men clean the outside of a building under a blue sky.,Men are cleaning the building under a partially cloudy sky.,Males are washing the edifice under a somewhat cloudy sky.,The building is being cleaned by men under a partially cloudy sky.,It seems that men are cleaning the building under a partially cloudy sky.,neutral,A blue sky does not imply a partially cloudy sky.
231,A man in a hoodie does an ollie on his skateboard with people in the park in the background.,A man is skateboarding near the park.,A man is riding a skateboard close to the park.,"Near the park, a man is skateboarding.",A man appears to be skateboarding near the park.,entailment,A man with the park in the backround must mean that he is near a park.
232,An arena audience looking down at a football field.,The audience is looking at the field.,The audience is viewing the field.,It is the field that the audience is looking at.,The audience appears to be looking at the field.,entailment,The area audience is watching the football field.
233,The boy is looking up at the girl as another girl ignores them.,The boy is looking at two two girls in a tree.,The boy is observing two girls in a tree.,The boy's gaze is directed at two girls in a tree.,The boy seems to be looking at two girls in a tree.,neutral,Just because he is looking up does not mean the girls are in a tree.
234,"A man wearing a blue outfit is pushing a boat, which is wooden and covered, with a pole, and a woman wearing black is the passenger.",The boat is driving through the air.,The vessel is traveling through the sky.,"Through the air, the boat is driving.",The boat appears to be driving through the air.,contradiction,Man is different than boat.
235,A man in a black shirt is making bubbles.,A man is blowing bubbles at a party.,A man is creating bubbles at a celebration.,"At a party, a man is blowing bubbles.",A man appears to be blowing bubbles at a party.,neutral,Sentence 1: A man in a black shirt is making bubbles. Sentence 2: A man is blowing bubbles at a party.
236,The two people are viewing an artist's piece.,the boy liked cowboys,The boy enjoyed cowboys.,Cowboys were liked by the boy.,It seems that the boy liked cowboys.,neutral,People are not always a boy.  An artist's piece is not always cowboys.
237,"A man wearing sunglasses, white shirt, and a smile plays the drums.",A man is performing in a band.,A man is playing music in a musical group.,A performance by a man is occurring within a band.,A man appears to be performing in a band.,neutral,Not every man playing the drums plays in a band.
238,The black dog is standing by the wall next to the orange.,The dog is looking at the orange.,The canine is gazing at the orange.,The orange is what the dog is looking at.,The dog appears to be looking at the orange.,neutral,Just because he is standing by a orange does not mean he is looking at it.
239,A group of people are hiking in the forest.,People are riding bikes in the forest.,Individuals are cycling in the woods.,Bikes are being ridden by people in the forest.,It appears that people are riding bikes in the forest.,contradiction,People can't be hiking and riding bikes at the same time.
240,BMXer in the air with motion blur on the forest background.,A guy does not have a bike.,A man does not possess a bicycle.,A bike is not had by a guy.,It appears that a guy does not have a bike.,contradiction,A bmxer has to have a bike.
241,A red ambulance drives down the street as two people look on.,the ambulance is carrying a passenger,The ambulance is transporting a passenger.,A passenger is being carried by the ambulance.,The ambulance might be carrying a passenger.,neutral,ambulance driving down the street does not imply it is carrying a passanger
242,"A young, Hispanic woman wearing a sundress is walking outside near a large fountain and palm trees.",A young woman is wearing a white sundress.,A youthful female is dressed in a white sundress.,A white sundress is being worn by a young woman.,A young woman appears to be wearing a white sundress.,neutral,Not all sundresses are white.
243,Two individuals on motorbikes leaning into a turn on a racetrack.,The people are aliens.,The individuals are extraterrestrials.,The people are alien beings.,It seems that the people are aliens.,contradiction,People riding motor bikes are not the same as aliens.
244,A man sitting on a bench in front of a bust shopping area.,A man standing on a bench in front of a hospital.,A man standing on a bench in front of a medical center.,"In front of a hospital, a man is standing on a bench.",A man appears to be standing on a bench in front of a hospital.,contradiction,You cannot be sitting and standing simultaneously.
245,A group of men and women are on stage doing a performance in dim lighting.,A group of people are performing on a dimly lit stage.,A group of individuals is presenting on a dimly illuminated stage.,A performance by a group of people is taking place on a dimly lit stage.,It appears that a group of people are performing on a dimly lit stage.,entailment,A group of people were men and women who perform on a dimly lit stage.
246,A healthcare worker giving a young baby a bath.,A working is bathing a newborn baby.,A worker is washing an infant.,A newborn baby is being bathed by a worker.,A worker appears to be bathing a newborn baby.,neutral,we can't infer that the baby was newborn from sentence 1
247,Four men are sitting in red cloth covered chairs viewing something together.,Men are sitting looking at pictures.,Males are seated observing images.,"While sitting, men are looking at pictures.",Men appear to be sitting looking at pictures.,neutral,Men can view things other than pictures.
248,a red car has rolled over on a dirt track.,There is a red car that has rolled over on a dirt track.,There is a red car that has overturned on a dirt track.,A red car has rolled over on a dirt track.,There seems to be a red car that has rolled over on a dirt track.,entailment,It states that there is a red car that has rolled over.
249,"There are several people but three in particular, coming from a shopping center with boxes and plants in their carts.",There are people with items in their carts.,There are individuals with objects in their trolleys.,Some people have items in their carts.,There appear to be people with items in their carts.,entailment,People coming out of shopping center have items in their carts
250,Children are learning about a firetruck.,The children are taking a test.,The kids are undergoing an examination.,An examination is being taken by the children.,It seems the children are taking a test.,contradiction,The children are either learning about a firetruck or taking a test.
251,An old man in shorts and white spotted black socks sits outside playing an accordion.,The old man is playing an instrument outdoors.,The senior man is playing a musical device outside.,An instrument is being played outdoors by the old man.,It appears the old man is playing an instrument outdoors.,entailment,The instrument is an accordion.  The sentence goes from broad to more defined from sentence 1 to 2.
252,A small car decorated with flames and other paint is driving amongst a crowd with a tub and flags on the roof.,"There is a small, solid black car driving amongst a crowd.","A compact, entirely black vehicle is maneuvering through a group of onlookers.","Driving amidst a crowd is a small, solid black car.","It seems that a small, solid black car is driving amongst a crowd.",contradiction,The car cannot be both decorated with flames and solid black simultaneously.
253,A group of farmers are working together to complete a plant related task.,There are are a lot of farmers planting seeds.,A large number of farmers are planting seeds.,Numerous farmers are engaged in planting seeds.,It seems there are a lot of farmers planting seeds.,neutral,A plant related task is not always planting seeds.
254,"A kid with Green shoes, red shorts, and a blue hat and shirt stands on a stretch of pavement.",a kid stands on pavement,A child stands on a sidewalk.,A kid is standing on pavement.,It seems a kid stands on pavement.,entailment,"""stands on pavement"" is a rephrasing of ""stands on a stretch of pavement""."
255,Two people are walking in opposite directions in front of the same store that says there is a 50% sale.,A man helps a cow give birth.,A man assists a cow calve.,A cow is helped to give birth by a man.,A man seems to help a cow give birth.,contradiction,Two people or it is a man
256,A man is sliding along a green barrier on his snowboard.,A man is snowboarding.,A man is participating in snowboarding.,Snowboarding is being done by a man.,A man seems to be snowboarding.,entailment,Snowboarding is the same as sliding.
257,A group of people participate in a marathon.,The people are watching a concert.,The individuals are observing a musical performance.,A concert is being watched by the people.,It seems the people are watching a concert.,contradiction,you can't watch a concert while you also run a marathon
258,Hispanic woman wearing a red plaid shirt works on sewing an article of clothing.,Woman wearing nothing sewing her thumb.,A woman wearing no garments is stitching her digit.,A woman is sewing her thumb while wearing no clothing.,A woman appears to be wearing nothing and is sewing her thumb.,contradiction,One cannot be wearing nothing while wearing a red plaid shirt.
259,Three elderly women walking from behind.,Three elderly women are sitting on a bench.,Three old women are seated on a bench.,Sitting on a bench are three elderly women.,Three elderly women seem to be sitting on a bench.,contradiction,A person cannot be sitting and walking simultaneously.
260,The boy is playing with a colorful ribbon.,A child is playing with a ribbon.,A youngster is playing with a ribbon.,It is a ribbon that a child is playing with.,A child seems to be playing with a ribbon.,entailment,"boy is a child, a ribbon can be colorful"
261,Two women standing in front of a fence looking at mountains.,Two women are looking at a land mass.,A pair of women are observing a geographical feature.,A land mass is being viewed by two women.,It appears that two women are looking at a land mass.,entailment,Mountains are a land mass.
262,A large group of men of all ages sit around a large conference table and listen to a man in black speak.,The men are all wearing suits.,The men are entirely dressed in suits.,Suits are being worn by all of the men.,It appears that the men are all wearing suits.,neutral,Not all group of men listening to a man with glasses are all wearing suits.
263,An elderly couple dance in front of a juke box while a guy in shorts sleeps at a nearby table,An old couple dance next to a guy sleeping,An elderly couple dance beside a man sleeping.,Dancing next to a sleeping guy is an old couple.,It appears an old couple dances next to a guy sleeping.,neutral,The couple is dancing in front of the juke box not necessarily next to the sleeping guy.
264,A woman and child stand on the beach while sailboats sail on the ocean.,mom and child swim,A mother and child swim.,The mom and child are engaged in swimming.,The mom and child appear to be swimming.,contradiction,Woman and child cannot stand on the beach and swim at the same time.
265,A hand with tongs is reaching for a vegetable kabob on a grill that also has ribs and chicken kabobs.,There are no kabobs,There are not any kabobs.,Kabobs are nonexistent.,"Apparently, there are no kabobs.",contradiction,If there is a vegetable kabob there are kabobs.
266,A large group of people attending an event with vendors and food.,People at a memorial service.,Individuals at a remembrance ceremony.,A memorial service is attended by people.,It seems that people are at a memorial service.,contradiction,And event with vendors and food could be different then a memorial service
267,A man in a home kitchen is flipping a pancake extremely high.,The pancake is made with lots of sugar.,The pancake contains a large amount of sugar.,Lots of sugar is an ingredient in the pancake.,It seems the pancake is made with lots of sugar.,neutral,Just because he's flipping the pancake doesn't mean its made with lots of sugar.
268,"Two men confer while standing in a front of a stone wall with writing on it, while others sit at outdoor tables in the background.",Two men watch television together in their livign room.,Two males are viewing television jointly in their living room.,Television is being watched by two men together in their living room.,It seems that two men watch television together in their living room.,contradiction,The men would not be standing in front of a stone wall if they are watching television in a room because the wall would be outside and the room is inside.
269,Handyman works on outer wall of city building.,boys are writing in a notebook.,Young males are inscribing in a notepad.,A notebook is being written in by boys.,It seems that boys are writing in a notebook.,contradiction,A man cannot be writing on a notebook and on the wall consecutively.
270,a group of women with there small children two small girls and two small babies.,a group of sad women with there small children two small girls and two small babies.,a group of unhappy women with there small children two small girls and two small babies.,The small children of a group of sad women include two small girls and two small babies.,"There seems to be a group of sad women with there small children, two small girls and two small babies.",neutral,A group women does not imply a group of sad women.
271,"Dressed in high-waisted blue jeans, boots and a blue shirt with a gold ""B"" on the front is talking on the phone.",The person is riding a horse.,The individual is mounted on an equine.,What the person is doing is riding a horse.,The person appears to be riding a horse.,contradiction,"Riding a horse would need the rider's full attention, and she's unlikely to be talking on a phone."
272,"Two women, one wearing jeans and one wearing a white skirt, are walking in a building.",Both women are wearing jeans.,Both women are clad in jeans.,Jeans are being worn by both women.,It appears that both women are wearing jeans.,contradiction,Both women cannot be wearing jeans if one is wearing a skirt.
273,A little boy in a blue jacket prepares to shovel snow.,The snow needs to be shoveled by the boy,The snow must be shoveled by the boy.,The boy needs to shovel the snow.,It appears that the snow needs to be shoveled by the boy.,neutral,Prepares to shovel does not imply that it needs to be shoveled.
274,A snowboarder is doing a flip over a mound of snow.,There is someone doing tricks on their snowboard.,There is an individual performing stunts on their snowboard.,Someone is doing tricks on their snowboard.,It seems there is someone doing tricks on their snowboard.,entailment,a snowboarder is someone and they done flips over snow mound.
275,A young boy is climbing on the leg of a statue.,The boy is swimming in a pool.,The boy is bathing in a swimming pool.,"In a pool, the boy is swimming.",The boy appears to be swimming in a pool.,contradiction,The boy's action is either climbing or swimming.
276,Three men stand in a bar with a purple counter.,The women are standing at the black bar counter.,The females are positioned at the dark bar counter.,"At the black bar counter, the women are standing.",It seems the women are standing at the black bar counter.,contradiction,Women and men are different.
