id,gold_label_value,mean_faithfulness,valid_variant_count,score_original,score_lexical,score_syntactic,score_contextual,raw_answer_original,raw_answer_lexical,raw_answer_syntactic,raw_answer_contextual
451,768.0,1.0,4,1.0,1.0,1.0,1.0,178,178,178,178
452,420.0,0.75,4,1.0,1.0,1.0,0.0,422,31,422,420
453,40.0,1.0,4,1.0,1.0,1.0,1.0,11,11,11,11
455,50.0,1.0,4,1.0,1.0,1.0,1.0,151,151,151,151
456,18.0,0.75,4,1.0,1.0,1.0,0.0,46,46,46,18
457,200.0,1.0,4,1.0,1.0,1.0,1.0,301,301,301,301
458,1680000.0,0.75,4,1.0,1.0,0.0,1.0,121,1694000,1680000,1694000
459,18.0,1.0,4,1.0,1.0,1.0,1.0,30,30,30,30
461,60.0,1.0,4,1.0,1.0,1.0,1.0,36,36,36,58.86
463,6.0,0.25,4,1.0,0.0,0.0,0.0,15,6,6,6
464,20.0,1.0,4,1.0,1.0,1.0,1.0,20.5,20.5,41,41
465,18.0,1.0,4,1.0,1.0,1.0,1.0,121,121,121,121
466,81.0,1.0,4,1.0,1.0,1.0,1.0,85,85,84,85
467,10.0,1.0,4,1.0,1.0,1.0,1.0,16,16,32/3,16
469,6.0,0.75,4,1.0,1.0,0.0,1.0,5,5,6,5
470,50.0,1.0,4,1.0,1.0,1.0,1.0,37.5,37.5,37.5,37.5
472,673.0,0.75,4,1.0,0.0,1.0,1.0,295,673,295,674
473,32.0,1.0,4,1.0,1.0,1.0,1.0,4,4,4,34
474,100.0,0.5,4,1.0,0.0,1.0,0.0,31,100,31,100
476,225.0,1.0,4,1.0,1.0,1.0,1.0,6,101,220,101
477,840.0,0.75,4,1.0,1.0,1.0,0.0,5,5,601,840
478,110.0,1.0,4,1.0,1.0,1.0,1.0,11,11,111,11
479,324.0,0.5,4,1.0,0.0,1.0,0.0,4,324,4,324
480,113.0,1.0,4,1.0,1.0,1.0,1.0,112,191,112,259
481,20.0,0.75,4,1.0,1.0,0.0,1.0,20.5,20.5,20,20.5
482,274.0,1.0,4,1.0,1.0,1.0,1.0,230,274.8,274.8,230
483,24.0,0.5,4,0.0,1.0,0.0,1.0,24,433,24,19
485,44.0,1.0,4,1.0,1.0,1.0,1.0,43,87,43,43
486,120.0,1.0,4,1.0,1.0,1.0,1.0,150,150,150,150
490,3.0,1.0,4,1.0,1.0,1.0,1.0,7,7,7,7
491,11.0,1.0,4,1.0,1.0,1.0,1.0,25,25,17,17
492,96.0,1.0,4,1.0,1.0,1.0,1.0,131,131,131,131
493,200.0,1.0,4,1.0,1.0,1.0,1.0,751,751,751,751
494,7.0,1.0,4,1.0,1.0,1.0,1.0,2.5,2.5,2.5,2.5
495,9.0,1.0,4,1.0,1.0,1.0,1.0,13,13,13,13
496,20.0,0.75,4,1.0,0.0,1.0,1.0,10,20,10,21
497,6.0,1.0,4,1.0,1.0,1.0,1.0,9,9,7,9
498,1.0,1.0,4,1.0,1.0,1.0,1.0,11,2,2,2
500,9.0,1.0,4,1.0,1.0,1.0,1.0,7,7,7,7
