id,rationale_original_final,rationale_pert1_final,rationale_pert2_final,rationale_pert3_final
500,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
501,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
502,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
503,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
504,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
505,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
506,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
507,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
508,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
509,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
510,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
511,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
512,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
513,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
514,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
516,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
517,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
519,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
524,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
526,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
529,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
530,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
531,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
532,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
535,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
538,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
539,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
540,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
541,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
542,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
543,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
544,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
545,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
546,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
547,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
548,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
549,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
550,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
551,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
553,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
555,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
556,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
557,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
558,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
559,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
560,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
561,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
562,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
563,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
564,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
565,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
567,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
568,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
569,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
570,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
573,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
574,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
575,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
577,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
578,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
579,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
580,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
581,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
583,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
584,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
586,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
587,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
588,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
589,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
590,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
591,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
592,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
593,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
594,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
596,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
597,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
598,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
599,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
600,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
602,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
603,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
604,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
605,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
606,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
607,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
609,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
610,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
611,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
612,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
613,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
614,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
615,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
616,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
617,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
618,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
619,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
620,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
622,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
623,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
624,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
625,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
626,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
627,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
628,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
629,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
631,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
632,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
633,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
634,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
635,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
636,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
637,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
639,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
640,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
641,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
642,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
643,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
644,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
646,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
647,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
648,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
649,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
650,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
652,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
654,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
655,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
656,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
657,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
659,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
660,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
661,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
662,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
664,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
665,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
666,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
667,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
668,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
670,NEUTRAL,ENTAILMENT,NEUTRAL,NEUTRAL
671,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
672,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
673,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
674,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
676,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
677,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
679,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
680,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
681,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
683,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
684,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
685,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
689,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
691,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
692,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
693,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
694,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
695,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
697,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
698,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
699,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
700,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
701,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
702,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
703,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
704,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
705,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
706,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
707,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
708,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
709,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
711,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
712,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
713,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
714,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
715,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
718,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
719,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
720,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
721,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
722,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
723,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
724,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
725,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
726,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
727,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
728,CONTRADICTION,CONTRADICTION,NEUTRAL,CONTRADICTION
729,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
731,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
733,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
734,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
736,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
737,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
738,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
740,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
741,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
742,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
743,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
744,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
745,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
746,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
747,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
748,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
749,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
751,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
752,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
753,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
754,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
755,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
757,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
759,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
760,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
761,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
762,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
763,ENTAILMENT,NEUTRAL,NEUTRAL,NEUTRAL
764,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
765,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
767,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
768,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
769,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
770,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
771,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
772,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
774,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
775,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
776,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
777,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
779,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
780,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
781,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
782,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
784,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
786,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
790,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
793,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
794,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
795,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
796,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
797,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
798,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
799,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
800,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
