id,rationale_original_final,rationale_lexical_final,rationale_syntactic_final,rationale_pragmatic_final
499,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
500,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
501,ENTAILMENT,NEUTRAL,ENTAILMENT,ENTAILMENT
502,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
503,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
504,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
505,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
506,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
507,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
508,CONTRADICTION,CONTRADICTION,NEUTRAL,NEUTRAL
509,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
510,NEUTRAL,NEUTRAL,NEUTRAL,ENTAILMENT
511,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
512,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
513,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
514,NEUTRAL,NEUTRAL,ENTAILMENT,NEUTRAL
516,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
517,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
519,CONTRADICTION,CONTRADICTION,NEUTRAL,NEUTRAL
524,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
526,NEUTRAL,NEUTRAL,CONTRADICTION,NEUTRAL
529,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
530,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
531,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
532,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
535,CONTRADICTION,NEUTRAL,NEUTRAL,CONTRADICTION
538,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
539,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
540,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
541,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
542,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
543,NEUTRAL,NEUTRAL,CONTRADICTION,NEUTRAL
544,NEUTRAL,NEUTRAL,ENTAILMENT,NEUTRAL
545,NEUTRAL,NEUTRAL,NEUTRAL,CONTRADICTION
546,NEUTRAL,NEUTRAL,ENTAILMENT,ENTAILMENT
547,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
548,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
549,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
550,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
551,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
553,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
555,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
556,NEUTRAL,NEUTRAL,ENTAILMENT,NEUTRAL
557,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
558,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
559,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
560,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
561,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
562,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
563,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
564,CONTRADICTION,CONTRADICTION,NEUTRAL,NEUTRAL
565,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
567,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
568,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
569,NEUTRAL,NEUTRAL,ENTAILMENT,NEUTRAL
570,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
573,NEUTRAL,ENTAILMENT,NEUTRAL,NEUTRAL
574,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
575,ENTAILMENT,ENTAILMENT,NEUTRAL,ENTAILMENT
577,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
578,NEUTRAL,ENTAILMENT,NEUTRAL,NEUTRAL
579,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
580,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
581,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
583,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
584,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
586,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
587,CONTRADICTION,CONTRADICTION,CONTRADICTION,NEUTRAL
588,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
589,NEUTRAL,CONTRADICTION,NEUTRAL,NEUTRAL
590,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
591,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
592,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
593,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
594,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
596,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
597,NEUTRAL,CONTRADICTION,CONTRADICTION,NEUTRAL
598,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
599,NEUTRAL,NEUTRAL,NEUTRAL,ENTAILMENT
600,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
602,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
603,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
604,CONTRADICTION,CONTRADICTION,NEUTRAL,CONTRADICTION
605,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
606,NEUTRAL,ENTAILMENT,ENTAILMENT,NEUTRAL
607,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
609,NEUTRAL,NEUTRAL,CONTRADICTION,NEUTRAL
610,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
611,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
612,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
613,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
614,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
615,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
616,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
617,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
618,CONTRADICTION,NEUTRAL,NEUTRAL,ENTAILMENT
619,NEUTRAL,NEUTRAL,CONTRADICTION,NEUTRAL
620,NEUTRAL,ENTAILMENT,ENTAILMENT,NEUTRAL
622,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
623,NEUTRAL,ENTAILMENT,ENTAILMENT,ENTAILMENT
624,ENTAILMENT,ENTAILMENT,NEUTRAL,NEUTRAL
625,NEUTRAL,NEUTRAL,ENTAILMENT,NEUTRAL
626,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
627,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
628,NEUTRAL,CONTRADICTION,CONTRADICTION,NEUTRAL
629,NEUTRAL,NEUTRAL,CONTRADICTION,NEUTRAL
631,NEUTRAL,CONTRADICTION,NEUTRAL,NEUTRAL
632,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
633,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
634,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
635,CONTRADICTION,ENTAILMENT,ENTAILMENT,NEUTRAL
636,NEUTRAL,NEUTRAL,NEUTRAL,CONTRADICTION
637,NEUTRAL,CONTRADICTION,NEUTRAL,CONTRADICTION
639,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
640,NEUTRAL,ENTAILMENT,ENTAILMENT,ENTAILMENT
641,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
642,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
643,NEUTRAL,NEUTRAL,ENTAILMENT,NEUTRAL
644,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
646,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
647,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
648,NEUTRAL,NEUTRAL,NEUTRAL,CONTRADICTION
649,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
650,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
652,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
654,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
655,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
656,NEUTRAL,CONTRADICTION,CONTRADICTION,CONTRADICTION
657,CONTRADICTION,CONTRADICTION,NEUTRAL,NEUTRAL
659,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
660,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
661,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
662,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
664,NEUTRAL,ENTAILMENT,ENTAILMENT,NEUTRAL
665,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
666,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
667,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
668,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
670,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
671,CONTRADICTION,NEUTRAL,CONTRADICTION,NEUTRAL
672,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
673,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
674,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
676,ENTAILMENT,NEUTRAL,NEUTRAL,ENTAILMENT
677,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
679,NEUTRAL,NEUTRAL,NEUTRAL,CONTRADICTION
680,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
681,CONTRADICTION,CONTRADICTION,NEUTRAL,NEUTRAL
683,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
684,NEUTRAL,NEUTRAL,CONTRADICTION,NEUTRAL
685,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
689,CONTRADICTION,NEUTRAL,NEUTRAL,NEUTRAL
691,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
692,NEUTRAL,NEUTRAL,NEUTRAL,CONTRADICTION
693,ENTAILMENT,ENTAILMENT,NEUTRAL,NEUTRAL
694,NEUTRAL,ENTAILMENT,ENTAILMENT,ENTAILMENT
695,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
697,NEUTRAL,NEUTRAL,NEUTRAL,ENTAILMENT
698,NEUTRAL,NEUTRAL,NEUTRAL,ENTAILMENT
699,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
700,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
701,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
702,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
703,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
704,NEUTRAL,NEUTRAL,CONTRADICTION,CONTRADICTION
705,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
706,NEUTRAL,ENTAILMENT,ENTAILMENT,NEUTRAL
707,NEUTRAL,CONTRADICTION,NEUTRAL,NEUTRAL
708,NEUTRAL,NEUTRAL,ENTAILMENT,NEUTRAL
709,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
711,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
712,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
713,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
714,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
715,ENTAILMENT,CONTRADICTION,CONTRADICTION,ENTAILMENT
718,NEUTRAL,CONTRADICTION,CONTRADICTION,CONTRADICTION
719,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
720,ENTAILMENT,NEUTRAL,ENTAILMENT,ENTAILMENT
721,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
722,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
723,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
724,ENTAILMENT,ENTAILMENT,NEUTRAL,ENTAILMENT
725,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
726,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
727,NEUTRAL,NEUTRAL,ENTAILMENT,CONTRADICTION
728,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
729,NEUTRAL,ENTAILMENT,ENTAILMENT,ENTAILMENT
731,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
733,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
736,CONTRADICTION,NEUTRAL,NEUTRAL,NEUTRAL
737,ENTAILMENT,NEUTRAL,NEUTRAL,ENTAILMENT
738,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
740,CONTRADICTION,NEUTRAL,CONTRADICTION,CONTRADICTION
741,NEUTRAL,CONTRADICTION,NEUTRAL,NEUTRAL
742,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
743,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
744,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
745,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
746,ENTAILMENT,ENTAILMENT,ENTAILMENT,NEUTRAL
747,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
748,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
749,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
751,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
752,CONTRADICTION,CONTRADICTION,NEUTRAL,NEUTRAL
753,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
754,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
755,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
757,CONTRADICTION,NEUTRAL,CONTRADICTION,CONTRADICTION
759,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
760,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
761,NEUTRAL,ENTAILMENT,CONTRADICTION,ENTAILMENT
762,ENTAILMENT,ENTAILMENT,NEUTRAL,ENTAILMENT
763,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
764,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
765,CONTRADICTION,NEUTRAL,CONTRADICTION,CONTRADICTION
767,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
768,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
769,ENTAILMENT,NEUTRAL,CONTRADICTION,NEUTRAL
770,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
771,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
772,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
774,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
775,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
776,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
777,ENTAILMENT,ENTAILMENT,NEUTRAL,ENTAILMENT
779,ENTAILMENT,ENTAILMENT,NEUTRAL,ENTAILMENT
780,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
781,NEUTRAL,ENTAILMENT,NEUTRAL,NEUTRAL
782,NEUTRAL,ENTAILMENT,ENTAILMENT,NEUTRAL
784,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
786,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
790,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
793,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
794,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
795,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
796,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
797,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
798,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
799,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
800,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
