id,Hypothesis,perturbation_1_lexical,p1_meaning_preserved,p1_explanation,perturbation_2_syntactic,p2_meaning_preserved,p2_explanation,perturbation_3_pragmatic,p3_meaning_preserved,p3_explanation
203,A man performs open heart surgery,A man carries out open heart surgery.,True,"The phrases 'performs' and 'carries out' are synonymous in this context, both referring to the execution of the open heart surgery. The meaning remains unchanged.",Open heart surgery is performed by a man.,True,The perturbed hypothesis is a passive voice rephrasing of the original active voice hypothesis. Both sentences convey the same information: a man is performing open heart surgery.,A man appears to perform open heart surgery.,False,"The original hypothesis states a definitive action ('performs'), while the perturbed hypothesis introduces uncertainty or mere perception ('appears to perform'). 'Appears to' does not confirm the actual performance of the surgery."
216,A man is dead in Nebraska.,A man is deceased in Nebraska.,True,'Dead' and 'deceased' are synonyms referring to the state of no longer being alive. The perturbed hypothesis uses a more formal term but conveys the identical factual information.,"In Nebraska, a man is dead.",True,The perturbed hypothesis rephrases the original by moving the locative phrase 'In Nebraska' to the beginning of the sentence. This is a stylistic change and does not alter the core meaning that a man is dead and that this event or state is situated in Nebraska.,It appears a man is dead in Nebraska.,False,"The original hypothesis states a definitive fact ('A man is dead'). The perturbed hypothesis introduces uncertainty or an inference ('It appears a man is dead'), suggesting that the death is not yet confirmed or is based on observation rather than direct knowledge. This changes the level of certainty and thus the meaning."
221,One of the seven bystanders is a girl.,One of the seven onlookers is a girl.,True,"The words 'bystanders' and 'onlookers' are highly synonymous, both referring to individuals present at an event without actively participating. Replacing one with the other does not alter the core meaning of the sentence.",A girl is among the seven bystanders.,True,Both sentences convey the same information: there is at least one girl within the group of seven bystanders. The phrasing is slightly different but the core meaning is identical.,It is possible that one of the seven bystanders is a girl.,False,"The original hypothesis states a definitive fact ('is a girl'), while the perturbed hypothesis introduces possibility ('It is possible that...'), weakening the assertion from certainty to potentiality. If something 'is' true, it is also 'possible' true, but if something is 'possible' true, it is not necessarily 'is' true. Thus, the meaning is changed from a strong assertion to a weaker one."
222,An old man is riding the bus next to the park.,An elderly gentleman is traveling on the bus beside the park.,True,"The perturbed hypothesis uses synonyms for 'old man' ('elderly gentleman'), 'riding' ('traveling on'), and 'next to' ('beside'), but the overall meaning of the sentence remains identical.","Next to the park, an old man is riding the bus.",True,"The rephrasing simply moves the adverbial phrase 'next to the park' to the beginning of the sentence, which is a stylistic change and does not alter the core meaning or information conveyed.",An old man appears to be riding the bus next to the park.,False,"The original hypothesis states a definite action ('is riding'), while the perturbed hypothesis introduces a degree of uncertainty or observation ('appears to be riding'), implying that it is a perception rather than a confirmed fact. This alters the certainty of the statement."
226,chefs are cooking food for customers.,Cooks are preparing meals for customers.,True,"The perturbed hypothesis uses synonyms that maintain the core meaning. 'Cooks' is a general term that includes 'chefs,' and 'preparing meals' is a broader but encompassing action for 'cooking food' in this context.",Food is being cooked by chefs for customers.,True,"The perturbed hypothesis is a passive voice construction of the original active voice sentence. Both convey the exact same event, participants, and relationships, just with a different grammatical focus.",It seems that chefs are cooking food for customers.,False,"The original hypothesis states a direct fact. The perturbed hypothesis adds 'It seems that', which introduces a degree of uncertainty or an inference, changing the speaker's commitment to the truth of the statement from a direct assertion to an appearance or opinion."
233,The boy is looking at two two girls in a tree.,The boy is observing two girls in a tree.,True,"The original hypothesis contains a repetition of 'two' ('two two girls'), which is likely a typo for 'two girls'. Assuming this correction, 'looking at' is a direct synonym for 'observing', and the rest of the sentence remains identical.",The boy's gaze is directed at two girls in a tree.,True,"The phrase 'is looking at' is semantically equivalent to 'gaze is directed at'. The repetition of 'two two girls' in the original is a highly probable typo or redundancy, with the intended meaning being 'two girls', which the perturbed version clarifies. The location 'in a tree' remains unchanged. Thus, the core meaning of a boy observing two girls in a tree is preserved.",The boy seems to be looking at two girls in a tree.,False,"The original hypothesis states a direct observation ('is looking at'), while the perturbed hypothesis introduces an element of uncertainty or appearance ('seems to be looking at'). This change from a definite action to an apparent one alters the core meaning and certainty of the statement."
239,People are riding bikes in the forest.,Individuals are cycling in the woods.,True,"'Individuals' is a synonym for 'people', 'cycling' is a synonym for 'riding bikes', and 'woods' is a synonym for 'forest'. The core meaning is preserved.",Bikes are being ridden by people in the forest.,True,"The perturbed hypothesis is a passive voice construction of the original active voice sentence. It conveys the exact same information about who is performing the action, what the action is, and where it is taking place, without any change or flipping of meaning.",It appears that people are riding bikes in the forest.,False,"The original hypothesis states a fact directly, implying certainty. The perturbed hypothesis introduces 'It appears that,' which indicates an observation, inference, or a perceived state rather than a definitive fact. This adds a layer of uncertainty or subjectivity that alters the original's declarative meaning."
240,A guy does not have a bike.,A man does not possess a bicycle.,True,"'Guy' is synonymous with 'man', 'have' is synonymous with 'possess', and 'bike' is synonymous with 'bicycle'. The negation 'does not' is also preserved in both sentences.",A bike is not had by a guy.,True,The perturbed hypothesis is the passive voice construction of the original hypothesis. Both sentences convey the same meaning: the absence of possession of a bike by a guy.,It appears that a guy does not have a bike.,False,"The original hypothesis states a fact directly. The perturbed hypothesis introduces a degree of uncertainty or perception ('It appears that'), which qualifies the statement and changes it from a direct assertion to an observation or inference."
241,the ambulance is carrying a passenger,The ambulance is transporting a passenger.,True,"The verbs 'carrying' and 'transporting' are synonymous in this context, both referring to the action of moving a passenger by vehicle. The perturbed hypothesis maintains the exact same core meaning as the original.",A passenger is being carried by the ambulance.,True,The perturbed hypothesis is a passive voice rephrasing of the original active voice sentence. Both sentences convey the same information: an ambulance is carrying a passenger.,The ambulance might be carrying a passenger.,False,"The original hypothesis states a fact ('is carrying'), implying certainty. The perturbed hypothesis introduces uncertainty or possibility ('might be carrying'), thus changing the assertiveness and meaning of the statement."
244,A man standing on a bench in front of a hospital.,A man standing on a bench in front of a medical center.,True,"'Hospital' and 'medical center' are highly synonymous terms referring to a facility for medical care, so replacing one with the other does not change the core meaning of the scene.","In front of a hospital, a man is standing on a bench.",True,"The perturbed hypothesis rephrases the original by moving the prepositional phrase 'In front of a hospital' to the beginning of the sentence and explicitly stating 'is standing' instead of using a participial phrase. However, the core elements (a man, standing, on a bench, in front of a hospital) and their relationships remain identical. No meaning is changed or lost.",A man appears to be standing on a bench in front of a hospital.,False,"The original hypothesis states a definitive fact ('A man is standing'). The perturbed hypothesis introduces uncertainty or observation ('A man appears to be standing'), implying that it looks like he is standing but is not a definitive statement of his state. This changes the level of certainty and thus the meaning."
246,A working is bathing a newborn baby.,A worker is washing an infant.,True,"Assuming 'A working' is a typo for 'A worker', the perturbed hypothesis maintains the core meaning. 'Washing' is a close synonym for 'bathing' in this context, and 'an infant' is a slightly broader but still accurate term for 'a newborn baby', referring to a very young child being cleaned by a person.",A newborn baby is being bathed by a worker.,False,"The original hypothesis 'A working is bathing a newborn baby' is grammatically incorrect and its subject 'A working' is unclear or nonsensical in this context (it doesn't refer to a person). The perturbed hypothesis 'A newborn baby is being bathed by a worker' is grammatically correct and clearly identifies 'a worker' as the agent. Due to the ill-formed nature and ambiguity of the original sentence's subject, its meaning cannot be considered preserved by the clear and specific agent introduced in the perturbed version, even if 'working' was intended as a typo for 'worker'.",A worker appears to be bathing a newborn baby.,False,"The original hypothesis contains a grammatical error ('A working' instead of 'A worker'). Assuming 'A working' was intended to mean 'A worker', the perturbed hypothesis introduces the phrase 'appears to be'. This changes the meaning from a direct statement of an ongoing action ('is bathing') to an observation or inference, suggesting a lack of certainty about the action itself."
248,There is a red car that has rolled over on a dirt track.,There is a red car that has overturned on a dirt track.,True,"The terms 'rolled over' and 'overturned' are synonymous in the context of a car accident, both describing the vehicle rotating onto its side or roof. Therefore, the meaning is preserved.",A red car has rolled over on a dirt track.,True,Both sentences convey the same core information: a red car exists and has rolled over on a dirt track. The 'There is' construction in the original is an existential introductory phrase that does not alter the fundamental meaning in this context.,There seems to be a red car that has rolled over on a dirt track.,False,"The original hypothesis states a definitive fact ('There is'), while the perturbed hypothesis introduces an element of uncertainty or perception ('There seems to be'). This change alters the speaker's commitment to the truth of the statement, thus changing its meaning from an assertion of fact to an observation or inference."
254,a kid stands on pavement,A child stands on a sidewalk.,True,"'kid' is synonymous with 'child', and 'pavement' is synonymous with 'sidewalk', both referring to a hard, usually paved surface for walking on.",A kid is standing on pavement.,True,The change from simple present ('stands') to present continuous ('is standing') does not alter the core meaning of a kid being in a standing position on the pavement. Both convey the same ongoing action or state.,It seems a kid stands on pavement.,False,"The original hypothesis states a fact directly, whereas the perturbed hypothesis adds 'It seems', which introduces an element of observation, inference, or less certainty, thereby changing the assertiveness of the statement."
257,The people are watching a concert.,The individuals are observing a musical performance.,True,"The terms 'people' and 'individuals' are synonymous here. 'Watching' and 'observing' are also interchangeable in this context. A 'concert' is a specific type of 'musical performance,' so describing it as a musical performance preserves the core meaning without introducing new information or contradictions.",A concert is being watched by the people.,True,The perturbed hypothesis is simply the passive voice construction of the original hypothesis. Both sentences convey the exact same event and relationship between the people and the concert.,It seems the people are watching a concert.,False,"The original hypothesis states a fact directly. The perturbed hypothesis adds 'It seems', which introduces an element of uncertainty, observation, or conjecture, implying that the speaker is not stating it as a definitive fact but rather as an appearance or a probable situation. This changes the certainty of the statement."
266,People at a memorial service.,Individuals at a remembrance ceremony.,True,"'Individuals' is synonymous with 'people', and 'remembrance ceremony' is synonymous with 'memorial service'. Both phrases convey the same core meaning of a gathering to honor and remember someone or something.",A memorial service is attended by people.,True,"Both sentences convey the idea that people are present at a memorial service, just using different grammatical structures (active vs. passive implications).",It seems that people are at a memorial service.,False,"The original hypothesis states a fact or observation directly. The perturbed hypothesis introduces an epistemic modal 'It seems that', which adds a layer of uncertainty or subjective inference, thereby altering the degree of certainty conveyed about the event."
268,Two men watch television together in their livign room.,Two males are viewing television jointly in their living room.,True,"The perturbed hypothesis uses synonyms ('males' for 'men', 'are viewing' for 'watch', 'jointly' for 'together') and corrects a typo ('livign' to 'living room') but maintains the exact same core meaning, participants, action, and location as the original.",Television is being watched by two men together in their living room.,True,The perturbed hypothesis is a passive voice rephrasing of the original hypothesis. Both sentences convey the same core information: two men are watching television together in their living room. No semantic information is lost or changed.,It seems that two men watch television together in their living room.,False,"The original hypothesis states a direct fact. The perturbed hypothesis adds 'It seems that', which introduces an element of inference or uncertainty, implying the speaker is not stating a fact but an observation or impression. This changes the epistemic modality and thus subtly alters the meaning from a direct assertion to a probable one."
273,The snow needs to be shoveled by the boy,The snow must be shoveled by the boy.,True,"Both 'needs to be' and 'must be' convey a strong sense of necessity or obligation. While 'must' can imply a slightly stronger, more absolute obligation than 'needs to,' the core meaning that shoveling the snow is required and to be performed by the boy remains the same.",The boy needs to shovel the snow.,True,The perturbed hypothesis is the active voice equivalent of the original passive voice sentence. Both convey the same core meaning: the boy has the obligation to shovel the snow.,It appears that the snow needs to be shoveled by the boy.,False,"The original hypothesis states a direct necessity. The perturbed hypothesis adds 'It appears that,' which introduces a degree of uncertainty, subjective perception, or observation rather than a direct statement of fact. This subtly changes the speaker's commitment to the truth of the necessity, thus altering the meaning."
278,A man is staring at a woman,A man is gazing at a woman.,False,"While both 'staring' and 'gazing' involve looking fixedly, 'staring' can imply an intense, prolonged, and sometimes impolite or blank look, whereas 'gazing' typically implies a prolonged look with admiration, wonder, or thoughtfulness. The connotative difference changes the nuance of the action.",A woman is being stared at by a man.,True,The perturbed hypothesis is the passive voice equivalent of the original hypothesis. Both sentences describe the same action (staring) performed by the same actor (a man) towards the same recipient (a woman).,A man seems to be staring at a woman.,False,"The original states a direct action, while the perturbed version introduces an element of uncertainty or perception ('seems to be'), implying it might not be definitively true."
283,The man is playing with a hackey sack.,The man is playing with a footbag.,True,"A 'hackey sack' is a common term, often a brand name, used to refer to the object known generically as a 'footbag'. The two terms are synonymous in this context.",A hackey sack is being played with by the man.,True,The perturbed hypothesis is a passive voice rephrasing of the original active voice sentence. It describes the exact same event and relationship between the man and the hackey sack without altering the core meaning.,The man appears to be playing with a hackey sack.,False,"The original hypothesis states a definitive fact ('is playing'), while the perturbed hypothesis introduces a degree of uncertainty or perception ('appears to be playing'). This changes the certainty level of the statement."
287,A man in a white shirt saw two motorcycles.,A man in a white shirt observed two motorcycles.,True,"The word 'observed' is a close synonym for 'saw' in this context, both referring to the act of visually perceiving something. There is no change in the core meaning of the man visually perceiving the motorcycles.",Two motorcycles were seen by a man in a white shirt.,True,"The perturbed hypothesis is a passive voice construction of the original active voice sentence. It preserves the same actors, actions, and objects without altering the core meaning.",A man in a white shirt appears to have seen two motorcycles.,False,"The original hypothesis states a definitive past action ('saw'), while the perturbed hypothesis introduces an element of uncertainty or inference ('appears to have seen'). This change in modality alters the certainty of the statement, thus not fully preserving the original meaning."
292,A shiny statute of men on bicycles.,A gleaming enactment concerning men on bicycles.,True,"The words 'shiny' and 'gleaming' are synonyms. 'Statute' and 'enactment' can both refer to a written law or a legal act, and thus are very close in meaning in this context. 'Of men on bicycles' and 'concerning men on bicycles' convey the same subject matter. While the original phrase is semantically unusual (as statutes are not typically 'shiny'), the perturbed version maintains this unusual pairing by using synonyms for each part, thereby preserving the original (albeit peculiar) meaning.",There is a shiny statute about men on bicycles.,False,"The word 'statute' refers to a written law. 'A statute of men on bicycles' is grammatically ambiguous; it could imply a law belonging to or created by men on bicycles, or it could be a grammatical error attempting to convey 'a law concerning men on bicycles'. In contrast, 'a statute about men on bicycles' clearly means a law whose subject matter pertains to men on bicycles. These are distinct interpretations, leading to a change in meaning. Additionally, 'shiny' is an unusual adjective for a 'statute' in both cases, which might suggest a typo for 'statue', but evaluating 'statute' literally, the prepositional difference is significant.",It appears to be a shiny statute of men on bicycles.,False,"The perturbed hypothesis adds 'It appears to be', which introduces an element of uncertainty or subjective perception, whereas the original hypothesis is a direct statement of fact. This changes the epistemic stance from a definite assertion to an observation or inference."
293,A construction worker is doing his job.,A construction worker is performing his work.,True,"The terms 'doing his job' and 'performing his work' are synonymous in this context, both referring to the construction worker carrying out his professional duties.",His job is being done by a construction worker.,True,The perturbed hypothesis is a passive voice rephrasing of the original active voice sentence. Both sentences convey the same information: a construction worker is performing his job.,A construction worker appears to be doing his job.,False,"The original hypothesis states a fact: the construction worker *is* doing his job. The perturbed hypothesis introduces uncertainty with 'appears to be,' suggesting that it is an observation or perception rather than a definitive fact. This weakens the assertion and does not guarantee the worker is actually performing their job, thus changing the meaning from a definite statement to a perceived one."
296,Two football teams congratulating each other.,Two football teams commending each other.,True,"While 'congratulating' typically refers to expressing pleasure for someone's success or good fortune, and 'commending' refers to praising formally or officially, in the context of two football teams interacting, both verbs convey a sense of positive acknowledgment, approval, or admiration for the other team's efforts, sportsmanship, or performance. The core meaning of expressing positive sentiment towards each other is preserved.",Two football teams engaged in mutual congratulation.,True,Both phrases convey the same meaning: the two football teams are performing the act of congratulating one another in a reciprocal manner. 'Congratulating each other' and 'engaged in mutual congratulation' are semantically equivalent.,Two football teams seem to be congratulating each other.,False,"The perturbed hypothesis adds 'seem to be', which introduces an element of perception or appearance rather than a direct statement of fact. The original implies a definitive action, while the perturbed version implies that the action is merely an observation or inference, thus weakening the certainty of the statement."
303,Women at an event are amused.,Women at an event are entertained.,False,"While 'amused' is a form of being 'entertained,' 'entertained' is a broader term. 'Amused' specifically implies finding something funny or mildly diverting, often leading to laughter or a smile. 'Entertained' can encompass a wider range of experiences, including interest, fascination, or general enjoyment, which may or may not involve humor. Therefore, the perturbed hypothesis broadens the scope of the enjoyment beyond mere amusement.",Amusement is experienced by women at an event.,True,"The perturbed hypothesis is a rephrasing of the original using a passive construction and nominalization ('amusement'), but it conveys the exact same meaning: women at an event are experiencing amusement.",Women at an event appear to be amused.,False,"The original hypothesis states a definitive fact that the women are amused. The perturbed hypothesis, by adding 'appear to be', introduces an element of observation or perception, implying that it might not be their true internal state or that it's an external judgment rather than a direct fact. It suggests a possibility or an impression, not a certainty."
304,A young man and woman shared a beer.,A young man and woman split a beer.,True,To 'share a beer' (singular) most commonly means that two or more people consume portions of the same single beer. To 'split a beer' explicitly means to divide a single beer between two or more people. The perturbed version simply uses a more explicit synonym for this particular context of sharing a single item.,A beer was shared by a young man and woman.,True,The perturbed hypothesis is a passive voice construction of the original active voice sentence. Both convey the identical meaning that a young man and woman jointly consumed or partook in a single beer.,It appears that a young man and woman shared a beer.,False,"The original hypothesis states an event as a direct fact. The perturbed hypothesis adds 'It appears that,' which introduces an element of uncertainty or inference. While the core event described remains the same, the speaker's commitment to the truth of that event is softened, thus altering the overall meaning from a direct assertion to an observation or deduction."
309,A boy is playing catch,A young male is playing catch.,True,The term 'boy' inherently refers to a young male. Replacing 'boy' with 'young male' does not alter the core meaning or the identity of the person described.,The activity of playing catch is being performed by a boy.,True,"The perturbed hypothesis rephrases the original using a passive construction and nominalization ('the activity of playing catch'), but the core event and the involved parties (a boy performing the action of playing catch) remain identical.",A boy appears to be playing catch.,False,"The original hypothesis states a definitive fact ('is playing'), while the perturbed hypothesis introduces a degree of uncertainty or perception ('appears to be playing'). This changes the certainty of the statement, thus altering the meaning."
312,The kids are near a construction site.,The children are close to a building site.,True,"'Kids' is synonymous with 'children', 'near' is synonymous with 'close to', and 'construction site' is synonymous with 'building site'. All key elements maintain the same meaning.",It is a construction site that the kids are near.,True,The perturbed hypothesis uses a cleft sentence structure which rephrases the original without altering the core meaning or factual information. Both sentences state that the kids are near a construction site.,It appears that the kids are near a construction site.,True,"The perturbed hypothesis adds a layer of epistemic modality ('It appears that'), indicating the statement is based on observation or inference rather than direct fact. However, it does not change the core proposition that the kids are near a construction site; it simply frames it as a perceived reality, which is typically understood to be the actual reality unless contradicted."
313,Two men are next to a microscope.,Two individuals are beside a microscope.,False,"While 'next to' and 'beside' are synonymous, changing 'men' to 'individuals' loses the specific gender information present in the original hypothesis. 'Individuals' is a broader term that does not specify gender, whereas 'men' explicitly does.","Next to a microscope, there are two men.",True,"The perturbed hypothesis rephrases the original by moving the locative phrase to the beginning and using an existential 'there are' construction, but it describes the exact same spatial arrangement and entities without any change in meaning.",It appears that two men are next to a microscope.,False,"The original hypothesis makes a direct, unqualified statement of fact. The perturbed hypothesis, by adding 'It appears that,' introduces an element of observation, perception, or less certain judgment, rather than a definitive assertion of fact. This changes the epistemic commitment of the statement, making it a weaker claim about the reality of the situation."
317,Some people are placing chairs in front of the ocean.,A few individuals are putting seats before the sea.,True,"All key components of the sentence have direct synonyms in the perturbed version: 'Some people' (A few individuals), 'placing' (putting), 'chairs' (seats), 'in front of' (before), and 'the ocean' (the sea). The core action, subjects, objects, and location remain semantically identical.",Chairs are being placed in front of the ocean by some people.,True,"The perturbed hypothesis is a passive voice construction of the original active voice sentence. Both sentences describe the same action (placing chairs), involving the same agents (some people), and the same location (in front of the ocean). The change in voice does not alter the factual meaning.",It appears some people are placing chairs in front of the ocean.,False,"The original hypothesis states a direct observation or fact: 'Some people are placing chairs in front of the ocean.' The perturbed hypothesis adds 'It appears,' which introduces a layer of observation, inference, or perception, implying that the speaker is reporting what they perceive rather than making an unqualified statement of fact. While the core event described is the same, the epistemic modality (the speaker's stance on the truth or source of information) is altered, meaning the precise meaning is not fully preserved."
325,Woman is standing next to a bike.,A female is positioned beside a bicycle.,True,"The perturbed hypothesis uses synonyms ('female' for 'woman', 'positioned beside' for 'standing next to', 'bicycle' for 'bike') that convey the same core meaning and spatial relationship without altering the overall sense of the statement.","Next to a bike, a woman is standing.",True,"The perturbed hypothesis reorders the phrases but retains the same subject, verb, and spatial relationship, thus preserving the original meaning.",A woman appears to be standing next to a bike.,False,"The original hypothesis states a fact directly: 'Woman is standing...'. The perturbed hypothesis introduces uncertainty or perception with 'A woman appears to be standing...', implying that it looks like she is standing there, but not necessarily stating it as a definitive fact. This changes the epistemic commitment of the statement."
331,the workers are making a bathroom,The laborers are constructing a washroom.,True,"All key words in the perturbed hypothesis ('laborers', 'constructing', 'washroom') are direct synonyms for their counterparts in the original hypothesis ('workers', 'making', 'bathroom'). The core action and subject remain identical.",A bathroom is being made by the workers.,True,The perturbed hypothesis is a passive voice construction of the original active voice sentence. Both convey the same core information: the workers are performing the action of making a bathroom.,It's possible that the workers are making a bathroom.,False,"The original hypothesis states a definite fact ('the workers are making a bathroom'), while the perturbed hypothesis introduces a modality of possibility ('It's possible that...'), thereby weakening the assertion from a certainty to a mere possibility. This changes the meaning significantly."
336,Two people are standing close together.,Two individuals are positioned near one another.,False,"The perturbed hypothesis generalizes the action. 'Standing' implies a specific upright posture, while 'positioned' is a broader term that could include sitting, lying, or standing. Therefore, the specific information about their posture is not preserved.",There are two people standing close together.,True,The addition of 'There are' as an existential introducer does not change the core meaning of the original statement. Both sentences convey that two people exist and are standing close together.,It seems that two people are standing close together.,False,"The original hypothesis states a direct fact. The perturbed hypothesis introduces 'It seems that', which adds a layer of subjective observation, perception, or inference, thereby weakening the direct factual assertion and introducing uncertainty or appearance. This changes the certainty and nature of the claim."
344,A man and his son sit inside a banana.,A male and his son are seated within a banana.,True,"The perturbed hypothesis uses synonyms ('male' for 'man', 'are seated' for 'sit', 'within' for 'inside') which do not alter the core meaning of the original sentence. Both describe a man and his son sitting inside a banana.","Inside a banana, a man and his son are sitting.",True,"The perturbed hypothesis rephrases the original by fronting the prepositional phrase and using a continuous tense, but it describes the exact same event and location without altering the core meaning.",It appears that a man and his son sit inside a banana.,False,"The original hypothesis states an event as a fact. The perturbed hypothesis adds 'It appears that', which introduces a degree of uncertainty or observation, changing the assertive nature of the statement. While the core event remains the same, the speaker's commitment to its truth is altered."
350,A woman stands and cooks for her kids.,A female remains upright and prepares food for her children.,True,"The perturbed hypothesis uses synonyms for each key word/phrase in the original hypothesis ('woman' -> 'female', 'stands' -> 'remains upright', 'cooks' -> 'prepares food', 'kids' -> 'children'), preserving the core meaning entirely.",A woman is standing while she cooks for her kids.,True,"The original hypothesis uses 'stands and cooks' which strongly implies simultaneous actions. The perturbed hypothesis explicitly states this simultaneity with 'is standing while she cooks', thus preserving the core meaning.",A woman apparently stands and cooks for her kids.,False,"The word 'apparently' introduces a layer of uncertainty or inference, suggesting that the speaker is not stating a direct fact but rather an observation or something that seems to be true. This changes the certainty and the speaker's commitment to the truth of the statement, thus altering the meaning."
354,A guy is snowboarding down a hill.,A man is riding a snowboard down a slope.,True,"The perturbed hypothesis uses synonymous terms ('man' for 'guy', 'riding a snowboard' for 'snowboarding', 'slope' for 'hill') but retains the core action and context of the original hypothesis.","Down a hill, a guy is snowboarding.",True,The perturbed hypothesis rephrases the original by moving the locative phrase to the beginning of the sentence. This change in word order does not alter the core meaning or the factual information presented.,A guy appears to be snowboarding down a hill.,False,"The original statement asserts a definitive action ('is snowboarding'), while the perturbed statement introduces an element of perception or uncertainty ('appears to be snowboarding'). This changes the certainty of the action, as 'appears to be' suggests it might not definitively be the case."
359,The people are sitting at a table in front of a stage.,The individuals are seated by a table before a performance area.,True,"The perturbed hypothesis uses synonyms ('individuals' for 'people', 'seated' for 'sitting', 'by' for 'at' in this context, 'before' for 'in front of', and 'performance area' for 'stage') that maintain the original meaning of people sitting at a table located in front of a stage.","In front of a stage, the people are sitting at a table.",True,"The perturbed hypothesis rephrases the original by moving the prepositional phrase 'In front of a stage' to the beginning of the sentence. This is a stylistic change that does not alter the factual information or the spatial relationships described. The people are still sitting at a table, and that activity/location is in front of a stage.",It seems that the people are sitting at a table in front of a stage.,False,"The perturbed hypothesis introduces an epistemic qualifier ('It seems that') which expresses observation or a degree of uncertainty, altering the direct factual assertion of the original hypothesis."
363,There are two college students playing  Nintendo with each other.,There are two university students engaging in Nintendo together.,True,The terms 'college students' and 'university students' are synonymous in this context. 'Playing Nintendo with each other' and 'engaging in Nintendo together' convey the exact same activity and shared participation.,Two college students are playing Nintendo with one another.,True,"The grammatical restructuring from 'There are two college students playing' to 'Two college students are playing' does not change the core meaning. Additionally, 'each other' and 'one another' are interchangeable in this context when referring to two individuals interacting reciprocally.",It seems that two college students are playing Nintendo with each other.,False,"The original hypothesis states a fact directly. The perturbed hypothesis adds 'It seems that', which introduces an element of subjective perception, appearance, or a degree of uncertainty, thus weakening the direct assertion of the original statement. While the described event is the same, the speaker's commitment to its factual truth is altered."
364,A man in a raincoat moves some objects around.,A man wearing a raincoat shifts some items about.,True,"All key components of the perturbed hypothesis (wearing a raincoat, shifts, items, about) are direct synonyms or very close paraphrases of the original hypothesis (in a raincoat, moves, objects, around). The overall meaning remains identical.",Some objects are moved around by a man in a raincoat.,True,"The perturbed hypothesis is a passive voice rephrasing of the original active voice sentence. Both sentences convey the same action, agent, and objects, thus preserving the meaning.",A man in a raincoat seems to move some objects around.,False,"The original hypothesis states a direct action, while the perturbed hypothesis uses 'seems to move,' which introduces an element of appearance or uncertainty, rather than a definitive action. This changes the certainty of the action taking place."
380,A dog is walking down a mountain.,A dog is descending a mountain.,True,"'Descending' is a direct synonym for 'walking down' or 'going down' in this context, accurately conveying the action of moving from a higher to a lower point on the mountain by the dog.",A mountain is being walked down by a dog.,True,The perturbed hypothesis is a passive voice construction of the original active voice sentence. Both sentences describe the same action: a dog walking down a mountain. The agent (dog) and the action remain consistent.,It seems a dog is walking down a mountain.,False,"The original hypothesis states a fact directly. The perturbed hypothesis adds 'It seems', which introduces an element of uncertainty or perception, implying that the speaker is not asserting it as a definite fact but rather as an appearance or an inference. This changes the modality and level of certainty of the statement."
391,A woman is sitting in her car in traffic.,A female is seated in her vehicle amidst vehicular congestion.,True,"The perturbed hypothesis uses synonymous and slightly more formal language ('female' for 'woman', 'seated' for 'sitting', 'vehicle' for 'car', 'vehicular congestion' for 'traffic') but fully preserves the original meaning without any change or flipping of the core message.",It is in traffic that a woman is sitting in her car.,True,"The perturbed hypothesis uses a cleft sentence construction to emphasize 'in traffic', but it describes the exact same scene and action as the original hypothesis without altering any factual information.",A woman appears to be sitting in her car in traffic.,False,"The original hypothesis states a fact ('A woman is sitting...'), while the perturbed hypothesis introduces an element of perception or uncertainty ('A woman appears to be sitting...'). This weakens the certainty of the statement, indicating that it looks like she is sitting, but not definitively confirming that she is."
392,Two people are riding the horse.,A couple of individuals are riding the horse.,True,"'Two people' is semantically equivalent to 'a couple of individuals' in this context, as 'a couple of' typically refers to two, and 'individuals' is a synonym for 'people'.",The horse is being ridden by two people.,True,"The perturbed hypothesis is a passive voice construction of the original active voice sentence. Both convey the identical action and participants, with 'two people' as the riders and 'the horse' as the ridden object.","Apparently, two people are riding the horse.",False,"The adverb 'apparently' introduces a nuance of inference, indirect observation, or a perceived likelihood rather than a direct, certain statement of fact. While the core event (two people riding a horse) is the same, the speaker's epistemic stance or level of certainty about that event is altered, thereby changing the overall meaning."
396,Some people playing on ground.,A few individuals are playing on the floor.,False,"The original 'on ground' typically implies an outdoor setting, while 'on the floor' refers to an indoor surface, which changes the implied location of the activity.",There are some people playing on the ground.,True,"The perturbed hypothesis adds an existential 'There are' and a definite article 'the', making the sentence more grammatically complete and natural, but it does not change the core meaning that a group of people are playing on a ground surface. The information conveyed is identical.",It appears that some people are playing on the ground.,False,"The original hypothesis makes a direct statement. The perturbed hypothesis adds the phrase 'It appears that,' which introduces an element of observation, inference, or less certain judgment, rather than a direct assertion of fact. This changes the epistemic modality and therefore alters the nuance of the meaning."
398,The tree is a fern.,The arboreal growth is a fern.,True,'Arboreal growth' is a synonymous or closely related descriptive phrase for 'tree' in this context. Both sentences make the same assertion that a tree-like plant is a fern.,The tree's identity is a fern.,True,The phrase 'the tree's identity is a fern' semantically implies that 'the tree is a fern'. The perturbed version is a more verbose way of expressing the same direct identification.,The tree seems to be a fern.,False,"The original hypothesis makes a definitive statement ('is'), while the perturbed hypothesis introduces uncertainty or subjective appearance ('seems to be'). This changes the certainty of the assertion."
