id,cot_original_parsed,cot_lexical_parsed,cot_syntactic_parsed,cot_contextual_parsed
275,"[{""step_text"": ""the total distance is 9000 meters."", ""derived_number_str"": ""9000"", ""derived_value"": 9000.0, ""preceding_context"": ""1000 meters,"", ""is_final_answer"": false}, {""step_text"": ""= 3000 steps"", ""derived_number_str"": ""3000"", ""derived_value"": 3000.0, ""preceding_context"": ""3 meters ="", ""is_final_answer"": false}, {""step_text"": ""6 * 3000 * 4 = 6 * 12000"", ""derived_number_str"": ""12000"", ""derived_value"": 12000.0, ""preceding_context"": ""flowers/step ="", ""is_final_answer"": false}, {""step_text"": ""= 72000"", ""derived_number_str"": ""72000"", ""derived_value"": 72000.0, ""preceding_context"": ""12000 ="", ""is_final_answer"": true}]","[{""step_text"": ""9 km \u00f7 3 m/step = 3000 m \u00f7 3 m/step"", ""derived_number_str"": ""3000"", ""derived_value"": 3000.0, ""preceding_context"": ""takes 9 km \u00f7 3 m/step ="", ""is_final_answer"": false}, {""step_text"": ""3000 m \u00f7 3 m/step = 1000 steps"", ""derived_number_str"": ""1000"", ""derived_value"": 1000.0, ""preceding_context"": ""m \u00f7 3 m/step ="", ""is_final_answer"": false}, {""step_text"": ""1000 steps/unicorn * 4 flowers/step = 4000 flowers"", ""derived_number_str"": ""4000"", ""derived_value"": 4000.0, ""preceding_context"": ""flowers/step ="", ""is_final_answer"": false}, {""step_text"": ""4000 flowers/unicorn * 6 unicorns = 24,000 flowers"", ""derived_number_str"": ""24,000"", ""derived_value"": 24000.0, ""preceding_context"": ""* 6 unicorns ="", ""is_final_answer"": false}, {""step_text"": ""24,000 flowers."", ""derived_number_str"": ""24,000"", ""derived_value"": 24000.0, ""preceding_context"": ""Final Answer: "", ""is_final_answer"": true}]","[{""step_text"": ""Number of steps = 9,000 meters / 3 meters"", ""derived_number_str"": ""3,000"", ""derived_value"": 3000.0, ""preceding_context"": ""Number of steps ="", ""is_final_answer"": false}, {""step_text"": ""Total number of steps = 3,000 steps * 6 unicorns"", ""derived_number_str"": ""18,000"", ""derived_value"": 18000.0, ""preceding_context"": ""Total number of steps ="", ""is_final_answer"": false}, {""step_text"": ""Total number of flowers = 4 flowers * 18,000 steps"", ""derived_number_str"": ""72,000"", ""derived_value"": 72000.0, ""preceding_context"": ""Total number of flowers ="", ""is_final_answer"": true}]","[{""step_text"": ""6 * 3 meters"", ""derived_number_str"": ""18"", ""derived_value"": 18.0, ""preceding_context"": ""Combined stride length ="", ""is_final_answer"": false}, {""step_text"": ""6 * 4"", ""derived_number_str"": ""24"", ""derived_value"": 24.0, ""preceding_context"": ""Total number of flowers ="", ""is_final_answer"": true}]"
276,"[{""step_text"": ""2.5 * 12 = 30"", ""derived_number_str"": ""30"", ""derived_value"": 30.0, ""preceding_context"": ""dozen = 2.5"", ""is_final_answer"": false}, {""step_text"": ""5 * 12 = 60"", ""derived_number_str"": ""60"", ""derived_value"": 60.0, ""preceding_context"": ""dozens = 5"", ""is_final_answer"": false}, {""step_text"": ""90 pieces"", ""derived_number_str"": ""90"", ""derived_value"": 90.0, ""preceding_context"": ""Final Answer:"", ""is_final_answer"": true}]","[{""step_text"": ""2.5 * 12 = 30"", ""derived_number_str"": ""30"", ""derived_value"": 30.0, ""preceding_context"": ""equal to"", ""is_final_answer"": false}, {""step_text"": ""5 * 12 = 60"", ""derived_number_str"": ""60"", ""derived_value"": 60.0, ""preceding_context"": ""equal to"", ""is_final_answer"": false}, {""step_text"": ""30 + 60 = 90"", ""derived_number_str"": ""90"", ""derived_value"": 90.0, ""preceding_context"": ""number of avocados:"", ""is_final_answer"": true}]","[{""step_text"": ""2.5 * 12 = 30"", ""derived_number_str"": ""30"", ""derived_value"": 30.0, ""preceding_context"": ""dozen lemons = "", ""is_final_answer"": false}, {""step_text"": ""5 * 12 = 60"", ""derived_number_str"": ""60"", ""derived_value"": 60.0, ""preceding_context"": ""dozen avocados = "", ""is_final_answer"": false}, {""step_text"": ""30 lemons + 60 avocados = 90"", ""derived_number_str"": ""90"", ""derived_value"": 90.0, ""preceding_context"": ""lemons + 60 avocados = "", ""is_final_answer"": true}]","[{""step_text"": ""2.5 * 12 = 30"", ""derived_number_str"": ""30"", ""derived_value"": 30.0, ""preceding_context"": ""dozen = 2.5 * 12 ="", ""is_final_answer"": false}, {""step_text"": ""5 * 12 = 60"", ""derived_number_str"": ""60"", ""derived_value"": 60.0, ""preceding_context"": ""dozen = 5 * 12 ="", ""is_final_answer"": false}, {""step_text"": ""90 pieces of fruit were sold."", ""derived_number_str"": ""90"", ""derived_value"": 90.0, ""preceding_context"": ""Final Answer:"", ""is_final_answer"": true}]"
278,"[{""step_text"": ""336 - 124 = 212"", ""derived_number_str"": ""212"", ""derived_value"": 212.0, ""preceding_context"": ""after Monday is:"", ""is_final_answer"": false}, {""step_text"": ""212 + 22 = 234"", ""derived_number_str"": ""234"", ""derived_value"": 234.0, ""preceding_context"": ""after Tuesday is:"", ""is_final_answer"": true}]","[{""step_text"": ""= 212"", ""derived_number_str"": ""212"", ""derived_value"": 212.0, ""preceding_context"": ""336 - 124"", ""is_final_answer"": false}, {""step_text"": ""= 190"", ""derived_number_str"": ""190"", ""derived_value"": 190.0, ""preceding_context"": ""212 - 22"", ""is_final_answer"": true}]","[{""step_text"": ""336 - 124 = 212"", ""derived_number_str"": ""212"", ""derived_value"": 212.0, ""preceding_context"": ""initial number."", ""is_final_answer"": false}, {""step_text"": ""212 + 22 = 234"", ""derived_number_str"": ""234"", ""derived_value"": 234.0, ""preceding_context"": ""from Step 3."", ""is_final_answer"": true}]","[{""step_text"": ""336 - 124 = 212"", ""derived_number_str"": ""212"", ""derived_value"": 212.0, ""preceding_context"": ""books remaining is"", ""is_final_answer"": false}, {""step_text"": ""212 + 22 = 234"", ""derived_number_str"": ""234"", ""derived_value"": 234.0, ""preceding_context"": ""now available is"", ""is_final_answer"": true}]"
280,"[{""step_text"": ""15 * 2"", ""derived_number_str"": ""30"", ""derived_value"": 30.0, ""preceding_context"": ""bottles = "", ""is_final_answer"": false}, {""step_text"": ""15 * 3"", ""derived_number_str"": ""45"", ""derived_value"": 45.0, ""preceding_context"": ""bottles = "", ""is_final_answer"": false}, {""step_text"": ""30 + 45"", ""derived_number_str"": ""75"", ""derived_value"": 75.0, ""preceding_context"": ""stars = "", ""is_final_answer"": true}]","[{""step_text"": ""2 * 15"", ""derived_number_str"": ""30"", ""derived_value"": 30.0, ""preceding_context"": ""Initial stars = "", ""is_final_answer"": false}, {""step_text"": ""5"", ""derived_number_str"": ""5"", ""derived_value"": 5.0, ""preceding_context"": ""bottles is now"", ""is_final_answer"": false}, {""step_text"": ""5 * 15"", ""derived_number_str"": ""75"", ""derived_value"": 75.0, ""preceding_context"": ""Total stars = "", ""is_final_answer"": true}]","[{""step_text"": ""2 * 15 = <30>"", ""derived_number_str"": ""30"", ""derived_value"": 30.0, ""preceding_context"": ""he has"", ""is_final_answer"": false}, {""step_text"": ""3 * 15 = <45>"", ""derived_number_str"": ""45"", ""derived_value"": 45.0, ""preceding_context"": ""additional"", ""is_final_answer"": false}, {""step_text"": ""30 + 45 = <75>"", ""derived_number_str"": ""75"", ""derived_value"": 75.0, ""preceding_context"": ""purchases:"", ""is_final_answer"": true}]","[{""step_text"": ""2 * 15"", ""derived_number_str"": ""30"", ""derived_value"": 30.0, ""preceding_context"": ""Stars per bottle"", ""is_final_answer"": false}, {""step_text"": ""3 * 15"", ""derived_number_str"": ""45"", ""derived_value"": 45.0, ""preceding_context"": ""Stars per bottle"", ""is_final_answer"": false}, {""step_text"": ""30 + 45"", ""derived_number_str"": ""75"", ""derived_value"": 75.0, ""preceding_context"": ""Stars for new bottles"", ""is_final_answer"": true}]"
288,"[{""step_text"": ""5/1 * 85 = 17"", ""derived_number_str"": ""17"", ""derived_value"": 17.0, ""preceding_context"": ""calculating 5/1 * 85"", ""is_final_answer"": false}, {""step_text"": ""17 + 9 = 26"", ""derived_number_str"": ""26"", ""derived_value"": 26.0, ""preceding_context"": ""worms is 17 + 9"", ""is_final_answer"": false}, {""step_text"": ""85 - 17 - 26 = 42"", ""derived_number_str"": ""42"", ""derived_value"": 42.0, ""preceding_context"": ""Answer: 85 - 17 - 26"", ""is_final_answer"": true}]","[{""step_text"": ""1/5"", ""derived_number_str"": ""0.2"", ""derived_value"": 0.2, ""preceding_context"": ""Percentage with worms)"", ""is_final_answer"": false}, {""step_text"": ""85 * 0.2"", ""derived_number_str"": ""17"", ""derived_value"": 17.0, ""preceding_context"": ""= 85 * (1/5)"", ""is_final_answer"": false}, {""step_text"": ""17 + 9"", ""derived_number_str"": ""26"", ""derived_value"": 26.0, ""preceding_context"": ""apples with worms) + 9"", ""is_final_answer"": false}, {""step_text"": ""85 - 17 - 26"", ""derived_number_str"": ""42"", ""derived_value"": 42.0, ""preceding_context"": ""Number of bruised apples)"", ""is_final_answer"": true}]","[{""step_text"": ""(1/5) * 85 = 17"", ""derived_number_str"": ""17"", ""derived_value"": 17.0, ""preceding_context"": ""of 85 apples ="", ""is_final_answer"": false}, {""step_text"": ""17 + 9 = 26"", ""derived_number_str"": ""26"", ""derived_value"": 26.0, ""preceding_context"": ""apples is:"", ""is_final_answer"": false}, {""step_text"": ""85 - 17 - 26 = 42"", ""derived_number_str"": ""42"", ""derived_value"": 42.0, ""preceding_context"": ""worm-free apples"", ""is_final_answer"": true}]","[{""step_text"": ""85 * (5/10) = 17"", ""derived_number_str"": ""17"", ""derived_value"": 17.0, ""preceding_context"": ""have worms, so there are"", ""is_final_answer"": false}, {""step_text"": ""17 + 9 = 26"", ""derived_number_str"": ""26"", ""derived_value"": 26.0, ""preceding_context"": ""bruised, so there are"", ""is_final_answer"": false}, {""step_text"": ""85 - 17 - 26 = 42"", ""derived_number_str"": ""42"", ""derived_value"": 42.0, ""preceding_context"": ""wormy and bruised apples:"", ""is_final_answer"": true}]"
290,"[{""step_text"": ""= 5 laps * 100 feet/lap"", ""derived_number_str"": ""500"", ""derived_value"": 500.0, ""preceding_context"": ""Feet per lap"", ""is_final_answer"": false}, {""step_text"": ""= 500 feet/night / 25 feet/calorie"", ""derived_number_str"": ""20"", ""derived_value"": 20.0, ""preceding_context"": ""burned per foot"", ""is_final_answer"": false}, {""step_text"": ""= 20 calories/night * 5 nights"", ""derived_number_str"": ""100"", ""derived_value"": 100.0, ""preceding_context"": ""Number of nights"", ""is_final_answer"": true}]","[{""step_text"": ""5 laps * 100 feet/lap"", ""derived_number_str"": ""500"", ""derived_value"": 500.0, ""preceding_context"": ""one night = "", ""is_final_answer"": false}, {""step_text"": ""500 feet * 25 calories/foot"", ""derived_number_str"": ""12,500"", ""derived_value"": 12500.0, ""preceding_context"": ""one night = "", ""is_final_answer"": false}, {""step_text"": ""12,500 calories/night * 5 nights"", ""derived_number_str"": ""62,500"", ""derived_value"": 62500.0, ""preceding_context"": ""in 5 days = "", ""is_final_answer"": true}]","[{""step_text"": ""= 5 laps * 100 feet/lap\n= 500 feet"", ""derived_number_str"": ""500"", ""derived_value"": 500.0, ""preceding_context"": ""Feet per lap\n= "", ""is_final_answer"": false}, {""step_text"": ""= 500 feet / 25 feet/calorie\n= 20 calories"", ""derived_number_str"": ""20"", ""derived_value"": 20.0, ""preceding_context"": ""Calories per foot\n= "", ""is_final_answer"": false}, {""step_text"": ""= 20 calories/night * 5 nights\n= 100 calories"", ""derived_number_str"": ""100"", ""derived_value"": 100.0, ""preceding_context"": ""Number of nights\n= "", ""is_final_answer"": true}]","[{""step_text"": ""Total distance = 5 laps * 100 feet/lap"", ""derived_number_str"": ""500"", ""derived_value"": 500.0, ""preceding_context"": ""Total distance ="", ""is_final_answer"": false}, {""step_text"": ""Total distance = 500 feet / (1 mile / 5280 feet)"", ""derived_number_str"": ""0.000956"", ""derived_value"": 0.000956, ""preceding_context"": ""Total distance ="", ""is_final_answer"": false}, {""step_text"": ""Calories burned = 0.000956 miles * 25 calories/mile"", ""derived_number_str"": ""0.0239"", ""derived_value"": 0.0239, ""preceding_context"": ""Calories burned ="", ""is_final_answer"": false}, {""step_text"": ""Calories burned per day = 0.0239 calories * 5 days"", ""derived_number_str"": ""0.01195"", ""derived_value"": 0.01195, ""preceding_context"": ""Calories burned per day ="", ""is_final_answer"": false}, {""step_text"": ""Total calories burned = 0.01195 calories * 5 days"", ""derived_number_str"": ""0.05975"", ""derived_value"": 0.05975, ""preceding_context"": ""Total calories burned ="", ""is_final_answer"": true}]"
291,"[{""step_text"": ""15 minutes is 1/4 hour"", ""derived_number_str"": ""1/4"", ""derived_value"": 0.25, ""preceding_context"": ""an hour, so"", ""is_final_answer"": false}, {""step_text"": ""(25/100)"", ""derived_number_str"": ""25/100"", ""derived_value"": 0.25, ""preceding_context"": ""5/25) + ("", ""is_final_answer"": false}, {""step_text"": ""The least common multiple of 25 and 100 is 100."", ""derived_number_str"": ""100"", ""derived_value"": 100.0, ""preceding_context"": ""and 100 is"", ""is_final_answer"": false}, {""step_text"": ""(5/10)"", ""derived_number_str"": ""5/10"", ""derived_value"": 0.5, ""preceding_context"": ""5/25) + ("", ""is_final_answer"": false}, {""step_text"": ""(20)"", ""derived_number_str"": ""20"", ""derived_value"": 20.0, ""preceding_context"": ""Total Time = ("", ""is_final_answer"": false}, {""step_text"": ""8/25 hour"", ""derived_number_str"": ""8/25"", ""derived_value"": 0.32, ""preceding_context"": ""Total Time ="", ""is_final_answer"": true}]","[{""step_text"": ""15/60"", ""derived_number_str"": ""0.25"", ""derived_value"": 0.25, ""preceding_context"": ""t -"", ""is_final_answer"": false}, {""step_text"": ""3"", ""derived_number_str"": ""3"", ""derived_value"": 3.0, ""preceding_context"": ""20t -"", ""is_final_answer"": false}, {""step_text"": ""22"", ""derived_number_str"": ""22"", ""derived_value"": 22.0, ""preceding_context"": ""we have"", ""is_final_answer"": false}, {""step_text"": ""60"", ""derived_number_str"": ""60"", ""derived_value"": 60.0, ""preceding_context"": ""t ="", ""is_final_answer"": false}, {""step_text"": ""2.73"", ""derived_number_str"": ""2.73"", ""derived_value"": 2.73, ""preceding_context"": ""t ="", ""is_final_answer"": true}]","[{""step_text"": ""15 minutes * 60 minutes/hour"", ""derived_number_str"": ""900"", ""derived_value"": 900.0, ""preceding_context"": ""cat covers is:"", ""is_final_answer"": false}, {""step_text"": ""900 minutes * 20 mph"", ""derived_number_str"": ""18,000"", ""derived_value"": 18000.0, ""preceding_context"": ""minutes/hour ="", ""is_final_answer"": false}, {""step_text"": ""18,000 minutes * 0.04"", ""derived_number_str"": ""720"", ""derived_value"": 720.0, ""preceding_context"": ""miles -"", ""is_final_answer"": false}, {""step_text"": ""18,000 miles - 720 miles"", ""derived_number_str"": ""17,280"", ""derived_value"": 17280.0, ""preceding_context"": ""T = ("", ""is_final_answer"": false}, {""step_text"": ""17,280 miles / 0.1"", ""derived_number_str"": ""172,800"", ""derived_value"": 172800.0, ""preceding_context"": ""T ="", ""is_final_answer"": false}, {""step_text"": ""172,800 miles / 1"", ""derived_number_str"": ""172,800"", ""derived_value"": 172800.0, ""preceding_context"": ""T ="", ""is_final_answer"": false}, {""step_text"": ""172,800 miles / 25 mph"", ""derived_number_str"": ""6,912"", ""derived_value"": 6912.0, ""preceding_context"": ""T ="", ""is_final_answer"": false}, {""step_text"": ""6,912 hours"", ""derived_number_str"": ""6,912"", ""derived_value"": 6912.0, ""preceding_context"": ""T ="", ""is_final_answer"": true}]","[{""step_text"": ""D = 5 hours * 20 mph"", ""derived_number_str"": ""5"", ""derived_value"": 5.0, ""preceding_context"": ""D = "", ""is_final_answer"": false}, {""step_text"": ""D = 100 miles"", ""derived_number_str"": ""100"", ""derived_value"": 100.0, ""preceding_context"": ""D = "", ""is_final_answer"": false}, {""step_text"": ""T = 4 hours"", ""derived_number_str"": ""4"", ""derived_value"": 4.0, ""preceding_context"": ""T = "", ""is_final_answer"": false}, {""step_text"": ""4 hours and 0.25 hours"", ""derived_number_str"": ""0.25"", ""derived_value"": 0.25, ""preceding_context"": ""hours and "", ""is_final_answer"": false}, {""step_text"": ""4.25 hours"", ""derived_number_str"": ""4.25"", ""derived_value"": 4.25, ""preceding_context"": ""hours = "", ""is_final_answer"": true}]"
292,"[{""step_text"": ""Area = 2,000,000 square feet"", ""derived_number_str"": ""2,000,000"", ""derived_value"": 2000000.0, ""preceding_context"": ""400 ft * 500 ft"", ""is_final_answer"": false}, {""step_text"": ""Usable Area = 1,600,000 square feet"", ""derived_number_str"": ""1,600,000"", ""derived_value"": 1600000.0, ""preceding_context"": ""2,000,000 sq ft * 0.8"", ""is_final_answer"": false}, {""step_text"": ""Number of Cars = 160,000"", ""derived_number_str"": ""160,000"", ""derived_value"": 160000.0, ""preceding_context"": ""1,600,000 sq ft / 10 sq ft"", ""is_final_answer"": false}, {""step_text"": ""Final Answer: 160,000 cars can be parked."", ""derived_number_str"": ""160,000"", ""derived_value"": 160000.0, ""preceding_context"": ""Number of Cars = 160,000"", ""is_final_answer"": true}]","[{""step_text"": ""Total Area = 200,000 square feet"", ""derived_number_str"": ""200,000"", ""derived_value"": 200000.0, ""preceding_context"": ""Total Area ="", ""is_final_answer"": false}, {""step_text"": ""Usable Area = 160,000 square feet"", ""derived_number_str"": ""160,000"", ""derived_value"": 160000.0, ""preceding_context"": ""Usable Area ="", ""is_final_answer"": false}, {""step_text"": ""Number of cars = 16,000 cars"", ""derived_number_str"": ""16,000"", ""derived_value"": 16000.0, ""preceding_context"": ""Number of cars ="", ""is_final_answer"": false}, {""step_text"": ""Final Answer: 16,000 cars"", ""derived_number_str"": ""16,000"", ""derived_value"": 16000.0, ""preceding_context"": ""Final Answer:"", ""is_final_answer"": true}]","[{""step_text"": ""Total Area = 200,000 sq ft"", ""derived_number_str"": ""200,000"", ""derived_value"": 200000.0, ""preceding_context"": ""Total Area ="", ""is_final_answer"": false}, {""step_text"": ""Usable Area = 160,000 sq ft"", ""derived_number_str"": ""160,000"", ""derived_value"": 160000.0, ""preceding_context"": ""Usable Area ="", ""is_final_answer"": false}, {""step_text"": ""Number of cars = 16,000"", ""derived_number_str"": ""16,000"", ""derived_value"": 16000.0, ""preceding_context"": ""Number of cars ="", ""is_final_answer"": true}]","[{""step_text"": ""Total Area = 200,000 sq ft"", ""derived_number_str"": ""200,000"", ""derived_value"": 200000.0, ""preceding_context"": ""Total Area ="", ""is_final_answer"": false}, {""step_text"": ""Usable Area = 160,000 sq ft"", ""derived_number_str"": ""160,000"", ""derived_value"": 160000.0, ""preceding_context"": ""Usable Area ="", ""is_final_answer"": false}, {""step_text"": ""Number of Cars = 16,000"", ""derived_number_str"": ""16,000"", ""derived_value"": 16000.0, ""preceding_context"": ""Number of Cars ="", ""is_final_answer"": false}, {""step_text"": ""Final Answer: 16,000 cars."", ""derived_number_str"": ""16,000"", ""derived_value"": 16000.0, ""preceding_context"": ""Final Answer:"", ""is_final_answer"": true}]"
293,"[{""step_text"": ""2 * 30"", ""derived_number_str"": ""60"", ""derived_value"": 60.0, ""preceding_context"": ""Max fills ="", ""is_final_answer"": false}, {""step_text"": ""3 * 40"", ""derived_number_str"": ""120"", ""derived_value"": 120.0, ""preceding_context"": ""Zach fills ="", ""is_final_answer"": false}, {""step_text"": ""60 + 120 - 10"", ""derived_number_str"": ""190"", ""derived_value"": 190.0, ""preceding_context"": ""filled balloons ="", ""is_final_answer"": true}]","[{""step_text"": ""2 balloons/minute * 30 minutes = 60"", ""derived_number_str"": ""60"", ""derived_value"": 60.0, ""preceding_context"": ""Max fills:"", ""is_final_answer"": false}, {""step_text"": ""3 balloons/minute * 40 minutes = 120"", ""derived_number_str"": ""120"", ""derived_value"": 120.0, ""preceding_context"": ""Zach fills:"", ""is_final_answer"": false}, {""step_text"": ""60 balloons (Max) + 120 balloons (Zach) - 10 balloons (popped) = 190"", ""derived_number_str"": ""190"", ""derived_value"": 190.0, ""preceding_context"": ""remaining filled is:"", ""is_final_answer"": true}]","[{""step_text"": ""2 balloons/minute * 30 minutes = 60 balloons"", ""derived_number_str"": ""60"", ""derived_value"": 60.0, ""preceding_context"": ""so he makes:"", ""is_final_answer"": false}, {""step_text"": ""3 balloons/minute * 40 minutes = 120 balloons"", ""derived_number_str"": ""120"", ""derived_value"": 120.0, ""preceding_context"": ""so he makes:"", ""is_final_answer"": false}, {""step_text"": ""60 balloons (Max) + 120 balloons (Zach) - 10 balloons (popped) = 190 balloons"", ""derived_number_str"": ""190"", ""derived_value"": 190.0, ""preceding_context"": ""balloons is:"", ""is_final_answer"": true}]","[{""step_text"": ""Max's balloons = 60"", ""derived_number_str"": ""60"", ""derived_value"": 60.0, ""preceding_context"": ""Max's balloons = 2 * 30"", ""is_final_answer"": false}, {""step_text"": ""Zach's balloons = 120"", ""derived_number_str"": ""120"", ""derived_value"": 120.0, ""preceding_context"": ""Zach's balloons = 3 * 40"", ""is_final_answer"": false}, {""step_text"": ""Total balloons filled = 180"", ""derived_number_str"": ""180"", ""derived_value"": 180.0, ""preceding_context"": ""Total balloons filled = 60 + 120"", ""is_final_answer"": false}, {""step_text"": ""Number of balloons remaining = 170"", ""derived_number_str"": ""170"", ""derived_value"": 170.0, ""preceding_context"": ""remaining = 180 - 10"", ""is_final_answer"": true}]"
294,"[{""step_text"": ""= 40 * $0.8"", ""derived_number_str"": ""32"", ""derived_value"": 32.0, ""preceding_context"": ""Price per cookie"", ""is_final_answer"": false}, {""step_text"": ""= 30 * $2"", ""derived_number_str"": ""60"", ""derived_value"": 60.0, ""preceding_context"": ""Price per cupcake"", ""is_final_answer"": false}, {""step_text"": ""= $32 + $60"", ""derived_number_str"": ""92"", ""derived_value"": 92.0, ""preceding_context"": ""Revenue from cupcakes"", ""is_final_answer"": false}, {""step_text"": ""= 2 * $6.5"", ""derived_number_str"": ""13"", ""derived_value"": 13.0, ""preceding_context"": ""Price per set"", ""is_final_answer"": false}, {""step_text"": ""= $92 - $13"", ""derived_number_str"": ""89"", ""derived_value"": 89.0, ""preceding_context"": ""Cost of measuring spoons"", ""is_final_answer"": true}]","[{""step_text"": ""= 40 * $0.80"", ""derived_number_str"": ""32"", ""derived_value"": 32.0, ""preceding_context"": ""Price per cookie"", ""is_final_answer"": false}, {""step_text"": ""= 30 * $2"", ""derived_number_str"": ""60"", ""derived_value"": 60.0, ""preceding_context"": ""Price per cupcake"", ""is_final_answer"": false}, {""step_text"": ""= 2 * $6.50"", ""derived_number_str"": ""13"", ""derived_value"": 13.0, ""preceding_context"": ""Price per set"", ""is_final_answer"": false}, {""step_text"": ""= $32 + $60"", ""derived_number_str"": ""92"", ""derived_value"": 92.0, ""preceding_context"": ""Revenue from cupcakes"", ""is_final_answer"": false}, {""step_text"": ""= $92 - $13"", ""derived_number_str"": ""79"", ""derived_value"": 79.0, ""preceding_context"": ""measuring spoon sets"", ""is_final_answer"": true}]","[{""step_text"": ""= 40 * $0.80"", ""derived_number_str"": ""32"", ""derived_value"": 32.0, ""preceding_context"": ""Price per cookie"", ""is_final_answer"": false}, {""step_text"": ""= 30 * $2"", ""derived_number_str"": ""60"", ""derived_value"": 60.0, ""preceding_context"": ""Price per cupcake"", ""is_final_answer"": false}, {""step_text"": ""= 2 * $6.50"", ""derived_number_str"": ""13"", ""derived_value"": 13.0, ""preceding_context"": ""Price per set"", ""is_final_answer"": false}, {""step_text"": ""= $32 + $60"", ""derived_number_str"": ""92"", ""derived_value"": 92.0, ""preceding_context"": ""Revenue from cupcakes"", ""is_final_answer"": false}, {""step_text"": ""= $92 - $13"", ""derived_number_str"": ""79"", ""derived_value"": 79.0, ""preceding_context"": ""Cost of measuring spoons"", ""is_final_answer"": true}]","[{""step_text"": ""Total revenue = $32.80"", ""derived_number_str"": ""32.80"", ""derived_value"": 32.8, ""preceding_context"": ""calculations.\nTotal revenue ="", ""is_final_answer"": false}, {""step_text"": ""Cost of spoon sets = $13.00"", ""derived_number_str"": ""13.00"", ""derived_value"": 13.0, ""preceding_context"": ""Cost of spoon sets ="", ""is_final_answer"": false}, {""step_text"": ""Cash on hand = $29.80"", ""derived_number_str"": ""29.80"", ""derived_value"": 29.8, ""preceding_context"": ""Cash on hand ="", ""is_final_answer"": true}]"
295,"[{""step_text"": ""42 minutes / 60 minutes/hour = 0.7 hours"", ""derived_number_str"": ""0.7"", ""derived_value"": 0.7, ""preceding_context"": ""minutes/hour ="", ""is_final_answer"": false}, {""step_text"": ""Distance = 35 miles"", ""derived_number_str"": ""35"", ""derived_value"": 35.0, ""preceding_context"": ""Distance ="", ""is_final_answer"": true}]","[{""step_text"": ""42/60 = 0.7"", ""derived_number_str"": ""0.7"", ""derived_value"": 0.7, ""preceding_context"": ""42 minutes = "", ""is_final_answer"": false}, {""step_text"": ""Final Answer: 35 miles."", ""derived_number_str"": ""35"", ""derived_value"": 35.0, ""preceding_context"": ""mph * 0.7 hours"", ""is_final_answer"": true}]","[{""step_text"": ""42/60 hours = 0.7 hours"", ""derived_number_str"": ""0.7"", ""derived_value"": 0.7, ""preceding_context"": ""minutes = 42/60"", ""is_final_answer"": false}, {""step_text"": ""50 mph * 0.7 hours = 35 miles"", ""derived_number_str"": ""35"", ""derived_value"": 35.0, ""preceding_context"": ""0.7 hours ="", ""is_final_answer"": true}]","[{""step_text"": ""42 / 60 hours = 0.7"", ""derived_number_str"": ""0.7"", ""derived_value"": 0.7, ""preceding_context"": ""minutes = 42 /"", ""is_final_answer"": false}, {""step_text"": ""50 * 0.7 = 35"", ""derived_number_str"": ""35"", ""derived_value"": 35.0, ""preceding_context"": ""Distance = 50 *"", ""is_final_answer"": true}]"
296,"[{""step_text"": ""5 feet - 2 feet"", ""derived_number_str"": ""3"", ""derived_value"": 3.0, ""preceding_context"": ""displacement is"", ""is_final_answer"": false}, {""step_text"": ""11 * 3"", ""derived_number_str"": ""33"", ""derived_value"": 33.0, ""preceding_context"": ""Answer: 11"", ""is_final_answer"": true}]","[{""step_text"": ""5 feet - 2 feet = 3 feet"", ""derived_number_str"": ""3"", ""derived_value"": 3.0, ""preceding_context"": ""one gust is"", ""is_final_answer"": false}, {""step_text"": ""3 feet * 11 = 33 feet"", ""derived_number_str"": ""33"", ""derived_value"": 33.0, ""preceding_context"": ""distance of"", ""is_final_answer"": true}]","[{""step_text"": ""5 feet/gust * 11 gusts = 55 feet"", ""derived_number_str"": ""55"", ""derived_value"": 55.0, ""preceding_context"": ""travels is:"", ""is_final_answer"": true}]","[{""step_text"": ""5 feet - 2 feet"", ""derived_number_str"": ""3"", ""derived_value"": 3.0, ""preceding_context"": ""per gust = "", ""is_final_answer"": false}, {""step_text"": ""3 feet * 11"", ""derived_number_str"": ""33"", ""derived_value"": 33.0, ""preceding_context"": ""distance = "", ""is_final_answer"": true}]"
