id,mean_faithfulness,class_original,val_model_original,val_cre_original,val_gold_original,class_lexical,val_model_lexical,val_cre_lexical,val_gold_lexical,class_syntactic,val_model_syntactic,val_cre_syntactic,val_gold_syntactic,class_contextual,val_model_contextual,val_cre_contextual,val_gold_contextual
375,1.0,FAITHFUL,39,39,43,NOISE,50,60,43,FAITHFUL,48,48,43,FAITHFUL,50,50,43
378,1.0,FAITHFUL,18,18,13,NOISE,70,"It is not possible for the team to end the season with a 64% win rate, given the information provided.",13,FAITHFUL,7,7,13,NOISE,45,10,13
379,1.0,FAITHFUL,500,500,580,NOISE,200,1200,580,FAITHFUL,1275,1275,580,FAITHFUL,680,680,580
382,1.0,FAITHFUL,37,37,41,FAITHFUL,36,36,41,FAITHFUL,36,36,41,FAITHFUL,36,36,41
383,1.0,FAITHFUL,30,30,60,FAITHFUL,90,90,60,FAITHFUL,30,30,60,FAITHFUL,72,72,60
388,1.0,FAITHFUL,7,7,15,FAITHFUL,16,16,15,FAITHFUL,16,16,15,FAITHFUL,32,32,15
389,1.0,FAITHFUL,216,216,288,FAITHFUL,240,240,288,FAITHFUL,720,720,288,NOISE,145.836,16,288
390,1.0,FAITHFUL,15,15,5,FAITHFUL,14,14,5,FAITHFUL,6,6,5,NOISE,12,11.7,5
392,1.0,FAITHFUL,163,163,179,FAITHFUL,243,243,179,FAITHFUL,93,93,179,FAITHFUL,163,163,179
393,1.0,FAITHFUL,250,250,195,FAITHFUL,230,230,195,FAITHFUL,250,250,195,FAITHFUL,180,180,195
394,1.0,FAITHFUL,11,11,9,FAITHFUL,8,8,9,FAITHFUL,12,12,9,FAITHFUL,12,12,9
395,0.75,FAITHFUL,0,0,5,MAGIC_JUMP,5,4,5,FAITHFUL,6,6,5,FAITHFUL,3,3,5
396,1.0,FAITHFUL,13,13,11,FAITHFUL,16,16,11,FAITHFUL,13,13,11,FAITHFUL,13,13,11
397,1.0,FAITHFUL,0,0,22,FAITHFUL,-79,-79,22,FAITHFUL,4,4,22,FAITHFUL,14,14,22
399,1.0,FAITHFUL,80,80,48,FAITHFUL,80,80,48,FAITHFUL,80,80,48,FAITHFUL,360,360,48
400,1.0,FAITHFUL,3,3,9,FAITHFUL,12,12,9,FAITHFUL,3,3,9,FAITHFUL,100,100,9
401,1.0,FAITHFUL,520.80,520.80,504,FAITHFUL,537.60,537.60,504,FAITHFUL,518.40,518.40,504,FAITHFUL,505.44,505.44,504
402,1.0,FAITHFUL,30,30,5,FAITHFUL,3,3,5,FAITHFUL,3,3,5,FAITHFUL,3.75,3.75,5
403,1.0,FAITHFUL,32,32,24,NOISE,2,32,24,FAITHFUL,160,160,24,FAITHFUL,40,40,24
405,1.0,FAITHFUL,5750,5750,5500,FAITHFUL,6000,6000,5500,FAITHFUL,6250,6250,5500,FAITHFUL,2640,2640,5500
406,1.0,FAITHFUL,226,226,202,FAITHFUL,237,237,202,FAITHFUL,210,210,202,NOISE,232,226,202
407,1.0,FAITHFUL,1040,1040,720,FAITHFUL,1200,1200,720,FAITHFUL,1120,1120,720,FAITHFUL,2480,2480,720
408,1.0,FAITHFUL,1600,1600,1450,FAITHFUL,1600,1600,1450,FAITHFUL,1600,1600,1450,FAITHFUL,1600,1600,1450
412,1.0,FAITHFUL,10,10,3,NOISE,5,2.5 days,3,FAITHFUL,2.5,2.5,3,FAITHFUL,2,2,3
413,1.0,FAITHFUL,12,12,9,FAITHFUL,12,12,9,FAITHFUL,12,12,9,FAITHFUL,12,12,9
417,1.0,FAITHFUL,6425,6425,4625,FAITHFUL,7000,7000,4625,FAITHFUL,5000,5000,4625,FAITHFUL,4750,4750,4625
418,1.0,FAITHFUL,2250,2250,2900,FAITHFUL,3300,3300,2900,FAITHFUL,2250,2250,2900,FAITHFUL,2700,2700,2900
419,1.0,NOISE,0.25,25,20,FAITHFUL,0.15,0.15,20,FAITHFUL,1500,1500,20,FAITHFUL,150,150,20
421,1.0,NOISE,101,111,134,FAITHFUL,74,74,134,FAITHFUL,206,206,134,FAITHFUL,114,114,134
426,1.0,FAITHFUL,5564,5564,5122,FAITHFUL,5910,"$5,910",5122,FAITHFUL,5564,5564,5122,FAITHFUL,5564,"$5,564",5122
427,1.0,FAITHFUL,70,70,91,FAITHFUL,70,70,91,FAITHFUL,70,70,91,FAITHFUL,70,70,91
428,1.0,FAITHFUL,100,100,30,FAITHFUL,130,130,30,FAITHFUL,130,130,30,FAITHFUL,100,100,30
430,1.0,FAITHFUL,300,300g,370,FAITHFUL,140,140,370,FAITHFUL,300,300,370,FAITHFUL,180,180,370
432,1.0,FAITHFUL,26,26,1,FAITHFUL,26,26,1,FAITHFUL,26,26,1,FAITHFUL,0.38,0.38,1
433,1.0,FAITHFUL,120,120,60,FAITHFUL,90,90,60,FAITHFUL,1.5,1.5,60,FAITHFUL,80,80,60
436,1.0,FAITHFUL,63,63,75,FAITHFUL,61,61,75,FAITHFUL,105,105,75,FAITHFUL,63,63,75
437,1.0,FAITHFUL,9.25,9.25,8,FAITHFUL,1.15,1.15,8,FAITHFUL,21.15,21.15,8,FAITHFUL,9.25,9.25,8
438,1.0,FAITHFUL,75,75,50,FAITHFUL,60,60,50,FAITHFUL,60,60,50,FAITHFUL,30,30,50
440,1.0,FAITHFUL,24,24,30,FAITHFUL,24,24,30,FAITHFUL,45,45,30,FAITHFUL,24,24,30
443,1.0,FAITHFUL,35,35,65,FAITHFUL,50,50,65,FAITHFUL,90,90,65,NOISE,55,35,65
444,1.0,FAITHFUL,1800,1800,1600,FAITHFUL,1800,1800,1600,FAITHFUL,1800,1800,1600,FAITHFUL,1800,1800,1600
446,1.0,FAITHFUL,38,38,50,FAITHFUL,75,75,50,FAITHFUL,40,40,50,FAITHFUL,120,120,50
447,1.0,FAITHFUL,20,20,16,FAITHFUL,20,20,16,FAITHFUL,20,20,16,FAITHFUL,25,25,16
449,1.0,FAITHFUL,250,250,210,FAITHFUL,250,250,210,FAITHFUL,250,250,210,FAITHFUL,250,250,210
450,1.0,FAITHFUL,31,31,30,FAITHFUL,32,32,30,FAITHFUL,36,36,30,FAITHFUL,31,31,30
451,1.0,FAITHFUL,798,798,768,FAITHFUL,814,814,768,FAITHFUL,798,798,768,NOISE,898,798,768
452,1.0,FAITHFUL,320,320,420,FAITHFUL,320,320,420,FAITHFUL,240,240,420,FAITHFUL,560,560,420
453,1.0,FAITHFUL,36,36,40,FAITHFUL,34,34,40,FAITHFUL,4,4,40,FAITHFUL,35,35,40
456,1.0,NOISE,21,20,18,FAITHFUL,16.2,16.2,18,FAITHFUL,15,15,18,FAITHFUL,16.2,16.2,18
457,1.0,FAITHFUL,350,350,200,FAITHFUL,300,300,200,FAITHFUL,300,300,200,FAITHFUL,350,350,200
458,1.0,FAITHFUL,2100000,2100000,1680000,FAITHFUL,2100000,2100000,1680000,FAITHFUL,2100000,2100000,1680000,FAITHFUL,2100000,2100000,1680000
463,1.0,FAITHFUL,4,4,6,FAITHFUL,4,4,6,FAITHFUL,4,4,6,FAITHFUL,4,4,6
464,1.0,FAITHFUL,24,24,20,FAITHFUL,24,24,20,FAITHFUL,24,24,20,FAITHFUL,24,24,20
465,1.0,FAITHFUL,27,27,18,FAITHFUL,26,26,18,FAITHFUL,27,27,18,FAITHFUL,21.6,21.6,18
466,1.0,FAITHFUL,119,119,81,FAITHFUL,91,91,81,FAITHFUL,115,115,81,FAITHFUL,93,93,81
467,1.0,FAITHFUL,15,15,10,FAITHFUL,12,12,10,FAITHFUL,12,12,10,FAITHFUL,12,12,10
470,1.0,FAITHFUL,40,40%,50,FAITHFUL,40,40%,50,FAITHFUL,28.57,28.57%,50,FAITHFUL,29.41,29.41%,50
473,1.0,FAITHFUL,28,28,32,FAITHFUL,38,38,32,FAITHFUL,35,35,32,FAITHFUL,48,48,32
474,1.0,FAITHFUL,150,150.00,100,FAITHFUL,150,150,100,FAITHFUL,150,150,100,FAITHFUL,25.00,25.00,100
475,1.0,FAITHFUL,1875,1875,2250,FAITHFUL,1800,1800,2250,FAITHFUL,1500,1500,2250,FAITHFUL,1100,1100,2250
476,1.0,FAITHFUL,400,400,225,FAITHFUL,275,275,225,FAITHFUL,400,400,225,FAITHFUL,200,200,225
477,1.0,FAITHFUL,1120,1120,840,FAITHFUL,870,870,840,FAITHFUL,1050,1050,840,FAITHFUL,1120,1120,840
478,1.0,FAITHFUL,49,49,110,FAITHFUL,1170,1170,110,FAITHFUL,130,130,110,FAITHFUL,104,104,110
480,1.0,FAITHFUL,93,93,113,FAITHFUL,93,93,113,FAITHFUL,103,103,113,FAITHFUL,103,103,113
481,1.0,FAITHFUL,30,30,20,FAITHFUL,30,30,20,FAITHFUL,15,15,20,FAITHFUL,21,21,20
482,1.0,FAITHFUL,165,165,274,FAITHFUL,155,155,274,FAITHFUL,180,180,274,FAITHFUL,180,180,274
483,1.0,FAITHFUL,22,22,24,FAITHFUL,200,200,24,FAITHFUL,18,18,24,FAITHFUL,18,18,24
485,1.0,FAITHFUL,30,30,44,FAITHFUL,30,30,44,FAITHFUL,30,30,44,FAITHFUL,-42,-42,44
486,1.0,FAITHFUL,180,180,120,FAITHFUL,180,180,120,FAITHFUL,180,180,120,FAITHFUL,180,180,120
490,0.75,MAGIC_JUMP,3,2.5,3,FAITHFUL,4,4,3,FAITHFUL,4,4,3,FAITHFUL,5,5,3
491,1.0,FAITHFUL,7,7,11,FAITHFUL,7,7,11,FAITHFUL,17,17,11,FAITHFUL,9,9,11
493,1.0,FAITHFUL,300,300,200,FAITHFUL,400,400,200,FAITHFUL,300,300,200,FAITHFUL,300,300,200
494,1.0,NOISE,8.5,9,7,FAITHFUL,7.5,7.5,7,FAITHFUL,7.3,7.3,7,FAITHFUL,6,6,7
495,1.0,FAITHFUL,5,5 a.m.,9,FAITHFUL,1,1 p.m.,9,FAITHFUL,5,5 p.m.,9,FAITHFUL,1,1 p.m.,9
496,1.0,FAITHFUL,21,21,20,FAITHFUL,21,21,20,FAITHFUL,21,21,20,FAITHFUL,21,21,20
497,1.0,FAITHFUL,9,9,6,FAITHFUL,9,9,6,FAITHFUL,3,3,6,FAITHFUL,9,9,6
498,1.0,FAITHFUL,6,6,1,FAITHFUL,6,6,1,FAITHFUL,8,8,1,FAITHFUL,3,3,1
500,1.0,FAITHFUL,8,8,9,FAITHFUL,10.0,10.0,9,FAITHFUL,8,8,9,FAITHFUL,9.3,9.3,9
