id,premise_text,evidence_original,evidence_lexical,evidence_syntactic,evidence_pragmatic
169,A motorcyclist speeds down the road.,"[""speeds down the road""]","[""road""]","[""A motorcyclist"", ""speeds down the road""]","[""speeds down the road""]"
170,A man with a beard& glasses is sleeping on public transportation while wearing a funny cap.,"[""sleeping"", ""public transportation""]","[""A man"", ""sleeping"", ""on public transportation""]","[""man"", ""sleeping"", ""public transportation""]","[""man"", ""sleeping"", ""public transportation""]"
171,A baseball player swings at an oncoming ball while the catcher gets ready and the umpire looks on.,"[""baseball player"", ""swings at an oncoming ball"", ""catcher"", ""umpire""]","[""baseball player"", ""swings at an oncoming ball"", ""catcher"", ""umpire""]","[""baseball player"", ""swings at an oncoming ball"", ""catcher"", ""umpire""]","[""baseball player"", ""catcher"", ""umpire""]"
173,"Eleven people gather in lake, group on left are male and conversing, group on right, male and female, walking further out into lake.","[""people"", ""lake""]","[""people"", ""in lake""]","[""people"", ""lake""]","[""people"", ""lake""]"
174,A group of men finish a fund raising run for Haiti in 28:24.,"[""A group of men"", ""run"", ""28:24""]","[""A group of men"", ""finish a fund raising run""]","[""A group of men"", ""finish a fund raising run"", ""in 28:24""]","[""A group of men"", ""finish a run"", ""28:24""]"
175,Three guys sitting on a sandy beach near the water and one is talking to the two little girls.,"[""guys"", ""sitting"", ""on a sandy beach"", ""near the water""]","[""on a sandy beach"", ""near the water""]","[""guys"", ""sitting"", ""on a sandy beach"", ""near the water""]","[""guys"", ""sitting on a sandy beach"", ""near the water""]"
177,Two young barefooted girls are climbing an old lava flow with their father and mother following close behind.,"[""young girls"", ""father"", ""mother"", ""climbing"", ""lava flow""]","[""Two young barefooted girls"", ""father and mother"", ""climbing"", ""an old lava flow""]","[""climbing"", ""Two young barefooted girls"", ""father and mother"", ""lava flow""]","[""father"", ""mother"", ""climbing"", ""lava flow""]"
179,Two girls are carrying a shoe each in their hands while walking down the road wearing a sports costume.,"[""Two girls""]","[""Two girls""]","[""Two girls""]","[""Two girls""]"
180,A warmly dressed man stands with a carving station on the street in front of his rotisserie machine.,"[""warmly dressed man"", ""rotisserie machine""]","[""warmly dressed man""]","[""warmly dressed man"", ""stands"", ""rotisserie machine"", ""in front of his rotisserie machine""]","[""warmly dressed man"", ""stands"", ""rotisserie machine""]"
181,A man is sitting outside a cafe on a stepladder,"[""sitting""]","[""is sitting"", ""outside a cafe"", ""on a stepladder""]","[""sitting"", ""outside a cafe"", ""on a stepladder""]","[""man is sitting"", ""outside a cafe"", ""stepladder""]"
182,Person dressed in black with a blue hat next to several cats outside.,"[""cats""]","[""Person"", ""blue hat"", ""several cats""]","[""Person"", ""cats"", ""outside""]","[""Person"", ""cats""]"
183,A fireman begins to cross the street towards the fire.,"[""the fire""]","[""towards the fire""]","[""cross the street towards the fire""]","[""A fireman"", ""towards the fire""]"
184,A lot of people gathered in a park.,"[""A lot of people""]","[""A lot of people""]","[""A lot of people""]","[""A lot of people""]"
185,A young woman in a bikini holding a bottle is goofing around and kicking a man in a straw hat.,"[""woman"", ""kicking"", ""man""]","[""woman"", ""goofing around"", ""kicking"", ""man""]","[""woman"", ""goofing around"", ""kicking"", ""man""]","[""woman"", ""goofing around"", ""kicking"", ""man""]"
186,A couple in black coats is looking at the camera with pleasant expressions on their faces.,"[""A couple"", ""looking at the camera"", ""with pleasant expressions on their faces""]","[""A couple in black coats"", ""pleasant expressions""]","[""looking at the camera with pleasant expressions on their faces""]","[""A couple"", ""looking at the camera""]"
187,A smiling middle-aged man wearing over-sized red sunglasses and a colorful patterned shirt sits in the grass in front of a blue-green backdrop.,"[""smiling"", ""man""]","[""smiling"", ""man""]","[""smiling""]","[""smiling""]"
188,Some people are swimming in water; one has goggles on.,"[""swimming in water"", ""goggles on""]","[""goggles"", ""swimming in water""]","[""water"", ""goggles""]","[""goggles""]"
189,"A gentleman is hanging from a window, cleaning the outside of the window, while a gentleman on the inside watches.","[""A gentleman is hanging""]","[""hanging from a window""]","[""gentleman"", ""hanging""]","[""A gentleman"", ""is hanging""]"
190,A man in a colorful t-shirt is standing at an outside food stall.,"[""man"", ""standing at an outside food stall""]","[""man"", ""standing at an outside food stall""]","[""standing"", ""at an outside food stall""]","[""A man"", ""is standing"", ""food stall""]"
191,Two women are sitting at a makeshift table.,"[""Two women""]","[""Two women"", ""sitting at a makeshift table""]","[""Two women"", ""sitting at a makeshift table""]","[""Two"", ""women"", ""sitting""]"
193,A man and two small children laying on a tiled floor.,"[""man"", ""children"", ""laying on a tiled floor""]","[""tiled floor""]","[""A man and two small children"", ""laying"", ""on a tiled floor""]","[""A man"", ""two small children"", ""laying on a tiled floor""]"
194,a number of people standing on the sidewalk along side the front doors of a transit bus,"[""standing on the sidewalk"", ""along side the front doors of a transit bus""]","[""people"", ""standing on the sidewalk along side the front doors of a transit bus""]","[""a number of people"", ""standing on the sidewalk along side the front doors of a transit bus""]","[""standing on the sidewalk"", ""along side the front doors of a transit bus""]"
195,A small child bangs a metal pan with a red and tan wooden hammer.,"[""child"", ""bangs"", ""pan"", ""hammer""]","[""child"", ""bangs"", ""pan"", ""hammer""]","[""bangs"", ""hammer""]","[""child"", ""pan"", ""hammer""]"
196,Snow is being kicked up by the board.,"[""Snow"", ""kicked up"", ""by the board""]","[""Snow"", ""kicked up""]","[""Snow"", ""kicked up""]","[""Snow is being kicked up""]"
198,Two people in lawn chairs reading books.,"[""Two people""]","[""Two people""]","[""Two people"", ""in lawn chairs"", ""reading books""]","[""Two people"", ""in lawn chairs"", ""reading books""]"
199,"Two male clowns, one in a plaid suit and the other in black, performing a musical number in a theater setting.","[""performing a musical number"", ""in a theater setting""]","[""performing a musical number"", ""in a theater setting""]","[""performing a musical number"", ""in a theater setting""]","[""performing a musical number"", ""in a theater setting""]"
200,Father and daughter sitting down on bench and talking peacefully at a beautiful park.,"[""sitting"", ""talking""]","[""sitting down"", ""talking""]","[""Father and daughter"", ""sitting down"", ""talking peacefully""]","[""Father and daughter"", ""sitting down"", ""talking""]"
202,People are standing watching something and taking pictures.,"[""taking pictures""]","[""watching something"", ""taking pictures""]","[""watching"", ""taking pictures""]","[""taking pictures""]"
204,A man in a red shirt sits atop a mountain.,"[""A man"", ""sits atop a mountain""]","[""man"", ""sits atop a mountain""]","[""sits atop a mountain""]","[""man in a red shirt"", ""sits atop a mountain""]"
205,A policeman stands at the corner of an office building while keeping watch on a red fire hydrant.,"[""A policeman stands at the corner of an office building"", ""keeping watch on a red fire hydrant""]","[""A policeman"", ""stands"", ""at the corner of an office building"", ""keeping watch on a red fire hydrant""]","[""policeman""]","[""policeman"", ""keeping watch on"", ""red fire hydrant""]"
206,People are on stage playing music to a group of people.,"[""People are on stage"", ""playing music"", ""to a group of people""]","[""People are on stage playing music"", ""a group of people""]","[""on stage"", ""playing music"", ""to a group of people""]","[""music"", ""a group of people""]"
207,A man in a hat riding a bucking horse.,"[""A man"", ""riding a bucking horse""]","[""man"", ""riding a bucking horse""]","[""man in a hat"", ""bucking horse""]","[""a hat"", ""bucking horse""]"
208,A portly man in an orange jumpsuit standing next to a woman in gray on the highway with a motorcycle laying on its side in the middle of the highway.,"[""man"", ""woman"", ""motorcycle laying on its side in the middle of the highway""]","[""man"", ""woman"", ""standing next to"", ""motorcycle laying on its side"", ""on the highway""]","[""man"", ""woman"", ""standing next to"", ""highway"", ""motorcycle laying on its side""]","[""man"", ""woman"", ""motorcycle laying on its side"", ""highway""]"
209,A girl in a red and black striped shirt sits on a brick wall in front of a tropical plant.,"[""A girl"", ""sits on a brick wall""]","[""sits"", ""wall""]","[""sits"", ""on a brick wall""]","[""A girl"", ""sits on a brick wall""]"
210,A woman wearing glasses holds a young child.,"[""holds a young child""]","[""holds a young child""]","[""A woman"", ""holds a young child""]","[""woman"", ""child""]"
211,"An older individual crosses the street on what seems to be an overcast day, traffic approaches in the background.","[""older individual"", ""crosses the street""]","[""older"", ""individual"", ""crosses the street""]","[""older individual"", ""crosses the street""]","[""older individual"", ""crosses the street""]"
212,A man playing a guitar on stage while a man plays drums in the background.,"[""A man playing a guitar"", ""on stage"", ""a man plays drums""]","[""A man playing a guitar on stage""]","[""playing a guitar"", ""plays drums""]","[""playing a guitar"", ""on stage"", ""plays drums""]"
213,The two dogs are running toward the camera.,"[""two dogs""]","[""two dogs""]","[""two dogs""]","[""two dogs""]"
214,The red skirt of a female dancer swirls while her feet and her male partner's feet dance on concrete.,"[""female dancer"", ""male partner"", ""dance""]","[""female dancer"", ""male partner"", ""dance""]","[""female dancer"", ""male partner"", ""dance""]","[""female dancer"", ""male partner"", ""dance""]"
215,A young boy in a black cap and shirt looks down while next to a person in a polka dotted shirt.,"[""looks down""]","[""looks down""]","[""A young boy"", ""looks down"", ""a person""]","[""A young boy"", ""looks down""]"
217,A woman with a red hat is fishing at a lake.,"[""fishing""]","[""fishing""]","[""fishing at a lake""]","[""fishing"", ""at a lake""]"
218,Two spectators are adorn with Mickey Mouse ears while looking back at an angle from a stadium.,"[""Two spectators"", ""Mickey Mouse ears"", ""looking back at an angle""]","[""Two spectators"", ""Mickey Mouse ears"", ""looking back at an angle"", ""from a stadium""]","[""Two spectators"", ""are adorn with Mickey Mouse ears"", ""looking back at an angle from a stadium""]","[""Two spectators"", ""adorn with Mickey Mouse ears""]"
219,An outdoor party with alcoholic beverages; some seem to be in costume.,"[""An outdoor party"", ""alcoholic beverages"", ""in costume""]","[""outdoor party""]","[""outdoor party"", ""alcoholic beverages""]","[""outdoor party"", ""alcoholic beverages"", ""in costume""]"
220,"A man dressed in a sport coat, slacks and nice shoes, posing in a very busily-decorated room, while wearing a dark green mask that has large yellow monster teeth, a single orange eye, and completely covers his head.","[""very busily-decorated room"", ""dark green mask that has large yellow monster teeth, a single orange eye, and completely covers his head""]","[""sport coat"", ""slacks"", ""nice shoes"", ""dark green mask"", ""large yellow monster teeth"", ""single orange eye""]","[""very busily-decorated room"", ""wearing a dark green mask that has large yellow monster teeth, a single orange eye, and completely covers his head""]","[""dressed in a sport coat, slacks and nice shoes"", ""posing"", ""very busily-decorated room"", ""wearing a dark green mask that has large yellow monster teeth, a single orange eye, and completely covers his head""]"
223,A young boy playing goalie stops the soccer ball with his hands.,"[""stops the soccer ball"", ""hands""]","[""A young boy playing goalie"", ""stops the soccer ball"", ""with his hands""]","[""stops the soccer ball"", ""hands""]","[""stops the soccer ball"", ""with his hands""]"
224,A young woman plays professional tennis.,"[""professional tennis""]","[""professional tennis""]","[""young woman"", ""plays professional tennis""]","[""professional tennis""]"
225,Someone in a lime green shirt is holding on to a tree.,"[""lime green shirt"", ""holding on to a tree""]","[""lime green"", ""holding on to a tree""]","[""holding on to a tree""]","[""Someone in a lime green shirt"", ""is holding on to a tree""]"
227,A young boy doing a wheelie on his bike.,"[""doing a wheelie""]","[""doing a wheelie""]","[""young boy"", ""wheelie""]","[""boy"", ""doing a wheelie""]"
228,A skateboarder riding up to a slope.,"[""skateboarder"", ""riding up to a slope""]","[""riding up to a slope""]","[""skateboarder"", ""riding up to a slope""]","[""A skateboarder"", ""riding up to a slope""]"
229,Big brown and white spotted dog laying on a jacket on the street.,"[""dog"", ""street""]","[""dog"", ""laying"", ""street""]","[""dog"", ""on the street""]","[""dog"", ""laying"", ""on a jacket on the street""]"
230,Two men clean the outside of a building under a blue sky.,"[""blue sky""]","[""blue sky""]","[""blue sky""]","[""blue sky""]"
231,A man in a hoodie does an ollie on his skateboard with people in the park in the background.,"[""man"", ""ollie"", ""skateboard"", ""park""]","[""A man"", ""does an ollie on his skateboard"", ""people in the park in the background""]","[""A man"", ""does an ollie on his skateboard"", ""in the park""]","[""A man"", ""does an ollie"", ""on his skateboard"", ""in the park""]"
232,An arena audience looking down at a football field.,"[""audience"", ""looking down at"", ""a football field""]","[""looking down at a football field""]","[""audience looking down at a football field""]","[""audience"", ""looking down at"", ""football field""]"
234,"A man wearing a blue outfit is pushing a boat, which is wooden and covered, with a pole, and a woman wearing black is the passenger.","[""pushing"", ""a boat"", ""passenger""]","[""boat"", ""pushing"", ""with a pole""]","[""pushing a boat"", ""with a pole""]","[""pushing a boat"", ""with a pole"", ""passenger""]"
235,A man in a black shirt is making bubbles.,"[""making bubbles""]","[""making bubbles""]","[""making bubbles""]","[""A man"", ""making bubbles""]"
236,The two people are viewing an artist's piece.,"[""viewing an artist's piece""]","[""The two people"", ""an artist's piece""]","[""viewing an artist's piece""]","[""The two people are viewing an artist's piece.""]"
237,"A man wearing sunglasses, white shirt, and a smile plays the drums.","[""wearing sunglasses"", ""white shirt"", ""smile"", ""plays the drums""]","[""plays the drums""]","[""wearing sunglasses"", ""white shirt"", ""a smile"", ""plays the drums""]","[""wearing sunglasses"", ""white shirt"", ""smile"", ""plays the drums""]"
238,The black dog is standing by the wall next to the orange.,"[""standing by the wall next to the orange""]","[""dog"", ""next to the orange""]","[""dog"", ""standing by"", ""next to the orange""]","[""dog"", ""by the wall next to"", ""orange""]"
242,"A young, Hispanic woman wearing a sundress is walking outside near a large fountain and palm trees.","[""A young, Hispanic woman"", ""wearing a sundress""]","[""young"", ""woman"", ""wearing a sundress""]","[""A young, Hispanic woman"", ""wearing a sundress""]","[""sundress""]"
243,Two individuals on motorbikes leaning into a turn on a racetrack.,"[""individuals"", ""on motorbikes leaning into a turn on a racetrack""]","[""individuals"", ""motorbikes"", ""leaning into a turn""]","[""individuals on motorbikes"", ""racetrack""]","[""Two individuals"", ""on motorbikes leaning into a turn on a racetrack""]"
245,A group of men and women are on stage doing a performance in dim lighting.,"[""A group of men and women"", ""on stage"", ""doing a performance"", ""in dim lighting""]","[""A group of men and women"", ""on stage"", ""doing a performance"", ""in dim lighting""]","[""on stage"", ""a performance"", ""in dim lighting""]","[""performance"", ""dim lighting""]"
247,Four men are sitting in red cloth covered chairs viewing something together.,"[""men"", ""sitting"", ""chairs"", ""viewing something together""]","[""men"", ""sitting"", ""viewing"", ""something""]","[""men"", ""sitting"", ""chairs"", ""viewing something""]","[""men"", ""sitting"", ""chairs"", ""viewing something together""]"
249,"There are several people but three in particular, coming from a shopping center with boxes and plants in their carts.","[""people"", ""coming from a shopping center"", ""boxes and plants"", ""in their carts""]","[""people"", ""coming from a shopping center"", ""boxes and plants in their carts""]","[""people"", ""boxes and plants in their carts""]","[""people"", ""boxes and plants in their carts""]"
250,Children are learning about a firetruck.,"[""learning""]","[""learning""]","[""learning""]","[""learning""]"
251,An old man in shorts and white spotted black socks sits outside playing an accordion.,"[""An old man"", ""outside"", ""playing an accordion""]","[""An old man"", ""playing an accordion"", ""outside""]","[""An old man"", ""outside"", ""playing an accordion""]","[""An old man"", ""outside"", ""playing an accordion""]"
252,A small car decorated with flames and other paint is driving amongst a crowd with a tub and flags on the roof.,"[""small car"", ""decorated with flames and other paint"", ""a tub and flags on the roof""]","[""flames"", ""other paint"", ""a tub"", ""flags""]","[""A small car"", ""decorated with flames"", ""and other paint"", ""a tub"", ""flags""]","[""flames"", ""other paint"", ""a tub"", ""flags""]"
253,A group of farmers are working together to complete a plant related task.,"[""group of farmers"", ""plant related task""]","[""A group of farmers"", ""working together"", ""plant related task""]","[""A group of farmers"", ""plant related task""]","[""farmers"", ""plant related task""]"
255,Two people are walking in opposite directions in front of the same store that says there is a 50% sale.,"[""Two people"", ""store""]","[""Two people"", ""store""]","[""Two people"", ""walking in opposite directions"", ""store""]","[""Two people"", ""walking in opposite directions"", ""in front of the same store""]"
256,A man is sliding along a green barrier on his snowboard.,"[""sliding along"", ""snowboard""]","[""sliding along a green barrier"", ""snowboard""]","[""A man"", ""sliding"", ""snowboard""]","[""A man"", ""sliding along a green barrier"", ""on his snowboard""]"
258,Hispanic woman wearing a red plaid shirt works on sewing an article of clothing.,"[""woman"", ""wearing a red plaid shirt"", ""works on sewing"", ""an article of clothing""]","[""wearing a red plaid shirt"", ""sewing an article of clothing""]","[""woman"", ""wearing a red plaid shirt"", ""sewing"", ""an article of clothing""]","[""wearing a red plaid shirt"", ""sewing an article of clothing""]"
259,Three elderly women walking from behind.,"[""walking""]","[""walking""]","[""walking from behind""]","[""walking from behind""]"
260,The boy is playing with a colorful ribbon.,"[""boy"", ""playing with a colorful ribbon""]","[""boy"", ""playing with a colorful ribbon""]","[""boy"", ""playing with"", ""a colorful ribbon""]","[""boy"", ""playing with a colorful ribbon""]"
261,Two women standing in front of a fence looking at mountains.,"[""looking at mountains""]","[""standing in front of a fence"", ""looking at mountains""]","[""looking at mountains""]","[""looking at"", ""mountains""]"
262,A large group of men of all ages sit around a large conference table and listen to a man in black speak.,"[""men of all ages"", ""large conference table"", ""man in black speak""]","[""A large group of men"", ""sit around a large conference table""]","[""A large group of men"", ""sit around a large conference table"", ""listen to a man in black speak""]","[""conference table"", ""man in black""]"
263,An elderly couple dance in front of a juke box while a guy in shorts sleeps at a nearby table,"[""An elderly couple"", ""a guy in shorts"", ""sleeps"", ""at a nearby table""]","[""An elderly couple dance"", ""a guy in shorts sleeps"", ""nearby table""]","[""An elderly couple"", ""dance"", ""a guy in shorts sleeps"", ""at a nearby table""]","[""An elderly couple"", ""dance"", ""a guy in shorts"", ""sleeps"", ""nearby table""]"
264,A woman and child stand on the beach while sailboats sail on the ocean.,"[""stand on the beach""]","[""woman and child stand on the beach""]","[""sailboats"", ""ocean""]","[""stand"", ""on the beach""]"
265,A hand with tongs is reaching for a vegetable kabob on a grill that also has ribs and chicken kabobs.,"[""vegetable kabob"", ""chicken kabobs""]","[""vegetable kabob"", ""chicken kabobs""]","[""vegetable kabob"", ""chicken kabobs"", ""grill""]","[""vegetable kabob"", ""chicken kabobs""]"
267,A man in a home kitchen is flipping a pancake extremely high.,"[""flipping a pancake""]","[""flipping a pancake""]","[""flipping a pancake""]","[""flipping a pancake""]"
269,Handyman works on outer wall of city building.,"[""Handyman"", ""works on"", ""outer wall"", ""city building""]","[""Handyman works on outer wall of city building""]","[""Handyman"", ""works on"", ""building""]","[""Handyman works on outer wall of city building""]"
270,a group of women with there small children two small girls and two small babies.,"[""a group of women with there small children""]","[""women"", ""small children"", ""two small girls"", ""two small babies""]","[""small children"", ""two small girls"", ""two small babies""]","[""a group of women with there small children"", ""two small girls"", ""two small babies""]"
271,"Dressed in high-waisted blue jeans, boots and a blue shirt with a gold ""B"" on the front is talking on the phone.","[""high-waisted blue jeans"", ""boots"", ""blue shirt with a gold \""B\"" on the front"", ""talking on the phone""]","[""Dressed in high-waisted blue jeans, boots and a blue shirt with a gold \""B\"" on the front"", ""is talking on the phone""]","[""high-waisted blue jeans"", ""boots"", ""a blue shirt with a gold \""B\"" on the front"", ""talking on the phone""]","[""Dressed in high-waisted blue jeans"", ""boots"", ""a blue shirt with a gold \""B\"" on the front"", ""talking on the phone""]"
272,"Two women, one wearing jeans and one wearing a white skirt, are walking in a building.","[""one wearing jeans"", ""one wearing a white skirt""]","[""one wearing jeans"", ""one wearing a white skirt""]","[""one wearing jeans"", ""one wearing a white skirt""]","[""Two women"", ""one wearing jeans"", ""one wearing a white skirt""]"
274,A snowboarder is doing a flip over a mound of snow.,"[""snowboarder"", ""doing a flip""]","[""snowboarder"", ""doing a flip""]","[""snowboarder"", ""doing a flip""]","[""snowboarder"", ""doing a flip""]"
275,A young boy is climbing on the leg of a statue.,"[""climbing on the leg of a statue""]","[""climbing on the leg of a statue""]","[""climbing on the leg of a statue""]","[""boy"", ""statue""]"
276,Three men stand in a bar with a purple counter.,"[""Three men"", ""a purple counter""]","[""Three men"", ""stand in a bar"", ""purple counter""]","[""Three men"", ""bar"", ""purple counter""]","[""men"", ""purple counter""]"
277,A new graduate is reaching over to shake hands with a man behind the roped off section separating them.,"[""reaching over""]","[""reaching over to shake hands""]","[""reaching over""]","[""shake hands""]"
279,Two hockey players almost fall on the ice during a scuffle.,"[""Two hockey players"", ""almost fall on the ice during a scuffle""]","[""Two hockey players"", ""almost fall on the ice during a scuffle""]","[""Two hockey players almost fall on the ice during a scuffle""]","[""Two hockey players"", ""almost fall on the ice during a scuffle""]"
280,Indian woman performing a dance on stage.,"[""Indian woman"", ""performing a dance"", ""on stage""]","[""Indian woman"", ""performing a dance"", ""on stage""]","[""Indian woman"", ""performing a dance"", ""on stage""]","[""Indian woman"", ""performing a dance"", ""on stage""]"
281,Skydivers in formation.,"[""Skydivers"", ""in formation""]","[""formation""]","[""Skydivers"", ""in formation""]","[""Skydivers in formation""]"
282,A brown dog swims through water outdoors with a tennis ball in its mouth.,"[""A brown dog"", ""swims"", ""a tennis ball in its mouth""]","[""A brown dog"", ""swims"", ""with a tennis ball"", ""in its mouth""]","[""A brown dog"", ""swims"", ""through water"", ""with a tennis ball in its mouth""]","[""brown dog"", ""swims through water"", ""a tennis ball in its mouth""]"
284,Two women in library the librarian assist the other women to help in her research.,"[""librarian"", ""assist"", ""the other women"", ""help"", ""in library""]","[""the librarian"", ""assist"", ""the other women"", ""in library""]","[""in library"", ""the librarian"", ""assist"", ""the other women""]","[""the librarian"", ""assist the other women to help in her research"", ""in library""]"
285,"Two People, smiling holding a musical instrument.","[""Two People, smiling holding a musical instrument""]","[""Two People"", ""smiling"", ""holding a musical instrument""]","[""musical instrument""]","[""Two People"", ""smiling"", ""holding a musical instrument""]"
286,"A giant inflatable ball, taller than a man, is chased by two men in orange shirts.","[""A giant inflatable ball"", ""is chased by two men""]","[""A giant inflatable ball"", ""is chased by two men""]","[""A giant inflatable ball"", ""is chased by two men""]","[""A giant inflatable ball"", ""is chased""]"
288,A muslim woman holding balloons at an islamic event,"[""holding balloons""]","[""holding balloons""]","[""holding balloons""]","[""holding balloons""]"
289,Two men work on girls bike in front of garage.,"[""Two men"", ""work""]","[""men"", ""work on girls bike""]","[""Two men""]","[""Two men""]"
290,A group of men are playing basketball.,"[""playing basketball""]","[""playing basketball""]","[""men"", ""playing basketball""]","[""playing basketball""]"
291,A female contortionist practices her solo performance on stage.,"[""contortionist"", ""practices"", ""on stage""]","[""female contortionist"", ""practices"", ""on stage""]","[""female contortionist"", ""practices""]","[""A female contortionist"", ""practices"", ""on stage""]"
294,The two man is busy cementing the road.,"[""man"", ""busy cementing the road""]","[""man"", ""cementing the road""]","[""The two man"", ""cementing the road""]","[""The two man"", ""cementing the road""]"
295,A blond woman playing horseshoes in the snow.,"[""blond woman"", ""playing horseshoes"", ""in the snow""]","[""blond woman"", ""playing horseshoes in the snow""]","[""A blond woman"", ""playing horseshoes"", ""in the snow""]","[""A blond woman playing horseshoes in the snow""]"
297,a woman wearing a white shirt kissing a guy.,"[""a woman wearing a white shirt"", ""a guy""]","[""a woman wearing a white shirt"", ""a guy""]","[""a woman wearing a white shirt"", ""kissing a guy""]","[""a woman"", ""a guy""]"
298,A woman with feathers in her hair.,"[""feathers in her hair""]","[""feathers in her hair""]","[""feathers in her hair""]","[""feathers in her hair""]"
299,Two large dogs lying on their backs on a purple comforter.,"[""Two large dogs"", ""lying on their backs""]","[""Two large dogs"", ""lying on their backs""]","[""dogs"", ""lying on their backs""]","[""Two large dogs"", ""lying on their backs""]"
300,A technician bent over fixing a machine.,"[""fixing a machine""]","[""fixing a machine""]","[""technician"", ""fixing"", ""machine""]","[""fixing a machine""]"
301,A man walking through a large grass-covered valley.,"[""man""]","[""man""]","[""A man"", ""walking through a large grass-covered valley""]","[""A man""]"
302,A shirtless man is doing a jump with a skateboard.,"[""doing a jump with a skateboard""]","[""doing a jump with a skateboard""]","[""doing a jump with a skateboard""]","[""jump with a skateboard""]"
305,"Two men, dresses in jackets and gloves, blowing leaves.","[""Two men"", ""blowing leaves""]","[""Two men"", ""blowing leaves""]","[""Two men"", ""blowing leaves""]","[""Two men"", ""blowing leaves""]"
306,A guy is on one hand throwing his feet up surrounded by a crowd.,"[""throwing his feet up"", ""surrounded by a crowd""]","[""throwing his feet up"", ""surrounded by a crowd""]","[""guy"", ""on one hand"", ""throwing his feet up"", ""surrounded by a crowd""]","[""throwing his feet up"", ""surrounded by a crowd""]"
307,A man in yellow and a man in green boating down a river on an overcast day.,"[""yellow"", ""green"", ""boating"", ""an overcast day""]","[""A man in yellow and a man in green"", ""river"", ""on an overcast day""]","[""yellow"", ""green"", ""an overcast day""]","[""A man in yellow and a man in green"", ""boating"", ""on an overcast day""]"
308,A young boy with an orange shirt on is looking at a tool set with an overturned bike at his side.,"[""overturned bike at his side""]","[""boy"", ""tool set"", ""bike at his side""]","[""boy"", ""looking at a tool set"", ""overturned bike at his side""]","[""A young boy"", ""looking at a tool set"", ""an overturned bike at his side""]"
310,"Five young, well-dressed people work in a kitchen.","[""work in a kitchen""]","[""work in a kitchen""]","[""Five young, well-dressed people"", ""work in a kitchen""]","[""people"", ""in a kitchen""]"
311,Small boy lying on his stomach on the grass.,"[""Small boy"", ""lying on his stomach""]","[""Small boy"", ""lying on his stomach""]","[""Small boy"", ""lying on his stomach""]","[""boy"", ""lying on his stomach on the grass""]"
312,Kids riding on their bicycles near a mound of dirt with a hovel from a backhoe in front of the mound.,"[""backhoe""]","[""mound of dirt"", ""backhoe""]","[""backhoe""]","[""backhoe""]"
314,A team of surgeons dressed in blue operate on a patient.,"[""surgeons"", ""operate on a patient""]","[""surgeons"", ""operate on a patient""]","[""operate on a patient""]","[""operate on a patient""]"
315,Three football players in navy blue and yellow uniforms are running down a football field; one is kicking a football as he runs.,"[""football players"", ""football field"", ""kicking a football""]","[""Three football players"", ""football field"", ""kicking a football""]","[""football"", ""Three football players""]","[""football players"", ""football field"", ""kicking a football""]"
316,A man in a purple and white shirt is assisting a man in a wife beater with his workout.,"[""assisting a man in a wife beater with his workout""]","[""assisting"", ""workout""]","[""assisting"", ""workout""]","[""assisting"", ""workout""]"
318,A man in a blue t-shirt eats a meal.,"[""eats a meal""]","[""eats a meal""]","[""eats a meal""]","[""eats a meal""]"
319,People are waiting for a train at the subway.,"[""waiting for a train""]","[""waiting"", ""train""]","[""waiting for a train""]","[""waiting for a train""]"
320,Little boy playing with his toy truck.,"[""boy"", ""playing with his toy truck""]","[""Little boy"", ""toy truck""]","[""boy playing with his toy truck""]","[""boy"", ""playing with his toy truck""]"
321,An elderly lady with a cane and handbag walks along the sidewalk.,"[""elderly lady"", ""walks""]","[""elderly lady"", ""walks""]","[""elderly lady with a cane and handbag"", ""walks""]","[""elderly lady with a cane and handbag"", ""walks""]"
322,A basketball player slam dunks the basketball.,"[""slam dunks""]","[""slam dunks""]","[""slam dunks""]","[""slam dunks""]"
323,People are riding an escalator up and down a subway station tunnel.,"[""People"", ""riding an escalator"", ""subway station""]","[""People"", ""escalator"", ""subway station""]","[""People are riding an escalator"", ""subway station""]","[""People"", ""riding an escalator"", ""subway station""]"
324,A dog on a leash walks on the sidewalk while another dog follows.,"[""A dog"", ""on a leash"", ""walks"", ""on the sidewalk"", ""another dog"", ""follows""]","[""A dog"", ""on a leash"", ""walks"", ""on the sidewalk"", ""another dog"", ""follows""]","[""walks on the sidewalk""]","[""A dog"", ""walks"", ""on the sidewalk"", ""another dog"", ""follows""]"
326,A man in a brown-red suit holds a stringed instrument and looks off to the left in front of a purple-pink background.,"[""man"", ""holds a stringed instrument""]","[""A man""]","[""A man"", ""holds a stringed instrument""]","[""holds a stringed instrument""]"
327,A man wearing black shorts with white stripes is diving into some water.,"[""black shorts with white stripes""]","[""black shorts with white stripes""]","[""black shorts with white stripes""]","[""black shorts with white stripes""]"
328,A woman helping another woman out with a website on a computer.,"[""A woman"", ""another woman"", ""on a computer""]","[""A woman"", ""another woman"", ""helping"", ""on a computer""]","[""A woman"", ""another woman"", ""on a computer""]","[""A woman"", ""another woman"", ""helping"", ""on a computer""]"
329,People search for their seats in a stadium.,"[""search for their seats"", ""in a stadium""]","[""search for their seats"", ""stadium""]","[""search for their seats""]","[""search for their seats"", ""stadium""]"
