id,premise_raw,premise_original_necessity,premise_original_necessity_control,premise_original_sufficiency,premise_original_sufficiency_control,coverage_original,premise_lexical_necessity,premise_lexical_necessity_control,premise_lexical_sufficiency,premise_lexical_sufficiency_control,coverage_lexical,premise_syntactic_necessity,premise_syntactic_necessity_control,premise_syntactic_sufficiency,premise_syntactic_sufficiency_control,coverage_syntactic,premise_pragmatic_necessity,premise_pragmatic_necessity_control,premise_pragmatic_sufficiency,premise_pragmatic_sufficiency_control,coverage_pragmatic
157,Man on skis attempting to jump over a snow pile,Man _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ on skis attempting to jump over a snow pile,_____ on skis attempting to jump over a snow pile,Man on skis attempting to jump over a snow _____,0.9000,_____ _____ _____ _____ _____ _____ over a snow pile,Man on skis attempting to jump _____ _____ _____ _____,Man on skis attempting to jump _____ _____ _____ _____,Man _____ _____ _____ to jump over _____ snow pile,0.6000,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____,Man on skis attempting to jump over a snow pile,Man on skis attempting to jump over a snow pile,Man on skis attempting to jump over a snow pile,1.0000,Man _____ _____ _____ _____ _____ over a snow pile,_____ on skis attempting to jump _____ _____ _____ _____,_____ on skis attempting to jump _____ _____ _____ _____,Man _____ skis attempting _____ jump over _____ _____ _____,0.5000
159,A balding man sits on the sidewalk leaned against a bunch of woven blankets.,A balding man _____ on the sidewalk leaned against a bunch of woven blankets.,A balding _____ sits on the sidewalk leaned against a bunch of woven blankets.,_____ _____ _____ sits _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ against _____ _____ _____ _____ _____,0.0714,A balding man _____ _____ _____ _____ leaned against a bunch of woven blankets.,A balding man sits on the sidewalk leaned _____ _____ bunch _____ woven _____,_____ _____ _____ sits on the sidewalk _____ _____ _____ _____ _____ _____ _____,_____ _____ man _____ _____ _____ _____ leaned against a _____ _____ _____ _____,0.2857,A balding man _____ _____ _____ _____ leaned against a bunch of woven blankets.,_____ _____ man sits on the sidewalk leaned against _____ bunch _____ woven blankets.,_____ _____ _____ sits on the sidewalk _____ _____ _____ _____ _____ _____ _____,_____ _____ man _____ _____ the _____ _____ _____ a _____ _____ woven _____,0.2857,A balding man _____ on the sidewalk leaned against a bunch of woven blankets.,A balding _____ sits on the sidewalk leaned against a bunch of woven blankets.,_____ _____ _____ sits _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ man _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,0.0714
160,A vietnamese man driving a tractor through a dirt ravine while a woman rides on the back.,A vietnamese _____ _____ _____ _____ through a dirt ravine while a woman rides on the back.,A vietnamese man driving a tractor through _____ dirt ravine _____ a woman rides _____ the _____,_____ _____ man driving a tractor _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ tractor _____ _____ _____ ravine _____ _____ woman _____ _____ the _____,0.2353,A vietnamese man _____ a _____ through a dirt ravine while a woman rides on the back.,A vietnamese man driving a tractor through a dirt ravine while a woman rides _____ _____ back.,_____ _____ _____ driving _____ tractor _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ the back.,0.1176,A vietnamese _____ _____ _____ _____ through a dirt ravine while a woman rides on the back.,A _____ man driving a tractor through a dirt _____ _____ a _____ rides on the back.,_____ _____ man driving a tractor _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A _____ _____ _____ _____ _____ _____ _____ _____ ravine _____ _____ _____ rides _____ the _____,0.2353,A vietnamese man _____ _____ _____ through a dirt ravine while a woman rides on the back.,_____ vietnamese man driving a tractor through _____ dirt ravine while _____ woman rides on the back.,_____ _____ _____ driving a tractor _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ while a _____ _____ _____ the _____,0.1765
161,Drummers march down the street past onlookers.,Drummers _____ _____ _____ _____ past onlookers.,_____ march down the street _____ _____,_____ march down the street _____ _____,Drummers _____ down the street _____ _____,0.5714,Drummers march _____ _____ _____ past onlookers.,_____ _____ down the street _____ onlookers.,_____ _____ down the street _____ _____,Drummers _____ _____ _____ _____ past onlookers.,0.4286,Drummers march down the _____ past onlookers.,Drummers march down the street past _____,_____ _____ _____ _____ street _____ _____,_____ _____ _____ _____ street _____ _____,0.1429,Drummers _____ _____ _____ _____ past onlookers.,_____ march down the street _____ _____,_____ march down the street _____ _____,_____ march down the street _____ _____,0.5714
164,Truck driver driving a eighteen wheeler truck.,_____ _____ _____ _____ _____ _____ _____,Truck driver driving a eighteen wheeler truck.,Truck driver driving a eighteen wheeler truck.,Truck driver driving a eighteen wheeler truck.,1.0000,_____ _____ driving a eighteen wheeler truck.,Truck driver driving a _____ _____ truck.,Truck driver _____ _____ _____ _____ _____,Truck _____ _____ _____ _____ wheeler _____,0.2857,_____ _____ _____ a eighteen wheeler truck.,Truck driver driving _____ eighteen _____ _____,Truck driver driving _____ _____ _____ _____,_____ driver _____ a eighteen _____ _____,0.4286,_____ _____ driving a eighteen wheeler truck.,Truck driver _____ a eighteen _____ truck.,Truck driver _____ _____ _____ _____ _____,_____ _____ _____ _____ eighteen wheeler _____,0.2857
165,The child has his mouth open and is surrounded by adults dancing.,The child has his _____ _____ and is _____ _____ _____ _____,_____ _____ _____ _____ mouth open _____ _____ surrounded by adults dancing.,_____ _____ _____ _____ mouth open _____ _____ surrounded by adults dancing.,The _____ has his _____ _____ and _____ _____ by _____ dancing.,0.5000,The child has his _____ _____ and is surrounded by adults dancing.,The child has his mouth open _____ is surrounded _____ adults dancing.,_____ _____ _____ _____ mouth open _____ _____ _____ _____ _____ _____,_____ child _____ _____ _____ _____ _____ _____ _____ by _____ _____,0.1667,The child has his _____ _____ and is surrounded by _____ _____,_____ _____ has his mouth open and is _____ _____ adults dancing.,_____ _____ _____ _____ mouth open _____ _____ _____ _____ adults dancing.,The _____ _____ his _____ open _____ is _____ _____ _____ _____,0.3333,The child has his _____ _____ and is surrounded by adults dancing.,_____ child has his mouth open _____ is surrounded by adults dancing.,_____ _____ _____ _____ mouth open _____ _____ _____ _____ _____ _____,_____ _____ has _____ _____ _____ and _____ _____ _____ _____ _____,0.1667
167,We see a shot of a Korean historical drama with a man in bright red and yellow costume is in the foreground.,We see a shot of a Korean historical drama with a man _____ _____ _____ _____ _____ _____ is in the foreground.,We _____ _____ _____ of a Korean historical _____ with a man in bright red and yellow costume is in _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ in bright red and yellow costume _____ _____ _____ _____,_____ see _____ _____ _____ _____ Korean _____ _____ _____ _____ _____ _____ bright _____ and yellow _____ _____ _____ _____ foreground.,0.2727,We see a shot of a Korean historical drama with a _____ _____ _____ _____ _____ _____ _____ is in the foreground.,We see _____ shot of _____ _____ _____ _____ with _____ man in bright red and yellow costume is in the _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ man in bright red and yellow costume _____ _____ _____ _____,_____ _____ _____ _____ of _____ Korean _____ _____ _____ a _____ in _____ _____ and yellow costume _____ _____ _____ _____,0.3182,We see a shot of a Korean historical drama with a man _____ _____ _____ _____ _____ _____ is in the foreground.,We _____ a shot of a _____ _____ drama _____ _____ man in bright red and yellow costume is _____ the foreground.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ in bright red and yellow costume _____ _____ _____ _____,_____ _____ _____ _____ _____ a _____ _____ _____ _____ a man _____ _____ red _____ _____ costume _____ _____ _____ foreground.,0.2727,We see a shot of a Korean historical drama with a man in bright red and yellow _____ is in the foreground.,We see a shot of a Korean historical _____ with a man in bright red and yellow costume is in the foreground.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ costume _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ foreground.,0.0455
168,People are checking out at target.,People are _____ _____ _____ _____,_____ _____ checking out at target.,_____ _____ checking out at target.,People _____ checking out _____ target.,0.6667,People are _____ _____ _____ _____,_____ _____ checking out at target.,_____ _____ checking out at target.,People are checking _____ at _____,0.6667,_____ are _____ _____ _____ _____,People _____ checking out at target.,People _____ checking out at target.,_____ are checking out at target.,0.8333,People are _____ _____ _____ _____,_____ _____ checking out at target.,_____ _____ checking out at target.,_____ _____ checking out at target.,0.6667
169,A motorcyclist speeds down the road.,A motorcyclist speeds down the _____,_____ motorcyclist speeds down the road.,_____ _____ _____ _____ _____ road.,_____ _____ _____ _____ _____ road.,0.1667,A motorcyclist speeds down the _____,A motorcyclist _____ down the road.,_____ _____ _____ _____ _____ road.,_____ _____ speeds _____ _____ _____,0.1667,A motorcyclist speeds down the _____,A _____ speeds down the road.,_____ _____ _____ _____ _____ road.,_____ _____ speeds _____ _____ _____,0.1667,A motorcyclist speeds down the _____,A motorcyclist speeds _____ the road.,_____ _____ _____ _____ _____ road.,A _____ _____ _____ _____ _____,0.1667
170,A man with a beard& glasses is sleeping on public transportation while wearing a funny cap.,A _____ with a beard& glasses is _____ _____ _____ _____ while wearing a funny cap.,A man _____ a _____ glasses _____ sleeping on public transportation while _____ _____ funny cap.,_____ man _____ _____ _____ _____ _____ sleeping on public transportation _____ _____ _____ _____ _____,_____ _____ with _____ _____ glasses is _____ _____ _____ _____ _____ wearing _____ funny _____,0.3125,A man with a beard& glasses is _____ on _____ _____ while wearing a funny cap.,A man with a beard& _____ is sleeping on public transportation _____ wearing _____ funny cap.,_____ _____ _____ _____ _____ _____ _____ sleeping _____ public transportation _____ _____ _____ _____ _____,A _____ _____ _____ beard& _____ _____ _____ _____ public _____ _____ _____ _____ _____ _____,0.1875,A _____ with a beard& glasses _____ _____ on _____ _____ while wearing a funny cap.,_____ man _____ a beard& _____ is sleeping _____ public transportation _____ wearing a funny cap.,_____ man _____ _____ _____ _____ is sleeping _____ public transportation _____ _____ _____ _____ _____,_____ _____ with _____ beard& glasses _____ sleeping _____ _____ transportation _____ _____ _____ _____ _____,0.3125,A man with a beard& glasses _____ _____ on _____ _____ while wearing a funny cap.,A _____ with _____ beard& glasses is sleeping on public transportation _____ wearing a funny _____,_____ _____ _____ _____ _____ _____ is sleeping _____ public transportation _____ _____ _____ _____ _____,_____ _____ _____ a _____ _____ _____ _____ on _____ _____ _____ _____ _____ funny cap.,0.2500
171,A baseball player swings at an oncoming ball while the catcher gets ready and the umpire looks on.,A _____ _____ _____ _____ _____ _____ _____ while the _____ gets ready and the _____ looks on.,_____ baseball player swings at an oncoming ball _____ _____ catcher _____ _____ _____ _____ umpire _____ _____,_____ baseball player swings at an oncoming ball _____ _____ catcher _____ _____ _____ _____ umpire _____ _____,_____ baseball _____ swings at _____ _____ _____ while the catcher gets _____ and _____ _____ _____ on.,0.5000,A _____ _____ _____ _____ _____ _____ _____ while the _____ gets ready and the _____ looks on.,_____ baseball player swings at an oncoming ball _____ _____ catcher _____ _____ _____ _____ umpire _____ _____,_____ baseball player swings at an oncoming ball _____ _____ catcher _____ _____ _____ _____ umpire _____ _____,A baseball _____ swings _____ an oncoming ball _____ _____ catcher _____ _____ _____ _____ _____ looks on.,0.5000,A _____ _____ _____ _____ _____ _____ _____ while the _____ gets ready and the _____ looks on.,_____ baseball player swings at an oncoming ball _____ _____ catcher _____ _____ _____ _____ umpire _____ _____,_____ baseball player swings at an oncoming ball _____ _____ catcher _____ _____ _____ _____ umpire _____ _____,A _____ player swings at _____ oncoming ball while _____ catcher _____ _____ _____ _____ umpire _____ _____,0.5000,_____ _____ _____ _____ _____ _____ _____ _____ while _____ _____ gets ready and _____ _____ looks on.,A baseball player swings at an oncoming ball _____ the catcher _____ _____ _____ the umpire _____ _____,A baseball player swings at an oncoming ball _____ the catcher _____ _____ _____ the umpire _____ _____,A baseball _____ swings at an oncoming _____ _____ the catcher gets ready _____ _____ umpire _____ on.,0.6667
173,"Eleven people gather in lake, group on left are male and conversing, group on right, male and female, walking further out into lake.","Eleven people gather _____ _____ group on left are male and conversing, group on right, male and female, walking further out into lake.","_____ people gather in lake, group on left are male and conversing, group _____ right, male and female, walking further out into lake.","_____ _____ _____ in lake, _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____",_____ _____ _____ _____ _____ group _____ _____ _____ _____ _____ _____ _____ on _____ _____ _____ _____ _____ _____ _____ _____ _____,0.0870,"Eleven people gather _____ _____ group on left are male and conversing, group on right, male and female, _____ _____ _____ _____ _____","_____ people _____ in lake, group _____ _____ are _____ and _____ group on _____ male and female, walking further out into lake.","_____ _____ _____ in lake, _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ walking further out into lake.",Eleven people _____ _____ _____ group _____ _____ _____ male _____ _____ group _____ _____ male _____ _____ _____ _____ _____ _____ lake.,0.3043,"Eleven people gather _____ _____ group on left are male and conversing, group on right, male and female, walking further out into lake.","Eleven people gather in lake, group _____ left are male and conversing, group on right, _____ and female, walking further out into lake.","_____ _____ _____ in lake, _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____",_____ _____ _____ _____ _____ _____ _____ _____ _____ male _____ _____ _____ _____ _____ _____ _____ _____ walking _____ _____ _____ _____,0.0870,"Eleven people gather _____ _____ group on left are male and conversing, group on right, male and female, _____ _____ _____ _____ _____","Eleven _____ gather in lake, _____ on _____ are _____ _____ conversing, group _____ _____ male and female, walking further out into lake.","_____ _____ _____ in lake, _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ walking further out into lake.","_____ _____ _____ in _____ _____ _____ _____ _____ male and _____ _____ _____ right, _____ and female, _____ further _____ _____ _____",0.3043
174,A group of men finish a fund raising run for Haiti in 28:24.,A group of men finish a fund raising _____ for Haiti in _____,A _____ of men finish a fund raising run for _____ in 28:24.,_____ _____ _____ _____ _____ _____ _____ _____ run _____ _____ _____ 28:24.,_____ _____ of _____ _____ _____ _____ raising _____ _____ _____ _____ _____,0.1538,A group of men finish a fund raising run for Haiti in _____,A group of men finish a fund _____ run for Haiti in 28:24.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ 28:24.,_____ _____ _____ _____ _____ _____ _____ _____ run _____ _____ _____ _____,0.0769,A group of men finish a fund raising _____ for Haiti in _____,A group of _____ finish a fund raising run _____ Haiti in 28:24.,_____ _____ _____ _____ _____ _____ _____ _____ run _____ _____ _____ 28:24.,_____ _____ _____ _____ finish _____ _____ raising _____ _____ _____ _____ _____,0.1538,A group of men finish a fund raising run for Haiti in _____,A group of men finish a fund raising run _____ Haiti in 28:24.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ 28:24.,_____ _____ _____ men _____ _____ _____ _____ _____ _____ _____ _____ _____,0.0769
175,Three guys sitting on a sandy beach near the water and one is talking to the two little girls.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ and one is talking to the two little girls.,Three guys sitting on a sandy beach near the water _____ _____ _____ _____ _____ _____ _____ _____ _____,Three guys sitting on a sandy beach near the water _____ _____ _____ _____ _____ _____ _____ _____ _____,Three _____ sitting on a sandy _____ _____ _____ _____ and one _____ _____ to _____ two little _____,0.5263,Three _____ _____ on a _____ _____ _____ _____ _____ and one is talking to the two little girls.,_____ guys sitting on a sandy beach near the water and _____ _____ talking _____ _____ two _____ _____,_____ guys sitting _____ _____ sandy beach near the water _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ sandy beach _____ the water _____ _____ is talking _____ _____ _____ little _____,0.3684,Three _____ _____ _____ _____ _____ _____ _____ _____ _____ and one is talking to the two little girls.,_____ guys sitting on a sandy beach near the water _____ _____ _____ talking _____ _____ _____ _____ _____,_____ guys sitting on a sandy beach near the water _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ sitting on _____ sandy _____ near _____ _____ and _____ is _____ to the _____ little _____,0.4737,Three guys _____ on a sandy beach near the water and one is talking to the two little girls.,Three guys sitting _____ a sandy beach near the water and one is talking to the two little girls.,_____ _____ sitting _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,Three _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,0.0526
177,Two young barefooted girls are climbing an old lava flow with their father and mother following close behind.,Two young barefooted _____ are _____ an _____ _____ _____ with their _____ and _____ following close behind.,Two _____ _____ girls are climbing _____ old lava flow _____ their father _____ mother _____ close _____,_____ _____ _____ girls _____ climbing _____ old lava flow _____ _____ father _____ mother _____ _____ _____,_____ _____ _____ _____ are climbing _____ old lava _____ _____ _____ father _____ _____ following close _____,0.3889,Two young barefooted _____ are _____ an old _____ _____ with their _____ _____ _____ following close behind.,Two young barefooted girls _____ climbing _____ _____ lava flow with _____ father and mother _____ _____ _____,_____ _____ _____ girls _____ climbing _____ _____ lava flow _____ _____ father and mother _____ _____ _____,Two _____ _____ girls _____ climbing _____ _____ lava flow with their _____ _____ _____ _____ _____ _____,0.3889,Two young barefooted _____ are _____ an _____ _____ _____ with their _____ and _____ following close behind.,_____ young barefooted girls are climbing _____ old lava flow _____ _____ father _____ mother _____ _____ behind.,_____ _____ _____ girls _____ climbing _____ old lava flow _____ _____ father _____ mother _____ _____ _____,_____ young barefooted girls are _____ an _____ _____ _____ with _____ _____ _____ mother _____ _____ _____,0.3889,Two young barefooted _____ are _____ an _____ _____ _____ with their _____ and _____ following close behind.,Two _____ barefooted girls _____ climbing an old lava flow with _____ father _____ mother _____ _____ _____,_____ _____ _____ girls _____ climbing _____ old lava flow _____ _____ father _____ mother _____ _____ _____,_____ _____ _____ girls are climbing _____ _____ _____ flow with _____ _____ _____ _____ _____ close behind.,0.3889
179,Two girls are carrying a shoe each in their hands while walking down the road wearing a sports costume.,_____ _____ are _____ _____ _____ each in their hands while _____ _____ _____ _____ _____ _____ _____ _____,Two girls _____ carrying a shoe _____ _____ _____ _____ _____ walking down the road wearing a sports costume.,Two girls _____ carrying a shoe _____ _____ _____ _____ _____ walking down the road wearing a sports costume.,_____ _____ are _____ a shoe each in their hands _____ walking down the _____ wearing _____ sports costume.,0.6842,_____ _____ are _____ _____ _____ _____ _____ _____ _____ while _____ _____ _____ _____ _____ _____ _____ _____,Two girls _____ carrying a shoe each in their hands _____ walking down the road wearing a sports costume.,Two girls _____ carrying a shoe each in their hands _____ walking down the road wearing a sports costume.,Two girls are _____ a shoe each in their hands while walking down _____ road wearing a sports costume.,0.8947,_____ _____ are _____ _____ _____ each in their hands while _____ _____ _____ _____ _____ _____ _____ _____,Two girls _____ carrying a shoe _____ _____ _____ _____ _____ walking down the road wearing a sports costume.,Two girls _____ carrying a shoe _____ _____ _____ _____ _____ walking down the road wearing a sports costume.,_____ girls _____ carrying a shoe _____ in their _____ while walking down the _____ wearing _____ sports costume.,0.6842,_____ _____ are carrying a shoe each in their hands while walking _____ _____ _____ wearing a sports costume.,Two girls are _____ a shoe each _____ _____ _____ while walking down the road wearing _____ sports costume.,Two girls _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ down the road _____ _____ _____ _____,_____ girls _____ _____ a _____ _____ _____ their _____ _____ _____ _____ _____ road _____ _____ _____ costume.,0.2632
180,A warmly dressed man stands with a carving station on the street in front of his rotisserie machine.,A _____ _____ man stands with a carving station on the street _____ _____ _____ his rotisserie machine.,A warmly dressed man stands with _____ _____ _____ on the street in front of _____ rotisserie _____,_____ warmly dressed _____ _____ _____ _____ _____ _____ _____ _____ _____ in front of _____ _____ _____,_____ warmly _____ _____ _____ _____ _____ carving station _____ _____ _____ _____ front of _____ _____ _____,0.2778,A _____ _____ _____ _____ with a carving station on the street _____ _____ _____ his _____ _____,_____ warmly dressed man stands _____ _____ _____ _____ _____ _____ _____ in front of _____ rotisserie machine.,_____ warmly dressed man stands _____ _____ _____ _____ _____ _____ _____ in front of _____ rotisserie machine.,A _____ _____ man stands _____ _____ _____ _____ on _____ street in front _____ _____ rotisserie machine.,0.5000,A _____ _____ man stands with a carving station on the street _____ _____ _____ his rotisserie machine.,_____ warmly dressed man _____ with a carving station on _____ street in front of _____ rotisserie _____,_____ warmly dressed _____ _____ _____ _____ _____ _____ _____ _____ _____ in front of _____ _____ _____,_____ warmly dressed _____ _____ with _____ _____ _____ _____ _____ street _____ front _____ _____ _____ _____,0.2778,A _____ _____ _____ stands with a carving station on the street _____ _____ _____ his _____ _____,_____ warmly dressed man _____ _____ _____ carving _____ _____ _____ _____ in front of his rotisserie machine.,_____ warmly dressed man _____ _____ _____ _____ _____ _____ _____ _____ in front of _____ rotisserie machine.,A warmly dressed _____ stands _____ a carving _____ _____ _____ _____ _____ _____ of _____ _____ machine.,0.4444
181,A man is sitting outside a cafe on a stepladder,A man is _____ _____ _____ _____ on a _____,_____ _____ _____ sitting outside a cafe _____ _____ stepladder,_____ _____ _____ sitting outside a cafe _____ _____ stepladder,_____ _____ is sitting _____ _____ cafe _____ a stepladder,0.5000,A man is _____ _____ _____ _____ on a _____,_____ _____ _____ sitting outside a cafe _____ _____ stepladder,_____ _____ _____ sitting outside a cafe _____ _____ stepladder,A _____ _____ _____ _____ a cafe on a _____,0.5000,A man is _____ outside a cafe on a _____,_____ man is sitting outside a _____ on a stepladder,_____ _____ _____ sitting _____ _____ _____ _____ _____ stepladder,_____ _____ is _____ _____ _____ _____ _____ a _____,0.2000,A man is _____ outside a cafe on a _____,A man is sitting outside _____ cafe on _____ stepladder,_____ _____ _____ sitting _____ _____ _____ _____ _____ stepladder,_____ man _____ _____ _____ a _____ _____ _____ _____,0.2000
182,Person dressed in black with a blue hat next to several cats outside.,Person dressed in black with a blue hat next to several _____ outside.,Person dressed in _____ with a blue hat next to several cats outside.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ cats _____,_____ _____ in _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,0.0769,Person dressed in black with a blue hat next to several _____ outside.,Person dressed in black with a _____ hat next to several cats outside.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ cats _____,_____ _____ _____ _____ _____ _____ _____ _____ next _____ _____ _____ _____,0.0769,_____ dressed in black with a blue hat _____ _____ _____ _____ _____,Person _____ _____ _____ with _____ _____ _____ next to several cats outside.,Person _____ _____ _____ _____ _____ _____ _____ next to several cats outside.,Person _____ in black _____ _____ blue _____ next _____ _____ cats _____,0.4615,Person dressed in black with a blue hat next to several _____ outside.,_____ dressed in black with a blue hat next to several cats outside.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ cats _____,_____ _____ _____ _____ with _____ _____ _____ _____ _____ _____ _____ _____,0.0769
183,A fireman begins to cross the street towards the fire.,A fireman begins to cross the street _____ _____ _____,A _____ _____ to cross _____ street towards the fire.,_____ _____ _____ _____ _____ _____ _____ towards the fire.,_____ _____ _____ _____ _____ _____ street towards the _____,0.3000,A fireman begins to cross the street towards the _____,A fireman begins to cross _____ street towards the fire.,_____ _____ _____ _____ _____ _____ _____ _____ _____ fire.,_____ _____ _____ _____ _____ _____ _____ _____ the _____,0.1000,A fireman begins to cross the street _____ _____ _____,_____ _____ _____ to cross the street towards the fire.,_____ _____ _____ _____ _____ _____ _____ towards the fire.,_____ _____ _____ to _____ _____ street _____ the _____,0.3000,A fireman begins to cross the street towards _____ _____,A fireman _____ to _____ the street towards the fire.,_____ _____ _____ _____ _____ _____ _____ _____ the fire.,_____ _____ _____ _____ _____ the _____ towards _____ _____,0.2000
184,A lot of people gathered in a park.,_____ _____ _____ _____ _____ in a park.,A lot of people gathered _____ _____ _____,A lot of people gathered _____ _____ _____,A lot of _____ gathered _____ _____ park.,0.6250,_____ _____ _____ _____ _____ in a park.,A lot of people gathered _____ _____ _____,A lot of people gathered _____ _____ _____,A lot _____ _____ gathered _____ a park.,0.6250,_____ _____ _____ _____ _____ in a park.,A lot of people gathered _____ _____ _____,A lot of people gathered _____ _____ _____,A lot _____ people gathered _____ a _____,0.6250,_____ _____ _____ _____ _____ in a park.,A lot of people gathered _____ _____ _____,A lot of people gathered _____ _____ _____,A lot _____ people _____ in _____ park.,0.6250
185,A young woman in a bikini holding a bottle is goofing around and kicking a man in a straw hat.,_____ _____ _____ in a bikini holding a bottle is _____ _____ and _____ _____ _____ in a straw hat.,A young woman _____ _____ _____ holding _____ _____ _____ goofing around _____ kicking a man in a _____ hat.,A young woman _____ _____ _____ _____ _____ _____ _____ goofing around _____ kicking a man _____ _____ _____ _____,_____ young woman _____ a _____ holding a bottle _____ _____ _____ _____ _____ a _____ _____ a _____ _____,0.4000,A young woman in a bikini holding a bottle is _____ _____ and _____ a man in a straw hat.,A young woman in a bikini _____ a bottle is goofing around and kicking a _____ in a straw _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ goofing around _____ kicking _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ a _____ _____ goofing _____ _____ _____ _____ _____ _____ _____ straw _____,0.1500,A young _____ in a bikini holding a bottle is _____ _____ and _____ a _____ in a straw hat.,A young woman _____ a _____ _____ a _____ is goofing around and kicking a man in a _____ hat.,_____ _____ woman _____ _____ _____ _____ _____ _____ _____ goofing around _____ kicking _____ man _____ _____ _____ _____,_____ _____ _____ _____ a _____ _____ a _____ is goofing _____ _____ _____ _____ _____ _____ _____ straw _____,0.2500,A young _____ in a bikini holding a bottle is _____ _____ and _____ _____ _____ in a straw hat.,_____ _____ woman in a bikini _____ a bottle is goofing around _____ kicking a man in _____ straw _____,_____ _____ woman _____ _____ _____ _____ _____ _____ _____ goofing around _____ kicking a man _____ _____ _____ _____,A _____ _____ _____ _____ _____ _____ a bottle is _____ _____ _____ kicking _____ _____ in _____ _____ _____,0.3000
186,A couple in black coats is looking at the camera with pleasant expressions on their faces.,A couple in black coats is _____ _____ _____ _____ with _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ looking at the camera _____ pleasant expressions on their faces.,_____ _____ _____ _____ _____ _____ looking at the camera _____ pleasant expressions on their faces.,A _____ _____ _____ _____ is looking at the _____ with _____ expressions _____ their faces.,0.5625,A couple in black coats is _____ _____ _____ _____ with _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ looking at the camera _____ pleasant expressions on their faces.,_____ _____ _____ _____ _____ _____ looking at the camera _____ pleasant expressions on their faces.,_____ _____ in _____ coats _____ looking at _____ _____ with pleasant expressions on their _____,0.5625,A couple _____ _____ _____ is _____ _____ _____ _____ _____ _____ _____ on their faces.,_____ _____ in black coats _____ looking at the camera with pleasant expressions _____ _____ _____,_____ _____ in black coats _____ looking at the camera with pleasant expressions _____ _____ _____,A _____ in black coats _____ looking at _____ _____ _____ pleasant _____ on their faces.,0.6250,A couple in black coats is _____ _____ _____ _____ with _____ _____ on their faces.,_____ couple _____ black coats _____ looking at the camera with pleasant expressions _____ _____ _____,_____ _____ _____ _____ _____ _____ looking at the camera _____ pleasant expressions _____ _____ _____,_____ _____ _____ black coats is looking _____ _____ _____ _____ _____ _____ on _____ faces.,0.3750
